,Created at,User ID,Text
0,2020-12-11 16:09:35+00:00,1337429332168413184,"“The will of the people is the only legitimate foundation of any government, and to protect its free expression should be our first object.” -Thomas Jefferson https://t.co/Bl54PXqj7T"
1,2020-12-11 16:09:03+00:00,1337429196746985475,By signing onto this @RepBost @RepLaHood are violating their oath of office and the foundations of democracy in favor of personal benefit and political ideology. #il18 #il12 https://t.co/nAjWauqpQR
2,2020-12-11 16:02:33+00:00,1337427561102647297,"If you are concerned about the decline of economic opportunity and sustainability in our communities, you are not alone. Take a look and follow @rural_united https://t.co/RpIaYLwhwT"
3,2020-12-11 04:26:53+00:00,1337252492640448513,"@MikeLeeforUtah Like Roosevelt quotes? Share this one with @RepLaHood  “To announce that there must be no criticism of the President, or that we are to stand by the President, right or wrong, is not only unpatriotic and servile, but is morally treasonable to the American public.”"
4,2020-12-11 04:10:29+00:00,1337248365168431105,'Hyphenated identity groups': Utah GOP Sen. Mike Lee blocks legislation for Latino and women hist... https://t.co/Bv4sI8I9xm via @Yahoo
5,2020-11-04 17:46:42+00:00,1324045420910227456,"The response and encouragement I received during the campaign is truly overwhelming. We can't be certain of what the future holds for us, but I can guarantee that I'll be involved in helping to bring real, meaningful change and representation to our communities and country. #IL18 https://t.co/AR3nbUNCET"
6,2020-10-31 01:47:51+00:00,1322354564717301761,"Letter: Expanding Medicare should be priority for Congress
https://t.co/2lgo2xhwLp"
7,2020-10-27 17:51:26+00:00,1321147510254161923,"What's more disappointing: That @RepLaHood appears to believe being an elected official is only about addressing his donors and supporters, or that his indifference and unresponsiveness to every opportunity to defend his positions to the public was so wildly predictable. #IL18 https://t.co/wroY43EzLH"
8,2020-10-23 03:28:34+00:00,1319480810307805185,"I'll be out and about this weekend - Bloomington, Lincoln &amp; Peoria. Come say ""Hi"". https://t.co/maQId5aR3o"
9,2020-10-22 15:56:46+00:00,1319306712592142336,#IL18 https://t.co/rfV8rRT6PI
10,2020-10-22 04:33:50+00:00,1319134848519409664,#IL18 https://t.co/4bo1ax725o
11,2020-10-21 19:29:06+00:00,1318997761317085184,"The basis of a program to expand more equal access to the judicial system could be expanded to empower student debtors to invest in our communities with their talents, education and experience, while also stimulating our economy. What do you think? #IL18

https://t.co/2XMR31D73O"
12,2020-10-13 20:30:36+00:00,1316114135126626305,"Unless we start recognizing addiction as a health condition and not a character flaw, we'll never be able to properly address these issues. It will never be solved with our current for-profit health insurance ""health care"" system. There's not enough profit in treating addicts. https://t.co/6hYAhjonFs"
13,2020-10-06 01:08:49+00:00,1313285048175595521,https://t.co/LbOIUQz4R7
14,2020-10-05 18:45:12+00:00,1313188505137360896,"I had a great time with Greg Bishop of @WMAYNews this morning. My apologies to Greg for not letting him get much of a word in edgewise. Hopefully, he enjoyed the break. Next time I promise my answers will be more brief(-ish). Let's do it again soon. https://t.co/gwb9zHRjdZ"
15,2020-10-05 01:15:26+00:00,1312924323871625216,"The unfortunate part of public service is that it takes money to be able to reach everyone. If you can help me spread the word and make a contribution, it would be much appreciated:

https://t.co/zYA6CUeSeK✓&amp;amount=&amp;commit=Contribute"
16,2020-10-04 19:30:11+00:00,1312837441259220994,"Tune-in tomorrow morning to @WMAYNews from 8:10 to 8:30, when I'll be talking with Greg Bishop about some of the solutions to the everyday problems we are faced with in the 18th District. Are there any topics you want to hear about from me? #IL18"
17,2020-10-04 19:15:05+00:00,1312833637080076294,"Thank you to WICS and Jonathon Hansen for the opportunity to speak about unaddressed issues facing the 18th District.

To the voters: It is spelled P-E-T-R-I-L-L-I. Don't worry, it happens all the time. Good thing I am not a write-in candidate. https://t.co/btZTFFM3H5"
18,2020-10-04 19:13:10+00:00,1312833154948960257,"I am honored and excited to be endorsed by a group working so hard to help preserve our democracy and ensure that our elected officials are representative of the people, not corporations and special interests. https://t.co/wKOhJ0Oa8e"
