,Created at,User ID,Text
0,2022-07-19 15:58:05+00:00,1549423338048704515,Todays is the day! Go Vote Prince George’s County. #Vote #Beheard https://t.co/fOhahe0Dnb
1,2022-07-19 00:53:36+00:00,1549195718409289729,Yes indeed https://t.co/qh7q620Y6L
2,2022-07-18 23:49:23+00:00,1549179557789548544,"Tomorrow Prince George’s County, We have the opportunity to go in a different direction for Congress.  Higher Wages,Affordable Housing,Healthcare and programs for the youth. 

Vote July 19th 

Vote Curtis 4 Congress. 
https://t.co/G6CKEUcjOP https://t.co/k4jSbr7MM2"
3,2022-07-18 16:21:27+00:00,1549066829770932232,Vote Tomorrow Maryland! #vote https://t.co/bdPlUGgdJi
4,2022-07-14 15:33:30+00:00,1547605211786539010,"4% early voting turn out in Prince George’s County. It’s sad. We have to do a better job of educating,motivating, and giving a damm. #historyrepeating https://t.co/QUtBI3cloQ"
5,2022-07-11 19:24:59+00:00,1546576302198620161,We’re at about 2-3% voter turnout (Early in-person) here in Prince George’s County. We got a lot more work to do as a whole. #vote https://t.co/ABM5y3lb86
6,2022-07-07 13:03:07+00:00,1545030654181752832,Vote early! Vote by mail! Vote in person! Just Vote! #Vote
7,2022-06-30 16:10:33+00:00,1542541105077620737,Much love to Justice Jackson!
8,2022-06-24 18:37:23+00:00,1540403730172022786,Can Kavanaugh be tried for perjury? #RoeVsWade #RoeOverturned
9,2022-06-24 17:37:02+00:00,1540388543557771264,Smh https://t.co/iWm6Oe4NNY
10,2022-06-24 17:11:45+00:00,1540382181427642368,We must protect the ladies. #RoeVsWade #vote https://t.co/lLILyl1ocb
11,2022-06-24 17:02:20+00:00,1540379809078992904,**this primary season https://t.co/8bdwdpTVzv
12,2022-06-24 16:38:18+00:00,1540373764180934657,July 19th Maryland’s Primary!! Make sure you vote. Today let’s you see what the future is if we don’t have the right leadership. #vote. #RoeVsWade
13,2022-06-24 16:17:23+00:00,1540368499394093057,Absolutely https://t.co/OYgknNAN6k
14,2022-06-24 16:15:13+00:00,1540367952368832516,If they are willing to overturn #RoeVsWade    What else is next… #BrownVsBoard #PlessyVsFerguson who knows where this could go.
15,2022-06-24 15:08:42+00:00,1540351213824348160,The Supreme Court just got it all wrong. Trust me they won’t just stop here. Smh. #RoeVsWade #vote
16,2022-06-21 22:22:31+00:00,1539373222893862912,Interview I did with Bethesda Magazine. Check it out. U.S. Congress District 4 | Bethesda Magazine  https://t.co/cg5Uku4W3m
17,2022-06-20 15:18:23+00:00,1538904098250047489,Out in the community this weekend. Vote July 19th. https://t.co/44Djh1yylv
18,2022-05-04 00:07:54+00:00,1521642740408360962,Well… #RoeVsWade https://t.co/zsbFl2znDz
19,2022-05-03 03:30:18+00:00,1521331285502971906,As Leaders we have to fight harder for our people this should have never happen. #RoeVsWade https://t.co/sIavnCQzOs
20,2022-03-21 21:29:37+00:00,1506020227296886786,#NewProfilePic https://t.co/jO85rBopme
21,2022-01-18 18:37:30+00:00,1483508867216691201,"Starting today, the U.S. government is providing free at-home coronavirus tests.

Don’t delay, get ahead of the rush and order yours now. You can place your order here: 

https://t.co/ulcGHJpvb2 

#FreeCovidTests 
#knowyourstatus #changeyoucansee"
22,2022-01-17 15:06:17+00:00,1483093324105986049,"Today, we remember the life and legacy of a man who dared to dream fight for a better America! 

As we honor Dr. Martin Luther King Jr.’s legacy, I commit to putting his words in action—working towards the dream of an America that is equitable and fulfilling for all!

#MLKDay"
23,2022-01-15 15:20:38+00:00,1482372157808455680,Somewhere I read… https://t.co/H8PX474JhI
24,2021-12-11 20:42:46+00:00,1469769652670717956,"It’s giving season! 

Today I had the pleasure of spending time with community partners as they collected socks and toys for families in and around Maryland District 4.

Whether big or small, be sure to get involved! 

#curtis4change #curtis4congress https://t.co/35CsDoOKki"
