,Created at,User ID,Text
0,2022-01-14 20:16:16+00:00,1482084170272755715,"A statement regarding my 2022 Congressional Campaign. 

Thank you all for all the support and love. 

In solidarity,
Matthew Meade https://t.co/bdbvV0qgbg"
1,2021-12-22 13:20:39+00:00,1473644653509554181,"👀👀👀

Helloooo https://t.co/agFnigNcmr"
2,2021-12-14 23:05:43+00:00,1470892791081406466,We all deserve access to healthcare.
3,2021-12-09 22:53:18+00:00,1469077724354551811,"This is not surprising.

@JoyceBeatty is a liar and a corrupt politician. She is not working to help the people of OH-3.

I will help and work to better the lives of OH-3, WITHOUT taking corporate dollars. https://t.co/DgMii2Zoca"
4,2021-12-09 14:09:42+00:00,1468945956750114818,"As they should. 

As a former Starbucks barista, this would change the game for these people. https://t.co/KTvFrDXA2K"
5,2021-12-06 21:58:04+00:00,1467976660226129926,Do we think Congress will pass the Build Back Better Plan before they go on break?
6,2021-12-01 23:08:07+00:00,1466182348978982923,"#WorldAidsDay2021 

The Blood Ban exists because of the negative stigma on HIV and AIDS. 

The first piece of legislation I will write in Congress will be to end this ban. 

Get Tested. Know Your Status. Undetectable is Untransmittable."
7,2021-12-01 19:33:35+00:00,1466128360422219789,"This is disgusting. 

The culture that is being created by the outwardly racist @RepBoebert is terrifying and uncalled for. 

No one should have these words spoken to them. 

Ever. 

#IStandWithIlhanOmar https://t.co/BKMBES6Dnr"
8,2021-11-29 02:09:34+00:00,1465140852540465160,"Okay…. this is nice!

Now it’s time for @POTUS to keep his promise. 

#CancelStudentDebt https://t.co/4x1mVDz9wm"
9,2021-11-29 00:14:38+00:00,1465111927462543368,"Happy Chanukah to those in OH-3 and throughout the entire country who are celebrating over the next 8 days!

May it be filled with celebration and joy!  

Chag Sameach!"
10,2021-11-25 15:27:32+00:00,1463892114408882179,"This Thanksgiving, I think of all the people who don’t have a family to celebrate with. You are loved.

It's also important to acknowledge the land of the Shawnee, Potawatomi, Delaware, Miami, Peoria, Seneca, Wyandotte, Ojibwe and Cherokee peoples here in OH-3 as we gather today."
11,2021-11-24 22:07:51+00:00,1463630470248284167,My statement on the newly drawn Congressional Districts in Ohio. https://t.co/1JzSxx8Lb3
12,2021-11-24 18:47:23+00:00,1463580019582812172,"As they should be. 

#AhmaudAubrey"
13,2021-11-20 21:40:37+00:00,1462174064055828482,"Today is #TransDayOfRemembrance. We honor the memory of those we lost to transphobic violence, who are disproportionately Black and people of color. We must stand up for trans rights and justice."
14,2021-11-19 21:40:31+00:00,1461811650990854150,"The verdict on Kyle Rittenhouse today was an act of white privilege and to think TWO members of Congress have offered Kyle Rittenhouse jobs on their staffs is disgusting. 

This is the America we need to work to change."
15,2021-11-19 18:35:09+00:00,1461765004076670980,"Such a progressive win for the House to pass the Build Back Better Act but, the digressive verdict on Kyle Rittenhouse is a vital example of the injustice we see in this country. 

We must do better."
16,2021-11-09 21:12:27+00:00,1458180711203155968,"Correct! So why not support free public college?

Asking for the hundreds of young constituents in your district that can’t afford college. https://t.co/DK3E9wm2wF"
17,2021-11-03 14:33:15+00:00,1455905918412001282,"⁦How is ⁦@RepBeatty⁩ fit to represent such a working-class district when she tosses around mill, easy-peasy!?

I know what it’s like to live pay check to paycheck And what it’s like to struggle and will be the representative this district deserves!
 https://t.co/RKMDpgw20F"
18,2021-11-02 13:37:32+00:00,1455529509881618436,@jimweiker
19,2021-11-02 13:36:10+00:00,1455529166443618319,"Here is what the article said this morning. 

The quote has been removed. 

Convenient. 

@DispatchAlerts https://t.co/PxCjeqvVNG"
20,2021-11-02 12:57:10+00:00,1455519352657174528,"Happy #ElectionDay2021!

Let your voice be heard!"
21,2021-10-29 22:23:16+00:00,1454212263083134986,"“If you ask me how much a car costs, I wouldn’t know. It’s just the way my life has been. I never thought to ask, How much was this car? How much was this house”

Thank you @RepBeatty for showing us how un-relatable you are to your people. 

https://t.co/UVPB87ykjQ"
22,2021-10-24 13:37:10+00:00,1452267929152729091,"It's like affordable housing isn't even on ⁦@ColumbusGov⁩ radar. 

Some people are being kicked out of their homes to build these luxury buildings. What happens to them? https://t.co/DYLe3YzH2q"
23,2021-10-20 16:56:17+00:00,1450868484943011846,"Casually selling homes for $500,000 and above is classist."
24,2021-10-13 18:19:55+00:00,1448352818813980681,"Calls herself progressive but takes money from oil, real estate, and insurance. 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩"
25,2021-10-12 00:39:18+00:00,1447723515138957312,Happy #NationalComingOutDay https://t.co/oOOgNgp7sk
26,2021-10-10 19:09:29+00:00,1447278127596593157,"Mental Health needs to be treated the same way as your physical health. 

This is why we need leadership who will advocate for a system that helps us better ensure we are healthy with no barriers. 

Medicare For All is that system. 

#WorldMentalHealthDay"
27,2021-10-08 21:41:47+00:00,1446591681332121606,"Thank you so much @SunriseColumbus for the endorsement!

OH-3 is in desperate need of a working class champion who is also going to fight for the future generations on this planet! https://t.co/A6ffpgg1MP"
28,2021-10-04 17:08:00+00:00,1445073229236871178,"⭐️OHIOIANS⭐️

Today is the last day to register to vote! 

Let your voice be heard.

Click this link to register!
https://t.co/9JMEtClG8u"
