,Created at,User ID,Text
0,2022-10-10 16:46:17+00:00,1579513662930550784,"On this #IndigenousPeoplesDay, let’s reflect on the numerous contributions our Indigenous communities have made to Kansas and the country. Let us continue to preserve and honor their culture and rich history."
1,2022-10-10 14:45:13+00:00,1579483192037298176,A great weekend in #KS02 ! Thank you to the Geary County Dems and the Atchison Women’s March organizers for having me. https://t.co/guV8LyHB4x
2,2022-10-07 23:57:44+00:00,1578535074290491393,Come see us in Junction City tomorrow morning! #KS02 https://t.co/GFn2fPT3A1
3,2022-10-07 17:13:26+00:00,1578433330181132288,"To help me keep my ad on the air, donate today.
https://t.co/qnVC0T44k1"
4,2022-10-07 17:11:10+00:00,1578432761479643136,Check out our new TV ad! https://t.co/TxXrYzlBx7
5,2022-10-06 19:40:10+00:00,1578107870872277009,"Over 50% of child care facilities in Kansas have closed in the last two years. The lack of child care in the district and the state is the #1 barrier to economic growth in Kansas.

https://t.co/1wq8D7P1Zx"
6,2022-10-05 18:45:12+00:00,1577731650234060830,"It was a pleasure to be a guest on @KSNTNews in Topeka this week. Check out my interview here ⬇️

https://t.co/H9R3zawdKW"
7,2022-10-04 23:51:30+00:00,1577446341877399554,Wishing all those who celebrate #YomKippur a meaningful and easy fast. G’mar Chatima Tova.
8,2022-10-04 17:20:20+00:00,1577347902820827148,https://t.co/kRBXSSCfsd https://t.co/3J4OdsvwMW
9,2022-10-04 14:49:20+00:00,1577309901696770048,"To learn more about my visit click the links below.

https://t.co/AaTsCvJP1C

https://t.co/BxBz3OmJnm"
10,2022-10-04 14:49:19+00:00,1577309899947708417,"Whether it was the lack of childcare, prescription drug prices, or crumbling infrastructure, Kansans continue to struggle and they need a representative in Washington who will fight for them."
11,2022-10-04 14:49:19+00:00,1577309898148380672,"🧵 Traveling across Southeast Kansas last week, I met with countless Kansas, each concerned about the future."
12,2022-10-01 14:45:14+00:00,1576221706141765632,"I wrapped up my trip to Southeast Kansas and stopped in Galena, Fort Scott, and Pittsburg. Thank you to the Pitt State Young Dems for hosting me at their candidate forum! https://t.co/VMF8HyOESI"
13,2022-09-28 18:30:19+00:00,1575191188143063053,"What a great trip across Southeast Kansas! Wes stopped in Independence, Parsons, St Paul and met a lot of great people. 40 more days, let’s keep the momentum going. https://t.co/PMFXdGNbma"
14,2022-09-27 14:30:19+00:00,1574768400764747777,Thank you to Rev. Turner in Kansas City for your endorsement and guidance! https://t.co/el5S2eq7Ko
15,2022-09-25 23:51:20+00:00,1574184808833597440,Wishing all those who celebrate a Happy #RoshHashana! Have a happy and healthy New Year ahead. Shana Tova!
16,2022-09-25 17:00:15+00:00,1574081357130747907,Busy few days ahead as we travel to Baldwin City and Southeast Kansas. We hope to see you  at one of these events! https://t.co/4UbOXM18o1
17,2022-09-25 15:05:15+00:00,1574052415996919808,This weekend I made stops in Highland and Hiawatha. Special thanks to Neibling Farms in Doniphan County for showing me around! https://t.co/m9PsYZmQEE
18,2022-09-20 16:57:11+00:00,1572268646306816000,"Happy #NationalVoterRegistrationDay! Register to vote today or check your current registration here ⬇️
https://t.co/UD1TspDynA"
19,2022-09-20 16:47:09+00:00,1572266122908684289,"Calling all @BakerUniversity students! Join our campaign for a meet and greet in Baldwin City on Sept 26 at The Nook. 

@StudentLifeBU @bakerorange @BU_SAC @baldwincity @KansasYoungDems"
20,2022-09-17 20:15:09+00:00,1571231302296166410,"So on this Constitution Day, let us celebrate the wisdom of the founders who penned our enduring document of self-governance, but also redouble our efforts to ensure that we continue to expand constitutional rights to all Americans to live their own lives of freedom."
21,2022-09-17 20:15:08+00:00,1571231299322494978,"🧵 As we celebrate Constitution Day, let’s pause to reflect on the fact that women today have fewer rights today than they did on this day last year. For the first time in our history, the Supreme Court has ripped away rights enjoyed by women for 50 years."
22,2022-09-16 18:00:19+00:00,1570834985459875841,"I am proud to be a #KNEA candidate! As the son of two public school teachers, I know how hard our educators work. That’s why I’ll ensure that teachers get the pay they deserve and every child has access to quality education. @kneanews https://t.co/G1XCrVrXI2"
23,2022-09-16 16:00:28+00:00,1570804823376674823,"During my visit to Junction City last night, I had the pleasure of meeting with the Junction City NAACP. And thank you to my hard-working team of volunteers in Geary County for getting the word out! https://t.co/gVjMTx1RWS"
