,Created at,User ID,Text
0,2022-10-10 16:16:55+00:00,1579506272386568193,Happy Thanksgiving to our friends across the lake 🇨🇦 #ThanksgivingCanada https://t.co/VmSCbEout0
1,2022-10-09 15:22:39+00:00,1579130227149930497,Very much looking forward to @chrisronayne leadership. His vision and experience are sorely needed in NEO! We can do so much better and he gets it. https://t.co/HIwAiObyPF
2,2022-10-07 19:19:57+00:00,1578465169285398528,Starting the playoffs right! @GaurdiansCle #Playoffs2022 https://t.co/uDsCxQ9zqS
3,2022-10-06 15:00:34+00:00,1578037505609170950,Never thought I'd say this... but nice job @Chevron! ;) https://t.co/au51Nq9PMg
4,2022-10-06 00:29:25+00:00,1577818274376679432,"Happy to support our mayor @MeghanFGeorge! Great to see Chairman @ClevelandBrocks, Rep. @MikeSkindell, Sen. @nickieantonio and so many others! 2023 here we come!! https://t.co/iTs0azokhw"
5,2022-10-05 12:22:49+00:00,1577635419990130690,May you have an easy fast #YomKippur https://t.co/BrZX2t6NER
6,2022-10-01 23:59:18+00:00,1576361142343323648,Game night! Go @CGardians!! https://t.co/hyzjC8itKG
7,2022-09-17 16:07:52+00:00,1571169072259235843,Caitie holding it down at @PawpawFest if you’re at #pawpaw stop by @SolarNeighbors at Sustainability Village. https://t.co/BFoptcxJqG
8,2022-09-17 10:17:57+00:00,1571081013698383875,What a huge loss. As if we need more evidence that healthcare is broken in the US. We need quality healthcare for all… this is the opposite direction. https://t.co/nmRM0ruZeA
9,2022-09-12 23:46:43+00:00,1569472606444879874,"Congratulation Senator @nickieantonio you certainly earned @SolarNeighbors of Ohio’s first Legislator of the Year Award! Keep up the fight for energy rights!! Thank you @CincinnatiZoo, @OhioEnviro Fund, &amp; @kyliejane13 for your support https://t.co/SCLnIOYdlj"
10,2022-09-11 18:16:46+00:00,1569027184534102019,Congrats to my friend @siggsworld on receiving the @CLEStonewallDem David Ream Standing Out Award! https://t.co/zDwRL8nmHk
11,2022-09-08 15:14:53+00:00,1567894249630220290,2022 #f150lightning charging my 2013 C-Max Energi. Nearly a decade of progress.
12,2022-09-08 15:09:15+00:00,1567892828717568000,Just a little #ford to ford charging action. @Ford https://t.co/3DDW7OnXJt
13,2022-09-07 02:18:24+00:00,1567336450697338881,Thank you @ProChoiceOH for always showing up! It matters. https://t.co/rO3nwqXDyj
14,2022-09-07 02:16:03+00:00,1567335859216650241,It passed! Thank you all for the support! Lakewood leads. https://t.co/Qt26N8H8Ig
15,2022-09-07 02:13:23+00:00,1567335189956763650,"Some days I have the honor of doing exactly what I ran for office to do. Fight for the rights of Lakewoodites. Today I had that opportunity and privilege. Excellent work by @JasonShachner, @sarahekepple, @KyleGBaker and our Mayor @MeghanFGeorge for working together on this!"
16,2022-09-07 02:09:10+00:00,1567334128512602115,When there’s a write up about what we did tonight I’ll be sure to share that.
17,2022-09-07 02:08:37+00:00,1567333990821920773,Tonight I’m happy to say that Lakewood City Council unanimously passed a resolution directing the administration to not use city resources to investigate those who had an abortion. This is in addition to what we passed in June. Great work @JasonShachner! https://t.co/qzcxdnDQy7
18,2022-09-06 00:26:51+00:00,1566945991433109504,Super important work! Really enlightening study. Transit-oriented is what we used to be and where we need to be! Nice @mattm178 @GCRTA &amp; @countyplanning https://t.co/8SNhZzO7XZ
