Unnamed: 0,Text
0,@IndependentVo12 @tedcruz You do realize that made zero sense. Not one Republican is against immigration. But you keep regurgitating CNN and the Biden administration’s talking points. Don’t think for yourself. It’s cool
1,"RT @jakepaul: Biden accomplishments 

1. Highest gas prices
2. Worst inflation
3. Plummeting crypto prices
4. Highest rent prices ever
5. C…"
2,#sheep #dontbeasheep https://t.co/CjAntEF6RQ
3,RT @OANN: Authorities arrest man in connection with deadly Tenn. nightclub shooting https://t.co/5odUnUyWL4 #OANN
4,@marilutweets @andrewcuomo But really bad with nursing homes. But I guess you’re giving him a pass on that
5,@HannaannahE @FoxNews I’ll pray for you. May Hod show you his light. Satan is all around us. Tricking you into thinking he doesn’t exist.
6,@RockiesProgs @Jim_Jordan That’s actually incorrect. But nice try.
7,@BrandiLamonte Who wouldn’t agree with that?
8,"RT @elonmusk: Ya know, it’s pretty damn great to be able to talk to people from all walks of life and many countries on Twitter!

So much t…"
9,@BarackObama You’re disgusting
10,"@BarackObama You should be ashamed of yourself. George Floyd was a career felon who was on parole for holding a gun to a pregnant woman’s stomach, threatening her while his buddies robbed her. He didn’t deserve to die. But these were innocent kids that did nothing.  There is NO comparison"
11,@stharris529 @Franklin_Graham Funny how people can turn post into gun control. How about punishing those who commit crimes with guns? Stop trying to punish law abiding American citizens and punish those responsible. Pretty simple.
12,@RealJamesWoods And that’s why LA County has deteriorated to the point it is. I used to live in the #OC before it became the “OC”. And LA was a great place. That is no longer the case
13,Joe Biden's brain 'appeared to break again' https://t.co/m8aDsZThz2 via @YouTube
14,@TuckerCarlson They just refuse to give up
15,@RealJamesWoods Thanks for that distraction https://t.co/uhYFAxco95
16,Rings true in any aspect of life’s challenges. Stop seeking for YOUR understanding and simply seek God. There many issues for us professionally and personally. We will never ALL agree. we all agree on most things. Stop the hype &amp; just be in peace in God.  #LetGoLetGod https://t.co/Dtrl1gN8v3
17,@NikkiFried You obviously haven’t been paying attention to our state. Nice try to stay relevant but you do not have the concerns of us Floridians within you. #desantis2022
18,@KobeissiLetter @elonmusk According to Forbes he’s actually over paying
19,@Meanoldman9 @OANN So you’re ok with the contents of the laptop? I mean since you’re trying to deflect the purpose of the article and all.
20,@RealJamesWoods #bringbackmeantweets
21,@David_Leavitt @POTUS It’s more alarming to see him as President
22,@Mr_Webcast @GovRonDeSantis And if Biden didn’t shut down the pipeline we’d still be at $1.84/gallon.
23,RT @GovRonDeSantis: The Biden Administration needs to listen to Americans &amp; increase domestic energy instead of relying on authoritarian re…
24,"RT @OANN: IAEA head says no defined deadline, details for nuclear agreement https://t.co/t4rCA5yjhV #OANN"
25,"RT @TippingPointOAN: HISTORICAL SPOTLIGHT - THE ATTEMPTED ASSASSINATION OF FDR

#historicalspotlight #history #assassination #president #FD…"
26,RT @mattdizwhitlock: This is literally the Build Back Better stump speech we heard for 6 months while that bill was imploding - all while B…
27,RT @OANN: UN holds emergency General Assembly meeting to address Russian invasion of Ukraine - https://t.co/HPKS6KJjbV #OANN https://t.co/f…
28,"RT @TippingPointOAN: THE MARCH TO #WAR
@ClintEhrlich
https://t.co/4CI6bqLzI1"
29,"RT @CSinclairtv: CPAC STRAW POLL: Which do you think is the greatest threat to America's Safety and National Security?

President Biden's i…"
30,@Yolo304741 Nothing I read in the NYT had this in it
31,RT @OANN: DOJ ends Trump-era China Initiative program to fight espionage - https://t.co/KqaWN2BQ1W #OANN
32,RT @OANN: Nigel Farage: Western values under assault like never before https://t.co/XoNqbvvSUX #OANN
33,@OccupyDemocrats You guys are really desperate now. LMAO!
34,"RT @marcorubio: Weakness always invites aggression 

And weakness in response to aggression always invites others to be aggressive as well"
35,RT @RepJimBanks: The world was far more safe on Donald Trump’s watch than any single day we’ve had so far with Joe Biden in the White House.
36,@joncoopertweets Super inappropriate but that’s what you do
37,@bk5137 @BretBaier You should probably actually read the Mueller report before you mention it.
38,@Dave24657469 @BretBaier The fact you are still so blinded is shocking.
39,@Greebolives @engineerinheart That’s because you’re not paying attention.
40,@IntlMergers @ChadGilmartinCA @PressSec The press corps isn’t her “Staff”
41,@RIPGOP6 @abigailmarone @kayleighmcenany The. Why is everyone else wearing one? 🤔
