Unnamed: 0,Text
0,"“He doesn’t want to do anything.”-Trump’s Chief of Staff and former member of Congress as insurrectionist broke through doors and windows attacking my friends, former colleagues, and democracy. 

The former President is a traitor to our country and so is Meadows. https://t.co/PmDy4bsLUU"
1,"“We don’t need lies, we just need facts and the fact is because of the overturning of Roe vWade, you will have children who are raped, having to carry a pregnancy to term in this country.” … so many thoughts &amp; FACTS on @CNN Tonight. https://t.co/5EeMae3n6T"
2,"Our governor @KimReynoldsIA made this shit legal in Iowa. Are we still asking ourselves seriously, how far will they go? https://t.co/SinzM5su59"
3,"This is why we cannot stay silent. This is why as shitty, defeated and as pissed off we feel, we cannot back down and we have to bring more people to the table. Thank you @CNN for the opportunity to do so. https://t.co/MyYJMhHitF"
4,"Speaking of not being silent, I’ll be joining @CNN Tonight in studio this evening at 9 ET/ 8 CT . Tune in. So much to talk about. https://t.co/Qbmuz31gSA"
5,"To those who are burnt out, scared, angry, sad: I hear you &amp; I see you. To those able to get out marching today, thank you. To those who need a bit more time, we will wait for you tomorrow, but we need you. We need your voices. I know defeat. It’s hard, but we must not be silent."
6,"In 2018 some of the nastiest ads in the country were ran against me basically saying I was ripping babies out of wombs snd selling their body parts on a street corner. 

They used lies. 

Democrats, just need to state the damn facts. Loudly."
7,"Pregnancy is complicated. The message on overturning of Roe and holding accountable all those who are celebrating today, should not be. 

12 year old rape victims will be forced to give birth. Women will die. Doctors will be jailed. 

Tie them all to it. Don’t over think it."
8,"Make every person in office or seeking office in this country answer these questions. When they try to back out, you tell them the fact that if they supported the over turning of Roe that these horrors are what they back and you let everyone you can reach know. Don’t back down. https://t.co/f4SqHG3l2Q"
9,"Unless local press is asking @ChuckGrassley today if he backs a 12 year old being forced to carry a pregnancy from rape, or a woman with an etopic pregnancy dying, then you aren’t doing your job. This is the horrific, extreme “common sense” legislation he is supporting to be made https://t.co/gYvxWgpTi8"
10,"Unless Sen. Manchin is saying he would get rid of the filibuster and do his damn job to codify the right to an abortion, then he should probably just shut the hell up today. https://t.co/fa0FTbFUXc"
11,"RT @JKonfrst: The treatment for ectopic pregnancy is abortion. An ectopic pregnancy will not result in a baby. Untreated, it will result in…"
12,"Today’s decision is about power &amp; control over women. It will continue to escalate as extremist continue to accumulate more power. They will use their own women to push it. 

The only way it stops is if Americans wake up, vote, be loud &amp; honest about the stakes. Don’t back down."
13,"RT @ChrisMurphyCT: What are we doing? Why are we here?

Four weeks ago I asked the Senate those two simple questions. 

Tonight, we deliver…"
14,"After all these years, @ChuckGrassley is simply a coward. What a legacy. https://t.co/hMx4YHsf0L"
15,"After listening to today’s 1/6 hearing, there is A LOT to be horrified about, but I think we also need to take a moment to realize just what freaking heroes my former colleagues and friends were making the decision to go back that night and certify. Heroes. Period."
16,"Joined @cnn last night discussing 1/6 hearings and bipartisan gun legislation. A heck of a lot to wade through in this moment for our country. So much work left to do. 

Thank you @sarasidnerCNN for hosting a thoughtful discussion! https://t.co/Q950wvArDy"
17,I keep thinking about 1/6 testimonies of Shaye Moss &amp; Ruby Freeman. They did their jobs for democracy. The lies &amp; BS of the GOP &amp; the failure of its leaders to have any dignity or decency to stop it has ruined lives &amp; eroded democracy. No shame just pathetic pandering for power.
18,"RT @HaleyLive: There are barricades up around the Supreme Court. It’s the summer solstice, the longest day of the year, and the wait to see…"
19,"Today I got to celebrate the guy who taught me how to bait a hook, shake a hand with purpose and meaning, stand up for what you believe and never think you are better than anyone else no matter what you do or where you go. Love you, Jer Bear! Happy Father’s Day to all! https://t.co/TiH3S1ifUE"
20,"There’s no place like home 💙 … and fishing with the nephews, big and small! 🎣 #happyplace https://t.co/bAes6fltwy"
21,"Finally, a chance to stop and smell the roses…zinnia… snapdragons..etc.😉 

Happy Saturday! https://t.co/eT8qYC6aNn"
22,"While last night didn’t end how our team had hoped it would, the fight must continue. The future of Iowa, our country, and our democracy are at stake. We must  flip Iowa blue and elect @FrankenforIowa, @DeidreDeJear, @LizMathis1, @BohannanIowa, and @Axne4Congress. Let’s do this💙"
23,"My heart is filled with gratitude for my husband, @DanWasta, my parents, and ALL of the folks who showed up for #TeamAbby across the state. Your support has meant the world to me. https://t.co/1tdxwBFjLU"
24,"Last night, I called @FrankenforIowa to congratulate him on becoming Iowa’s next Democratic nominee for U.S. Senate and to tell him that I will do everything I can to help him defeat @ChuckGrassley in November. We need EVERYONE with us in this fight—there’s too much at stake."
25,"IOWA: Less than 2 hours left until polls close! If you haven’t already, find your polling place and VOTE💙

Learn more👉 https://t.co/suPTaiZj2G https://t.co/4xH3TUSMzC"
