Unnamed: 0,Text
0,🙏🏾🙏🏾🙏🏾 https://t.co/GhdU0BtCXf
1,RT @MariahCarey: #BETAwards #BigEnergyRemix ❤️ https://t.co/7z58sRLEf3
2,"RT @BerniceKing: 🧵 Please join me in celebrating my mother, #CorettaScottKing.

54 years ago today, less than 3 months after my father was…"
3,"RT @OkSoMik: She deserves her own weave color, call it 92 because that’s when she dropped her debut"
4,#TransformersUnite @Transform_AL https://t.co/XpD0ceELR9
5,Once again the #BETAwards is the absolute best awards show🔥🔥🔥
6,The time is now. Right now. #BETAwards
7,Ye popped out✨ I love all this!!! Diddy❤️❤️❤️ #BETAwards
8,RT @ivieani: Babyface deserves a lot. An architect.
9,And these are the lyrics I’ll be saying moving forward🔥🔥🔥 https://t.co/avBSz6EbTn
10,Awwww❤️❤️❤️
11,The Lox💪🏾💪🏾💪🏾 #BETAwards
12,Shyne🔥🔥🔥 #BETAwards
13,Was that Dalvin??? #BETAwards
14,Proud!!! https://t.co/WNOQbYLuZH
15,❤️❤️❤️ https://t.co/nePQRC4HEK
16,MARIAH🌹🌹🌹🌹 #BETAwards
17,Mary looks AMAZING🥰❤️😘 #BETAwards
18,@justice_alabama @PastorGlasgow @thecouncilus @RepEngland70 @SueBellCobb @rtonimeyers @glennEmartin Evan shared this link to sign a letter urging the banks to not finance the prisons https://t.co/WCPYWTAlah
19,"RT @Phil_Lewis_: Jazmine Sullivan, speaking to men: ""If you have ever benefited from a woman making one of the toughest decision of her lif…"
20,@CandiceBenbow All that and didn’t even mention Lil Baby
21,"Today &amp; tomorrow Alabama needs as many people as possible to tell banks NOT to finance the building of 2 mega prisons. It takes less than 15 seconds to complete a letter https://t.co/WCPYWTAlah 

@BlackVotersMtr @MsLaToshaBrown @cliff_notes @JoyAnnReid @CapehartJ @prisonculture"
22,Brandy DID that🔥🔥🔥 #BETAwards
23,"RT @ninaturner: “F*** you, Supreme Court” - Janelle Monae

I KNOW THAT’S RIGHT🔥🔥🔥
#BETAwards https://t.co/4A22ejpKr2"
24,Respectfully why is Jack Harlow on the #BETAwards
25,Janelle Monae looks amazing✨And she spoke a word🖕🏾#BETAwards
26,🔥🔥🔥 https://t.co/Jty1dxdJg0
27,Precisely🎯 #TransformersUnite https://t.co/cdD58w7cBz
28,#TransfornersUnite #HipHop https://t.co/EHpVeeS7sG
29,"RT @JohnFugelsang: 4 of the 5 SCOTUS justices ending #RoevWade were appointed by presidents the majority of US voters voted against.

The 5…"
30,🔥🔥🔥 https://t.co/oyT1rPasDx
31,"RT @uhhmuseum: On June 25th from 3-5 pm PST during BET Weekend, the UHHM presents Hip Hop and Mental Health: Facing the Stigma Together hos…"
32,RT @aldemocrats: Congratulations to Yolanda Flowers for becoming the first Black woman to win a major party’s nomination for governor in Al…
33,Today https://t.co/Dp4GihgRYn
34,@_FloMilli ❤️❤️❤️
35,"RT @BLKAmericans_: Juneteenth Parade, Beaumont, Texas, 1925 

Recorded by Solomon Sir Jones https://t.co/yPsDn2mQET"
36,🔥🔥🔥 https://t.co/xxC11bFVbd
