Unnamed: 0,Text
0,RT @AndrewYang: The two-party system is like having to choose between Coke or Pepsi when what you actually want is a fruit smoothie.
1,"Wham! What an interview with @sarahkendzior. The parts that stuck w/me were about Trump's competence &amp; motivation for destruction, the web of international criminal leaders, and what near-future authoritarianism looks like in the American context
https://t.co/a5KWSZgsmD"
2,"Keeping money local, digital, and personal: BerkShares https://t.co/g6bPMyFuUb"
3,"@santisiri Others already mentioned, but also @KapwingApp"
4,"I’m a teacher at @synthesischool and can attest to not only what a special school this is, but organization as a whole. 

My future kids will be Synthesis students. https://t.co/3K3db6MyKd"
5,RT @SenatorBiaggi: #NEW: The NYS Senate has passed my bill (S739A) to allow lay individuals to be designated as one-day marriage officiants…
6,So upsetting @TVAnews https://t.co/QvCwkBSX8q
7,"RT @bradytoday: Feels pretty good to see induction stoves featured on the front page of @nytfood today. What a spread! 🧲🍝 ""Turning Off the…"
8,"@BenNollWeather I’m new to living in the Hudson Valley, but grew up in Florida with lots of hurricane prep. What is hurricane season like here?"
9,"RT @walkerforco: I’m Alex Walker, I’m gonna crush Lauren Boebert in CO-03, and I approve the shit out of this message https://t.co/xe4NNVnj…"
10,"Not a follow-up to the bread baking story, but an exciting update nonetheless. Red Hook Hello is welcoming and connecting neighbors in the Hudson Valley! https://t.co/xXro8GyCSY"
11,"@ekp The psychology of knowing what’s possible also makes a difference. After seeing your tweet I guessed today’s Wordle in two steps as well

⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩"
12,"@HerbStephens @sanfranmag @ModernLuxury My favorite SF publications:
@sanfranciscan__ 
https://t.co/7VQXVUYjo4

@TheSFMinute
https://t.co/RCjw6QzlWR"
13,Bread baking conundrum meets local weather story 🥶 https://t.co/84jpGNQTiQ
14,Snotsicle ❄️ https://t.co/Yqx7kZWuIx
15,"RT @Peter_Spurway: Did you Know? If you live in Italy and want to insulate walls and windows and install a heat pump and/or solar, the gove…"
16,"RT @BenNollWeather: 🥶 We're at the bottom of the annual temperature curve in the #HudsonValley...

What days of the year are usually coldes…"
17,"When @CornelWest met Obama, he only had one Q: 
What is your relation to the legacy of Martin Luther King Jr.? How will your campaign enact the struggle against poverty, militarism, racism, &amp; materialism—the four evils MLK named before he was murdered?
https://t.co/439k0GZ74S"
18,7th and 8th grade winter concert with music from the Hunger Games. Students learned to play together (at least in part) over zoom and their one and only dress rehearsal was cancelled due to snow. Way to go @LAMSrhcsd @rhcsd https://t.co/3ll1LypW2i
19,"@SamoBurja I won't be there this week, but I grew up in Miami. I hope the city welcomes you warmly"
20,Could not be more thrilled for @halesalbert to be a part of the Terraforming cohort at @strelkaschool! Can't wait to be a student vicariously through her! Congrats 👏https://t.co/PouzyXV4tj
21,@BenNollWeather Frozen foods aisle over here https://t.co/lh39ifguf3
22,An eventful first day of 2022: We fished a dead deer out of our pond in Dutchess County and laid it to rest. Likely a victim of the EHD virus. FYI @NYSDEC #FirstDayHikes https://t.co/eFCneHO2NO
23,"Victoria is a friend of mine from college running for U.S. Congress in Virginia. She’s the only challenger to the incumbent, Don Beyer. 

Watch this video (of her mom 😭💕) to get a sense for the important perspective she would bring to governing. https://t.co/3cNciBGzN5"
24,@octopoedi Which website?
25,Whoever edited this is a pro https://t.co/PWqalqu2dw
26,"Two months ago, @pfletcherhill and I moved from San Francisco to the Hudson Valley. 

Everyone has been incredibly kind in welcoming us. We’re excited to get to know more people in this special part of the world. If we’re neighbors (and we haven’t already met), do reach out! https://t.co/b16ZlukpsX"
27,RT @santisiri: welcome to argentina 🇦🇷 @VitalikButerin! https://t.co/35YDvFK74e
28,"Thanks for leading a ban on gas heat and stoves in new NYC buildings! With good news comes preemptive push back, though. 
https://t.co/MdKGxjWRhG https://t.co/tcue2nFqZb https://t.co/dXnbRHMz6t"
29,@JanetWarden @rhcsd @RedHookSeniorHS Sounds great! Is the LAMS Chorus and Band Concert tomorrow or Jan 11th?
30,RT @AgathaBacelar: @c_r_spears @johnffarrell @FrancesSawyer33 @internetarchive I took screenshots before it went down 😈 https://t.co/BXhcy8…
31,@c_r_spears @johnffarrell @FrancesSawyer33 @internetarchive I took screenshots before it went down 😈 https://t.co/BXhcy8F0qS
32,"While painting my WFH office, I listened to episode after episode of Watt It Takes. I found the conversations inspirational and am a new fan of @emilykirsch as an interviewer https://t.co/jbhtT1jtHP https://t.co/ZcoONWuYM1"
33,RT @ezraklein: This is just a remarkable piece of reporting. Unforgettable. Stop scrolling Twitter and read it.  https://t.co/OwSjdki7fX
34,"RT @AppalachianPBP: ""Across the United States, the agencies responsible for mass imprisonment are trying to severely limit incarcerated peo…"
35,@kevinroose A conversation with @HerbStephens
36,"I ended up reading three of these books—all except ""Girl A"""
37,"As an upstate constituent, I’d like us to invest more in electrification vs making fossil fuels even more affordable. https://t.co/FpwtvNseY8"
38,"I had been emotional about David Graeber's passing, but this article really sealed the deal https://t.co/26frcoG4fd"
39,"📽️
watch all of the credits
because you have time, and not much else to do
or watch all of the credits to remember 
how many people come together
just to tell a story
just to make a picture move
🎬"
40,"An appropriate and beautifully illustrated poem
https://t.co/90h8hotWxs

""the disaster is that we believe we’re separate  
we’re not"""
41,RT @SecGranholm: .@VP &amp; I just announced the first 6 industry partners to participate in @ENERGY’s Cold Climate Heat Pump Technology Challe…
42,RT @jachristian: Protesters have blocked traffic on the Golden Gate Bridge to demand Congress grant a pathway to citizenship for the countr…
43,"My favorite substack as of late
https://t.co/o3xZG95njr"
44,"@evanhellmuth @literati I’ve been a dedicated member of Malala’s Literati book club since March and have enjoyed every book choice and discussion since! 
(But this month I’ll likely deviate from Malala’s pick)"
45,The @literati book club has too many good choices for the month of September. Which should I pick?
46,"“I think right now we’re all interested in the post-apocalyptic world because we’re kinda living in it.” 
@tahmima, author of The Startup Wife, responding to Terry Gross on NPR https://t.co/DEQI7Y1kHi"
47,Verrrry exciting! https://t.co/BzP8ih0oz2
