Unnamed: 0,Text
0,"Joe Biden is a complete failure and he put it on full display tonight. Electing CONSERVATIVES, not RINOs, is the way to make our Constitutional Republic all it can be. @freedomcaucus @AFPhq @club4growth @ACUConservative @NRA @RSBNetwork @OANN @newsmax @Heritage_Action https://t.co/blCkMvDkZ9"
1,"RT @RepThomasMassie: 18 months, two presidents, a mail-in election, three shots, $5 trillion, a year of delayed schooling, and a shredded C…"
2,"RT @RepThomasMassie: #NoVaccinePassports 
#NoVaccineMandates 
#NoPatience https://t.co/BOiDzWa8R1"
3,"RT @RepThomasMassie: Thank you to @RepRosendale for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces f…"
4,"RT @RepThomasMassie: I have to believe if Trump were president, we wouldn’t be rationing the one treatment for COVID that just about everyo…"
5,RT @DiamondandSilk: President Trump is loved!
6,RT @RepAndyBiggsAZ: Joe Biden is in over his head. Time to resign.
7,"Kamala Harris is unfit to be President, but for the sake of our nation, Joe Biden must resign."
8,RT @MELANIATRUMP: We are praying for the families and loved ones of the Marine heroes killed in Kabul and for everyone who is suffering dur…
9,Help Team Olszewski wish Dr. Al a happy birthday! Sign his card today: https://t.co/53G0rnci02 https://t.co/7SbE9WnCoO
10,"RT @laurenboebert: The Biden regime is now threatening Marines with their pensions, tuition assistance, and even access to the G.I. bill if…"
11,"The left is determined to create a two-tier society which pits Americans against each other. We must stop handing over our sovereignty to unelected bureaucrats! In Congress, I will spend my energy expanding Liberty and end the technocrat grip over over society. #trump #maga https://t.co/7i2eJIjuGE"
12,"Today we celebrate one of our greatest resources! When windmills and solar panels don’t work, we have hydro &amp; Montana coal. In addition to being base load energy, it helps with flood control &amp; irrigation. We must protect and EXPAND our hydropower capacity in MT. @NatlHydroAssoc"
13,RT @NatlHydroAssoc: Welcome to National Hydropower Day! https://t.co/Q418kGCqlU
14,RT @RepMaryMiller: Our allies don’t respect us and our enemies don’t fear us.
15,@mattshoeusa is always right on point. https://t.co/4iWbxt6QS1
16,RT @mattshoeusa: Thanks @newsmax for having me on! #BidenDisaster #Afghanishtan #Biden #maga
17,RT @mattshoeusa: Join me tomorrow on @Newsmax !! I’ll be talking about the catastrophe in #Afghanistan and #biden ‘s response to the disast…
18,Today I released a statement on President Biden’s historic failure in Afghanistan. He is an embarrassment to our nation and his national address tonight put his incompetence on full display. https://t.co/5l1tqZMC9F
19,"RT @Jim_Jordan: Afghanistan. 
Inflation. 
Border. 
Crime.

And it’s only been seven months."
20,RT @ACTforAmerica: The world needs Donald Trump NOW!
21,Secretary Mike Pompeo was right. The collapse in Afghanistan was entirely avoidable. Trump’s plan was to pull troops out based on a results based timetable. #BidenShouldResign #HarrisShouldResign #TrumpWasRight #MAGA #Trump #Afghanistan #AfghanistanBurning
22,"RT @MikeLeeforUtah: Cryptocurrencies are different from securities. #Crypto is a medium of exchange that, if adopted more widely, could fac…"
23,"RT @KristiNoem: The following are not mutually exclusive re: Afghanistan. 
1. 20 years is long enough.
2. The manner in which this withdraw…"
24,"RT @galexybrane: If you’re vaccinated and you don’t mind the idea of vaccine passports, think about how you’ll feel when you need to show p…"
25,"RT @laurenboebert: It sure would be nice to wake up to a few mean tweets, a secure Southern Border, cheap gas and a President who knows wha…"
26,RT @RepMaryMiller: Say NO to vaccine passports for domestic travel!
27,"Trump was right: “A country without borders is not a country at all.” In Congress, I will fight to finish Trump’s Wall and permanently end Catch &amp; Release! #buildthewall #finishthewall #trump #maga #conservative #lawandorder #ice https://t.co/NRr9uBnrR6"
28,"RT @Shawn_Farash: Rand Paul is a hero 
#StandWithRand @RandPaul  https://t.co/gjH3RfDTlU"
29,"I #StandWithRand! He was put in YouTube jail by Big Tech for saying (as a doctor) things that unaccountable bureaucrats and the media did not want us to hear. We must never be silenced. As Rand said, “They can’t arrest all of us.” #conservative #trump #maga https://t.co/Zi2WerEpMz"
30,"People do not cause climate change. Sorry @AOC but there were multiple ice ages before the internal combustion engine, hydropower, and our magnificent MT coal plants. #fact #maga #trump #conservative #coal #cleancoal #NuclearEnergy #NuclearPower #hydro #hydropower"
31,"RT @NRA: The only way to stop a bad guy with a gun IS A GOOD GUY WITH A GUN.

That's it. That's the tweet."
32,"RT @BrendonLeslie: Chicago police officer, 29 year old Ella French was gunned down last night. She just returned from maternity leave. Her…"
33,"RT @DrewHLive: NYC: A Holocaust survivor spoke today against the vaccine mandate for NYC workers

“Fear of infectious epidemics was exactly…"
34,"RT @LiveAction: Meet Baby Olivia! 

A never before seen look at human life in the womb. From a single-celled human to a baby with a beating…"
35,RT @laurenboebert: Editing the Green New Deal and calling it an infrastructure bill is one of the bigger scams pulled in the 8 months I’ve…
36,"RT @Citizens_United: When it was time to stand with our heroic police, Joe Biden took a pass. Never forget. https://t.co/mRP7IcYhw3"
37,"RT @Heritage_Action: ""This Deal is a massive inflation bomb being dropped on an already carpet bombed economy.""

Watch @SenMikeLee on @Ingr…"
38,RT @RepAndyBiggsAZ: Look no further than the violence in Portland and Chicago for the Democrats' blueprint for America.
39,"RT @SenRickScott: The U.S. debt is nearly $30,000,000,000,000.


@SenSchumer &amp; @SpeakerPelosi want to add another almost $7,000,000,000,000…"
40,"Proud to sign the @Heritage_Action Police Pledge. I'll always #BackTheBlue by supporting full funding for law enforcement &amp; fight efforts to ""Defund the Police."" I'll also oppose any programs like ""sensitivity training,"" which degrade our police &amp; make our communities less safe. https://t.co/ycdMarW5xr"
41,"RT @abigailmarone: ""This is not really an infrastructure bill. This is a woke politics bill,"" says @HawleyMO.

""I just hope Republicans wil…"
42,"I take the same stance. Simply put, H.R. 3684 is a total disaster and I would never support anything with that price tag. #Conservative #maga #liberty #trump #kag https://t.co/tM5j0TFWwM"
43,RT @RepAndyBiggsAZ: Joe Biden is letting thousands of COVID-19 positive immigrants across our border but making you wear a mask because he’…
44,@NBCMontana @GovGianforte has nothing to be ashamed of in this case. The fact that this is even “news” is a prime example of why people do not trust the press.
45,The radical Infrastructure Bill before Congress will keep Montana burning by limiting access to logging roads which could help fight fires. The only thing we should be burning is this horrible bill. It would not have my vote. Ever. #Conservative #maga #trump https://t.co/BR5FC7SRCH
46,"RT @RandPaul: It’s not so hard to imagine just look at Cuba or Venezuela and see our future if we forget what made America great! 
Imagine……"
47,We stood up to an oppressive tyrant before...🤔 #JustSayin #MAGA #Trump #Conservative #DejaVu https://t.co/Qd7Plu0TW8
48,"@ChadPergram Lucky for Montana, @stevebullockmt is no longer Governor."
49,@RonDeSantisFL is a model for why states’ rights are essential to protecting our Freedom and Liberty. #maga #conservative #firefauci
50,"RT @RepAndyBiggsAZ: The truth always comes out, no matter how much CNN distorts it."
51,"RT @RepAndyBiggsAZ: Want to avoid covid checks &amp; vaccine mandates? 

Identify as an illegal alien crossing our border."
52,"RT @LindseyGrahamSC: I was just informed by the House physician I have tested positive for #COVID19 even after being vaccinated.  

I start…"
53,"RT @RepAndyBiggsAZ: Climate change is not a ""root cause"" for the border crisis.

The root cause is sitting in the White House."
54,RT @charliekirk11: Will you comply with the coming lockdown order?
55,RT @laurenboebert: Misinformation is the new leftist term for “information we don’t like”.
56,"RT @RepMaryMiller: President Biden says that the new COVID mandates are based on number of cases, not deaths.

Why?

Is it because you can’…"
57,"Biden and Pelosi are working off of the Cuban and Venezuelan models of how to destroy a nation. In Congress I will only vote for a Speaker who holds CONSERVATIVE values, will not compromise or surrender to Biden, and will ensure ALL restrictions are lifted. https://t.co/NqWpEKY4ep"
58,"RT @MarkMeadows: Go in the Capitol without a mask, you’ll be arrested.

But cross the border illegally, and you’ll be released by Joe Biden…"
