Unnamed: 0,Text
0,"RT @RBReich: Message to Democrats in Washington:

Time is wasting. Mitch is running out the clock. 10 Republican senators won’t compromise…"
1,"RT @RBReich: The Texas Senate just went out of its way to remove Dr. King, Susan B. Anthony, and Native American history from required curr…"
2,"RT @RBReich: Jeff Bezos’ recreational space trip cost $2,540,000 per minute, and we’re still arguing about whether the billionaires need to…"
3,"RT @GeorgeTakei: People think that rich, famous white people don’t ever go to jail for financial crimes. But if Martha Stewart and Leona He…"
4,"RT @MaddowBlog: I hear a lot of people saying they're ""relitigating"" the election results.
There's no litigation here.
They're not bringing…"
5,RT @ewarren: Big Pharma jacks up costs so high that families get stuck rationing insulin—a drug that’s been around for 100 years. We need o…
6,"RT @GeorgeTakei: Change is possible, even if it takes time. When I was younger, Asian men couldn’t legally marry white women. 

Now look at…"
7,"RT @RBReich: A short history of corporate tax rates:

Reagan: 34%
Clinton: 35%
Bush: 35%
Obama: 35%
Trump: 21%

Biden's original plan: 28%…"
8,RT @RepLizCheney: Freedom only survives if we protect it. We must speak the truth. The election was not stolen. America has not failed. htt…
9,@SpeakerPelosi Why is the stimulus lingering in The House? People need to have the ability to pay rent. People need to have the ability to pay bills. People need to have the ability to pay for food. Getting those checks out NEEDS to be THE priority. WE NEED YOU!💜🕊🦅
10,More... https://t.co/4ezAEnzRiM
11,"And, this morning, I am concerned for America. When we wake tomorrow, we may face a very different world. A world where one voice of hate, violence, and bloodlust carries above all others. Where the President of the United States is held to the lowest of standards..."
12,https://t.co/4ezAEnigre
13,"There is an old adage: “Democrats fall in love; Republicans fall in line.” And it is apparent in this moment that these words ring true. I ask every Republican US Senator to vote today with their heart: for democracy, for The US Constitution, for the people – and to convict."
14,Do we still have a working democracy if the Senate refuses to uphold this impeachment? How can democracy stand if a POTUS can get away with inciting bloody insurrection on OUR Capitol? What are they about to do in OUR good name?
15,"RT @BeschlossDC: Impatient at the wait, the new impeachment lawyers decide to light candles and search the tropical palace in Palm Beach fo…"
16,@POTUS THIS NEEDS TO HAPPEN NOW!!! https://t.co/dVh5dQLuuy
17,"And one more step Forward!

#LoveisLove https://t.co/bXXvVixxjl"
18,"RT @AOC: People were trying to rush and infiltrate our office buildings - that’s why we had to get evacuated in the first place.

The attem…"
19,"Almost happened here in the US. It is time to stand up, speak up, and hold those who had a hand in inciting the Insurrection of January 6th accountable.
#StandinYourTruth https://t.co/QYZSA1HMKn"
