Unnamed: 0,Text
0,Cowards who aid and abet fascists. https://t.co/Jfv8SZYz6H
1,"Running on being a promised veto of anti-abortion legislation while taking no other part in supporting folks who are scared, hurt, seeking abortion, or any other parts of the pro choice movement is old school, self-serving,
opportunistic politicking that loses races."
2,"The loss of bodily autonomy isn’t an opportunity for Dems to mobilize voters or to send urgent fundraising emails for November.

It’s an opportunity for Dems to mobilize their own asses and protect people’s rights."
3,"My abortion story was all over Fox News that led to an onslaught of vile, hateful vitriol directed at our campaign.

If I wasn’t 11 years older &amp; tougher, I would’ve been scared &amp; hurt by these messages.

The PA “abortion champions” who are fundraising off this moment? Silent."
4,You voted against paid family leave you hypocrite https://t.co/6TOgMGTs7Z
5,"There’s power to owning your sexuality. 

That’s why they’re giving AR-15s more rights than our WAPs.

Sexual liberation is a threat to the patriarchy."
6,"RT @CMcGeeIII: Our block, which is warm, welcoming, and full of families, has been labeled a “problem block” by @PhillyPolice. They used th…"
7,Protest at City Hall today 6:30 pm.
8,Time to protest. Let’s get loud. https://t.co/Q3lgwprnD6
9,"We outnumber them 170 million to five. And we’re not going anywhere. 

We’re marching, we’re organizing, and we’re voting out every elected who isn’t standing with us."
10,Canceling student debt would make that percentage a lot prettier. https://t.co/iqPJdI9vcu
11,Make him a -2 and he’s lost my vote
12,"He’s a 10 but accepts bribes, I mean campaign contributions, from the Chamber of Commerce"
13,I have spoken with @philbalderston. I was happy he reached out &amp; for @OdinProp to work with me for a resolution. I’m back to being excited about moving into my new apt! https://t.co/U9ORWdjyxd
14,This is an agenda for civil war. https://t.co/UveLZDnLpG
15,"RT @ahunt4congress: Comment your landlord horror stories, I wanna hear them 👇"
16,"Comment your landlord horror stories, I wanna hear them 👇"
17,Is this one of your properties @philbalderston?
18,"I was excited to move into my new apt but @OdinProp couldn’t bother to even clean it. When I brought this to their attention, they got defensive &amp; sent a janitorial team. They left behind a still dirty apartment AND a swifter wet jet pad that exposed their cleaning incompetence. https://t.co/x5v8qFwdT0"
19,Celebrate Juneteenth this year by writing a legislator and demanding reparations be paid. https://t.co/YhJykG6aj9
20,RT @RepBarbaraLee: Reminder: canceling student loan debt would increase Black wealth by 40%.
21,Cheesing because I got to pay the young person’s entry fee but was old enough to attend happy hour at the Philadelphia Flower Show 😄 https://t.co/y7pYtyyKcR
22,RT @PatrickJKelly7: Please consider supporting this effort to help my friend and colleague @Luther_Fasehun continue his excellent work in t…
23,Health insurance. https://t.co/17kqYC5Rbw
24,"“This way for the scenic route to your World Cup game, I hope you invested in quality tires.” https://t.co/tNyObKB7uf"
