Unnamed: 0,Text
0,I’m looking forward to going to check out the Rattlers today… https://t.co/G1gZwkev8R
1,"We celebrate you Dr Humphries, you truly built an empire at #FAMU, and taught us all what excellence with caring means. … Gone, but not forgotten !  #FSHourFAMUPresident https://t.co/i5OP2jau4u"
2,They don't make 'em like Joe anymore. I was humbled to endorse President-Elect @JoeBiden early on. I knew he was who we needed to rebuild the soul of our nation. We are witnessing history with Vice President-Elect @KamalaHarris. Together these leaders will unite our nation. https://t.co/tUZTgTzR7j
3,"Thank you. Happy to be going back to Washington, DC to represent Florida’s 5th Congressional District. https://t.co/aJQQUnoht7"
4,"Joe Biden wants to build our economy back better, and help rural communities access federal resources that they need. Join Congressman Clyburn, Rep. Alexander, Gadsden County Commissioner Holt &amp; me tonight at 6PM for the Build Back Better Rural Roadshow.
https://t.co/NrpGJvEdcO"
5,"We are in a battle for the soul of our nation, and Joe and #Kamala can't do this alone. #TeamJoe https://t.co/bBvPOTgmFm"
6,"And that's what the young people call, ""A Read."" #KHive #TeamKamala https://t.co/PU4URW3Z3M"
7,RT @JoeBiden: Pitch in $5 to help this campaign fly. https://t.co/CqHAId0j8t https://t.co/NbkPl0a8HV
8,"RT @KamalaHarris: #ImVotingFor people like my mother, Shyamala, who taught my sister and me that if you see a problem, you don't complain a…"
9,RT @JoeBiden: Florida — today's decision to extend the voter registration deadline is a win for our democracy. If you haven't registered to…
10,"RT @DonnaShalala: Donald Trump has played politics with this crisis since the beginning. 

I’ve been working across the aisle to prepare fo…"
11,Check out @AttorneyCrump's powerful interview with @KamalaHarris where they discuss turning pain into true policy and police reform #TeamJoe #TLH #BLM https://t.co/qJ84251Y2p
12,"RT @KamalaHarris: On this day 60 years ago, activists—like Rodney Hurst—with their hearts set on equality, were attacked in Jacksonville’s…"
13,"RT @DrBiden: Build Bark Better.

Happy #NationalDogDay. https://t.co/64HXEBscwO"
14,"RT @SenSchumer: Don’t get distracted. No matter what nonsense President Trump says, he’s going to leave the White House when his term ends.…"
15,"Thank you, #Hamilton, #Jefferson, #Leon, #Madison counties #FL05 https://t.co/XcTQ9JyNiO"
16,"Thank you #Baker, #Columbia, #Duval and #Gadsden counties #FL05 https://t.co/FwtJPRkVAS"
17,Thank you #FL05 https://t.co/DeOOaUd2Ku
18,RT @VinceEvans: Congratulations boss. All my love to you and the family.  🖤 https://t.co/g9j23Xkbjh
19,"Thank you, #TeamLawson. We did it! https://t.co/sdqlQo81sp"
20,"RT @thematthill: More than 200 days after @JoeBiden won this endorsement over the New York Times editorial board, @_Jacquelyn2020 will now…"
21,"RT @FlaDems: Polls close TODAY at 7PM!

Remember: if you're in line before 7PM, you can still cast your ballot!

#VoteFLDems https://t.co/6…"
22,RT @JoeBiden: Be a patriot. Protect your fellow citizens. Wear a mask.
23,Thankful for all of the endorsements I have received throughout this campaign. Let's make it count! #Vote #FloridaPrimary #Lawson4Congress #FL05 #FLPrimary https://t.co/26rz0K2Sem
24,"I care about our community, and understand the work we must do in Congress to build a better, stronger nation for the generation behind us. #Jacksonville #JaxPol #FL05 https://t.co/J94MvRUFcP"
25,"I am truly honored to have received the endorsement of my fellow CBC members. As we continue to fight to confront matters that plague our communities, it's essential we have leaders who are not afraid to speak out and challenge unfairness, discrimination and inequalities. #FL05 https://t.co/fqMVj1fccF"
26,"When heading to the polls today in #FL05 to #vote, remember safety first. #Lawson4Congress https://t.co/E6JYI6dRdr"
27,"Polls are open from 7AM-7PM. Make sure your #vote is counted in #FL05. While you're out #voting #Lawson4Congress, take the time to #ThankAPollWorker. https://t.co/hlDrJ108BF"
28,"RT @TerrieRizzo: Keep it up @FlaDems! Today is Election Day — be sure to vote! 

If you still have a Vote-By-Mail ballot, deliver it to you…"
29,"We start the sign waving tradition early on #TeamLawson. Harlem, tell them who you're voting for!!

Make sure you #Vote Al Lawson for #FL05 this #ElectionDay. #FloridaPrimary https://t.co/Q6sCxpbeY8"
30,Election Day is here! Are you on #TeamLawson? #FL05 #FlaPol https://t.co/OPKvIvHE8D
31,"Since 2017, I have been standing tall for #NorthFlorida. I am fighting for a clean #environment, a livable wage, affordable healthcare, resources for our #veterans, quality #education &amp; more. #Vote on August 18 for #Lawson4Congress in #FL05. #covid19 #WomensRights  #smallbusiness https://t.co/55dUJTbqA6"
32,Spent some time with the #FAMU men's basketball team 🏀 at #SoulsToThePolls in #Tallahassee today. Great to see these guys engaged in the political process. Let's go #Rattlers #FAMUMade #FL05 #KeepMeInTheGame #Lawson4Congress https://t.co/yoVX5QA5Ct
33,Today is the last day of #EarlyVoting. Make sure your voices are heard 👂. Vote 🗳 #Lawson4Congress. #FL05 #TLH #Jax #VoteBlue #FlaPol #SoulsToThePolls https://t.co/NncjwY3usO
