Unnamed: 0,Text
0,It’s time to go ALL IN with ALLAN!  Donate today: https://t.co/GNpANE6xCg! https://t.co/fYyIfJV8Wo
1,RT @mattholt33: Fung absolutely can flip RI-02 in an environment like this with Biden's numbers being *that* bad.
2,"RT @SamLBullock: 👀

- @AllanFungRI leads every Dem candidate in #RI02
- Joe Biden faces a 52.5% disapproval rating in deep blue RI
- 68.9%…"
3,"RT @DanMcGowan: More Suffolk/Globe Rhode Island poll results:

Republican favorite Allan Fung leads each of his potential Democratic rivals…"
4,Always fun to join @NewsProvidence for Latino Public Radio’s Political BBQ! https://t.co/Hk0AMkVK7m
5,Great to visit Chepachet as preparations are underway for the Ancients &amp; Horribles parade! 🇺🇸 https://t.co/JsbKdkCZZM
6,"It’s a gorgeous day in Coventry to celebrate faith &amp; family, and enjoy some fabulous Polish food at Our Lady of Czenstochowa! https://t.co/vol1m0fHRR"
7,Always a great night with friends like these… https://t.co/Ft1HTrKxMH
8,"Proud to be there for my friend Aaron Guckian as he announces his run for Lieutenant Governor!  The son of a hard working plumber &amp; a respiratory therapist, this 6’6” pro-business leader is going to take RI to new heights! https://t.co/1oqxH79CR0"
9,RT @JohnPagliarini4: All  these @HendrickenHawks were glad to see Classical High School and former Cranston Mayor @AllanFungRI  tonight. Tr…
10,https://t.co/7f49K7bkKV
11,It’s a good day to celebrate Dads up on @FederalHillRI at #SummerFest!  #MangiaBene 🇮🇹 https://t.co/CX14tkXUWq
12,"Even four years after he’s passed on, Kwong Wen still gets the #FatherOfTheYear award from me… Going from a small fishing village in China to Cranston RI to make a better life for his family, he worked 24/7 to make sure we lived the #AmericanDream. #HappyFathersDay https://t.co/og3DL5TwhS"
13,"RT @BarbaraAnnRI: All you need is love, luck, a lot of laughter, lion dancers &amp; the best extended family ever… #6Years #Fungamania #HappyAn…"
14,Six years ago today… Happy anniversary to the woman who is always making me laugh &amp; a fantastic partner in this crazy life. https://t.co/FWlmnDcrVq
15,Every heart beats true ‘neath the red white and blue… #HappyFlagDay 🇺🇸 https://t.co/DAjsjcd1d0
16,"Less than two months after formally launching the campaign, we’ve been promoted to full “Young Gun” status by the @NRCC! Let’s get this state and country back on track! #AllInWithAllan https://t.co/d8sktji7JI"
17,A great end to Gaspee 🇺🇸🇬🇧 weekend with the Blessing of the Fleet! https://t.co/WSAaLNjBT2
18,Happy Gaspee Days! 🇺🇸🇬🇧 https://t.co/Wq8HfWI9Ir
19,"Capping off a fun night in North Kingstown with the BEST ribs at @oakhilltavern, owned by my former @RICNews classmate Brian Casey. https://t.co/y185wMApx3"
20,"While in Coventry for the Portuguese flag raising, I crashed an elementary school reunion at Main Street Pub! #FungForAll 🇵🇹 https://t.co/nrEeE1KP48"
21,RT @FitzProv: RI poised to become fourth state to require teaching Asian-American history. 'The RI legislature formally recognized that we…
22,"“At the core, American citizen soldiers knew the difference between right and wrong and didn’t want to live in a world in which wrong prevailed. So they fought, &amp; won, and all of us, living &amp; yet to be born, must be forever profoundly grateful.” - Stephen Ambrose #DDay78 🇺🇸 https://t.co/x63UPxARnq"
23,@NBC10_Tamara Greek Mac &amp; Cheese for the win!  https://t.co/w5Fk6eKO9Q
24,A phenomenal crowd last night in West Warwick to honor the memory of Matt Dennison. #ClapBackWithMatt https://t.co/RCi4k6Y5qh
25,"It was an honor to pay tribute to the Venerable Phra Ajahn Bounthanh Prasavath. Before he became a Buddhist monk, he worked with the US Army’s Special Guerilla Units to help defend his native Laos. After spending 9 years as a POW, he escaped &amp; started an amazing life in the US. https://t.co/nMwZWq0zhW"
26,We have the most adorable volunteers!  #FungForCongress https://t.co/NzI8HsUK6x
27,Loved visiting my friends in Chepachet and the crew at Tavern on Main!  The stuffed meatballs and catfish were awesome! https://t.co/xvq5MFAhpY
28,"Great to support the pillars of West Greenwich - Kevin Breene, Mark Tourgee, &amp; Sherry Roberts! 🇺🇸 https://t.co/WmIB3V9NUL"
29,It was a beautiful day across RI as neighbors and friends came out to honor the sacrifices of so many brave Americans on this #MemorialDay2022. 🇺🇸 https://t.co/SseeAXBA4e
30,Great to see so many friends at the @GaspeeDay Festival! https://t.co/HyQ10YIbXM
31,"RT @DanielSFirst01: It’s been over a decade since the GOP won statewide in RI &amp; 30+yrs since the GOP won #RI02

But @AllanFungRI &amp; the 2022…"
32,A huge congratulations to my dear friend Dennis DeJesus on an amazing career changing lives and fostering a culture of inclusion at #SpecialOlympics! #ChooseToInclude 🏆 https://t.co/93YGl4iHLb
