Unnamed: 0,Text
0,"Dedrick Baldwin &amp; Therris Conney Jr., were both sentenced to one year in Alachua County jail. 

Their crime was voting while black in Florida. Injustice anywhere is a threat to justice everywhere. https://t.co/QwUCOqn92Z https://t.co/Lx9WmsGr54"
1,@5150Mel @CupcakesForYou7 @sowegaCat https://t.co/Yv4ekiFNoF
2,"When America needed leadership the most, Democrats were there to help. 
Democratic policies help Americans. 
💙Heroes Act
💙Cares Act
💙American Rescue Plan Act
💙Infrastructure Investment &amp; Jobs Act.
🧡Protecting Our Kids Act
#TheBluePrint #FL23💙🇺🇸"
3,@jadedcreative https://t.co/b3poURMqPy
4,@jadedcreative https://t.co/ogXAhUDjhq
5,@EdwardW136116 @Wobbledance1 @marcorubio Yes. https://t.co/gFGWJFRgWi
6,"@TackyTrout @TheCodedGalaxy @YuriPlayz3 @omgomg286 Doing well, thank you."
7,@TheCodedGalaxy @YuriPlayz3 @omgomg286 A little.
8,@EdwardW136116 @Wobbledance1 I’m not @marcorubio.
9,@TackyTrout @TheCodedGalaxy @YuriPlayz3 @omgomg286 How are you?
10,@YuriPlayz3 @TheCodedGalaxy @omgomg286 Do you not like my gifs?
11,@ej_stew @szwest1 @GOP Thank you. https://t.co/qMyJVKAMq4
12,@TheCodedGalaxy @YuriPlayz3 @omgomg286 Vans World
13,@TheCodedGalaxy @YuriPlayz3 @omgomg286 https://t.co/EQm2z70qRQ
14,@YuriPlayz3 @omgomg286 @TheCodedGalaxy https://t.co/JQOgc4GeFq
15,@YuriPlayz3 @omgomg286 @TheCodedGalaxy https://t.co/b0TUyzqxlC
16,@omgomg286 @TheCodedGalaxy https://t.co/PsTtTm2zzL
17,@Sbh08Mae Thank you for amplifying. #FL23 💙🇺🇸 https://t.co/A3WoiTajwb
18,@omgomg286 https://t.co/4hS5UUx991
19,"The Lower Food &amp; Fuel Cost Act helps every American, not just Democrats. So, why is GOP lawmakers voting against the better interests of the people. Spin that! Florida is in desperate need of new leadership. They don’t really care about us! https://t.co/QZ570j2k0Y"
20,RT @TeamEllison2022: With @AllenLEllison you get a leader who listens and takes action. Join #TeamEllison on #ANewPathForward and work with…
21,"Please check your voter registration status. It takes less than 30 seconds to check with this free 50-state tool. If you're not registered, we'll help you take care of that. 👉🏾 https://t.co/StmIl7PMhZ https://t.co/tgZ07TfznV"
22,@Suzannah345 That is because of GOP messaging. Most people who study this political science understand that Democratic policies are a completely different construct that communism. If we be honest with ourselves. Democratic policies benefit Americans directly more than another other party.
23,"RT @TheTurch: @AllenLEllison @Yemayah777 I’m now an independent in Florida, but you can be damn sure I VOTE BLUE, NO MATTER WHO."
24,@EwaZwonarz @DemsAbroad
25,@Suzannah345 What does that mean?
26,"RT @LLife71: 57 days until the Primaries. Let’s get @AllenLEllison through to the midterms. https://t.co/PahXPapwaa
#23AndAE 
#AllenEllison…"
27,"RT @QueenMsAnn: Once a person has paid their debt to society, they should not be punished for the rest of their lives. I believe in second…"
28,@toocoolage Thank you. Join our team. https://t.co/2auqwuopl6
29,@WaterPoolDucks Thank you.
30,@nomurderhornets @lmg1700 Thank you. https://t.co/fPMpROFi51
31,"If you live in Florida’s 23rd Congressional District &amp; you are with me, raise your hand. If you know someone who lives in #FL23, raised your hand. I want to be your next Congressman💙🇺🇸. #YouandMeTogether https://t.co/6tf0qj5fkN"
32,RT @QueenMsAnn: @AllenLEllison stands for #WomensRights &amp; has been for a long time. He listens/engages about issues that matter to you. Go…
33,@boricuaranqueao Thank you.💙🇺🇸
34,Thank you for helping me reach 142k followers. Let’s keep this momentum building. #FL23 #ANewPathForward💙🇺🇸 https://t.co/BcJ9C5jdbx
35,@VDragon77607790 Thank you.💙🇺🇸
36,"RT @ScreamingMickey: No way was I gonna get on here and testify about a politician. 
 I wasn't looking for hope, where IS it?
Accidentally…"
37,"@mercballoonlady 3,865,575 NPAs"
38,"@RobinHMerrill 3,865,575"
39,To deny an American their equality of rights is unAmerican. 💙🇺🇸 #ERA #FL23 👉🏾 https://t.co/FcMLGNUJ0F https://t.co/rWB7Ctfslh
