Unnamed: 0,Text
0,https://t.co/DGHhYfroHv
1,https://t.co/mPm2Nz5xif https://t.co/x8vtYq3S3N
2,https://t.co/xW7tsnzzZw https://t.co/y28yxAYHbM
3,https://t.co/0ror6vEYf0
4,"I am PRO SCHOOL CHOICE! I am PRO POLICE! I am PRO LIFE! I am PRO 2ND AMENDMENT! I AM A PATRIOT REPUBLICAN! 
If you are SICK of the tyranny our government officials from the left are handing down, VOTE Allison Salinas for US Senate 2022!!!!!"
5,You TIRED of Lori Lightfoot and her shenanigans and corrupt leadership??? TUNE IN at 7:30pm TONIGHT- RIGHT HERE while I talk with Patrick Keegan and his plans to UNSEAT her in 2023!!! https://t.co/KRdMJFXy2r
6,***STICKERS COMING SOON!*** 3 1/2” x 4 1/2” Other sizes can be ordered by request! https://t.co/tzubY8gZML
7,"👇 DROP me your city if you want me to do a Meet &amp; Greet NEAR YOU!! 

https://t.co/m4ZDqS2Cz3

#makingillinoisproudagain

Allison Salinas for US Senate 2022"
8,"@MELANIATRUMP https://t.co/m4ZDqS2Cz3 looking to replace Tammy Duckworth and gain MY PRESIDENTS support, Donald J.Trump"
9,"No matter how hard our own struggles are, there is always someone struggling harder… read that again.❤️❤️❤️❤️"
10,I will be signing this today! https://t.co/jGYJ0W0mm9
11,I will be interview on AM 560’s Part if the answer with Daniel Ehrman on Aug 5th! It is pre recorded so I believe it will air the following Sunday!
12,@MmaxSolomon looking for you to jump on tonight’s show- we need to do sound check:)
13,"My Campaign Hashtag!
#MakingIllinoisProudAgain"
14,@DrPaulGosar Hello! My name is Allison Salinas and I’m running for U.S. Senate against Tammy Duckworth for Illinois. Please feel free to check me out! https://t.co/m4ZDqS2Cz3
15,https://t.co/TF3Cv6XnJR
16,https://t.co/TF3Cv6XnJR
17,https://t.co/LHUxFdwLUI https://t.co/5jwdGxU4Pw
18,@EricTrump I need your dad to see this. He was 12 at the time and 17 now. Still a trump fan. His name is Luke Hagan. https://t.co/Uwp4LS5eTp
19,@Steve_Chucri Hello Steve. My name is Allison Salinas and I am running for U.S. Senate in 2022 for Illinois. I’d like to get connected to set up a tour of the audit facility on June 30th. Do you have connections with that?
20,@FannKfann Hello and Good Morning. My name@is Allison Salinas and I am running for U.S. Senate in 2022 for Illinois. I would like to tour the audit facility on June 30th. I will@be flying in that morning. Can we set up a tour?
21,"Big things coming up for my campaign!!!! Stay tuned! I can’t wait to share them with all of my supporters! 
I have been through the ringer and back- still standing tall, still standing for the people of Illinois! 
I will show you WHY I am the RIGHT choice for U.S. Senate in 2022 https://t.co/GROHjyjKIH"
