Unnamed: 0,Text
0,This is about freedom. The Supreme Court's decision to overturn Roe v. Wade is a direct attack on health care choices that simply must be left to the patient and their doctor. https://t.co/vYu6TD1Fyi
1,#juneteenth2022
2,"#Juneteenth is a celebration of Black emancipation and the freeing of the last enslaved people in 1865.

We know this wasn't the end of our pursuit for racial justice in this country, but we remain committed to this goal and for the freedom and equality of all Americans. https://t.co/LbIJGzK6AD"
3,#SacramentoCounty
4,"I want to convey my deep appreciation to voters in the new #CA06 for choosing me as your Dem candidate during Tuesday's primary. As we move into the general election season, I will continue to be your advocate in Washington and work hard to earn your trust again in November"
5,Happy #ElectionDay; get out and vote to make your voice heard!
6,#SacramentoCounty
7,"With Roe under attack and so many other important issues hanging in the balance, this election is even more pivotal. Return your ballot by June 7th. Your vote is your voice!

https://t.co/uFXIdqc8D3"
8,"RT @Livableworld: 📢 New CLW endorsement!

🎉 We’re excited to endorse a true champion of our issues in the House: @BeraForCongress!

Rep. Be…"
9,Proud to receive the League of Conservation Voters' endorsement! https://t.co/dzwg9zAobO
10,#SacramentoCounty
11,Had a great time chatting with residents in North Natomas and learning about their concerns. Looking forward to many more discussions with voters in the new sixth congressional district. https://t.co/Vika0Ox52l
12,#ARPinAction
13,"Today is the one year anniversary of the passage of the American Rescue Plan. Federal dollars that have been put towards opening our schools, spurring our economy, and delivering hundreds of millions of vaccines, have helped us continue on a strong path forward. https://t.co/KNXx2QnUgb"
14,"Excited to receive NRDC Action Fund's endorsement.  I will continue to support policies and legislation that will not only protect our planet, but also create millions of new jobs and improve the health and quality of life for Sacramento County and our country. https://t.co/RC6Krw1rOZ"
15,#Election2022
16,I've officially filed to run in California's new 6th congressional district and would be honored to earn your vote in the June primary election. Let's keep pushing Sacramento County forward. https://t.co/4t3JuCwuJi
17,"RT @KamalaHarris: This Women’s History Month, we honor and celebrate the extraordinary women whose contributions and achievements and break…"
18,I'm honored to once again receive Equality California's endorsement. Let's all continue the push for full LGBTQ+ equality. https://t.co/cCq3oJdcrX
19,Let's continue working together for the benefit of all of us.
20,"Powerful sentiments from President @JoeBiden during his #SOTU speech. We are committed to rebuilding our infrastructure, lowering the cost of care, and supporting our nation's veterans."
21,#LunarNewYear2022
22,"May we find strength and courage to work together, continue to fight this pandemic, and make 2022 brighter for all. #HappyLunarNewYear https://t.co/MwJdld1LXW"
23,"RT @KamalaHarris: Black history is American history. 

As Black History Month begins, we honor those who built America from its foundation…"
24,#MLKDay
25,I am forever inspired by Dr. King and the legacy he left for us to follow. We must continue to stand for voting rights and make sure the Freedom to Vote Act becomes law.
26,#2022NewYear
27,Wishing everyone a happy new year!
28,#SacramentoCounty
29,"I am excited to announce my re-election campaign for California's New 6th Congressional District. I look forward to continue working for Sacramento County.

https://t.co/nXPu6mJdg5"
30,#Thanksgiving2021
31,Wishing all a very happy Thanksgiving! I am thankful to represent Sacramento County in Congress and to work for you everyday on the issues that matter.
32,#BuildBackBetter
33,"Happy birthday President @JoeBiden! 

Thank you for your leadership and efforts to rise above the noise to get things done for the American people https://t.co/iTGjwYcn3u"
34,#VeteransDay2021
35,"To all who have served our country, thank you."
36,"RT @GavinNewsom: CALIFORNIA: TODAY IS THE DAY!

Let’s get out there and VOTE NO!!

Find your polling place here: https://t.co/XlF6WVh2yE"
37,#LaborDay2021
38,"From weekends, overtime pay, and the 40 hour work week to pensions, retirement plans, sick leave, and safety regulations — we must recognize those in the labor movement who gave and continue to give so much, to make this a reality. Let's enjoy #LaborDay and be thankful."
39,Thank you @NARAL for your support! Glad to join my colleagues to keep medical decisions between a patient and their doctor. https://t.co/bvqxfBKQnn
40,#IndependenceDay2021
41,Have a safe and happy #FourthofJuly ! Let's work to embody the values and ideals of America. https://t.co/5mDhvvRNhF
42,We're all in this together https://t.co/spyaOwIJMr
43,RT @TeamPelosi: Congressman Ami Bera works to expand and improve health care access as a natural extension of his years of service as a med…
44,"The attack on our Capitol on January 6th was beyond disgraceful. A bipartisan commission must be created to investigate the events surrounding that day. And let's be clear, this is not about Democrats or Republicans, this is about our country and our democracy. https://t.co/qDPOdCb7Tc"
45,"@KamalaHarris' story is that of so many others. And even with the differences in our backgrounds, we are all united as Americans. https://t.co/wPE2jfsDDh"
46,#TeacherAppreciationWeek
47,"Thank you to all the teachers and educators out there for all the work you do, especially during the pandemic. My mom was a public school teacher and I know how much time and effort is needed to teach our next generation. Let's all #ThankATeacher and recognize their impact."
48,"RT @CA_Dem: Elections have consequences. 

We organized, got out the vote, and now the Biden-Harris Administration is hard at work getting…"
49,#EarthDay2021
50,Today we celebrate our planet and recommit ourselves to ensure a healthy world for future generations. Happy #EarthDay https://t.co/tdYqZixSiP
51,We still have a lot of work to do despite the encouraging verdict from Tuesday; the George Floyd Justice in Policing Act would be another step in the right direction. https://t.co/fnjsftMuZE
52,"This global pandemic has highlighted how interconnected we all are. On #WorldHealthDay, let's work to create equity in our health care systems and build a healthier world. https://t.co/eAZ7cnVIvh"
53,Happy Easter to everyone celebrating!
54,#NationalDoctorsDay
55,"Happy National Doctors Day to all the other doctors out there, especially those on the frontlines during this pandemic. Thank you for continuing to help those in need."
56,"I am appalled by the senseless tragedy yesterday in Colorado. My heart goes out to the victims and their families.

Tragic events like the ones we've seen this past week are the reason I continue to push for common sense gun violence prevention laws. Change is long overdue."
57,"RT @AGBecerra: It has been an honor to serve as California's Attorney General.

For the last four years, I've had the privilege of working…"
58,RT @ACLU: Asian Americans have long been the target of discrimination and hate in our country's history and have worked in solidarity with…
59,"RT @POTUS: This afternoon, I’m signing the American Rescue Plan – a historic bill that will turn the page on this pandemic and jumpstart ou…"
60,#InternationalWomensDay
61,Happy #InternationalWomensDay I am continually inspired by the remarkable women in my life. https://t.co/xoNFILbYUv
62,RT @NAACP: Today we commemorate the 56th anniversary of #BloodySunday for the first time without our beloved #JohnLewis. Let us use this mo…
63,#BloodySunday #HR1
64,"Today marks the 56th anniv. of the peaceful protests for voting rights that turned bloody and violent, but led to the passage of the Voting Rights Act. We now have the opportunity to strengthen our democracy with the For the People Act and honor those who sacrificed so much. https://t.co/rG8OG2ztSS"
65,"RT @TeamPelosi: We got this. As always, #ForThePeople."
66,"RT @washingtonpost: House passes expansive police reform bill, named for George Floyd, that would ban chokeholds and prohibit certain no-kn…"
67,"RT @VP: Women make history every day. Some we know—the Suffragettes, the Riveters. The stories of others—especially women of color and LGBT…"
68,"RT @POTUS: To heal, we must remember. https://t.co/LVfAnRpHlW"
69,RT @CA_Dem: California Democrats unequivocally opposes the Republican recall effort of Gov. Gavin Newsom and stands prepared to organize an…
70,"RT @POTUS: On this Presidents’ Day, I promise you as your president, my whole soul is in the work ahead of us. And if we do it together, as…"
71,#presidentsday2021
72,The office of the Presidency must be taken seriously. This President's Day I'm thankful for a return to integrity and respect in our highest office.
73,"RT @CA_Dem: With a smiling face, we celebrate #PresidentsDay. We celebrate a President who cares about all people and is working towards re…"
74,#YearOfTheOx
75,Happy #LunarNewYear! May the the year bring us strength and resiliency to continue through this pandemic. Wishing all health and happiness.
76,RT @CNN: President Biden will reopen enrollment on the federal Affordable Care Act exchanges Thursday as part of a series of executive acti…
77,"RT @CA_Dem: Smiling from ear to ear.😊 Dems you did it - kept the House, took the Senate and won the Presidency! 

🇺🇸Congratulations, Senato…"
78,#Inauguration2021
79,"Congratulations to President Biden and Vice President Harris! While there is much work ahead, today is an incredible day for our nation and I am optimistic about what the future holds."
80,RT @JoeBiden: It’s a new day in America.
81,#BidenHarrisInauguration
82,"Looking forward to tonight's official AAPI Inaugural Ball, hosted by @IAImpactFund and @RUNAAPI at 7pm ET! You can tune in at https://t.co/StcJ4qGqZ4"
83,RT @KamalaHarris: #Inauguration2021 on Wednesday may look a little different from years past but it’s important we all take a moment to cel…
84,RT @HISTORY: “The time is always right to do what is right.” #MLKDay2021 https://t.co/WZL7e0LUut
85,Trump is unfit to continue holding the office of the presidency.
86,"Today I voted to impeach President Trump. The President has shown his willingness to incite violence against our Capitol and our democracy, breaking his oath of office in the process. While I did not take this decision lightly, it was necessary."
87,#CA07 #SacramentoCounty
88,Yesterday I was sworn into the 117th Congress. I am humbled the voters in CA-07 have reelected me to serve in the House of Representatives. I look forward to working with a new administration to address the issues faced by everyday Americans.
89,"From my family to yours, Merry Christmas. I wish you all peace and joy this holiday season. https://t.co/82R5mlqb96"
90,RT @nprpolitics: Just in: California Gov. Gavin Newsom has selected Secretary of State Alex Padilla to replace Vice President-elect Kamala…
91,RT @JoeBiden: Stay hopeful — brighter days lie ahead.
92,"RT @CA_Dem: California's 55 electors put Joe Biden over the 270 Electoral College votes needed to become president, affirming Biden's elect…"
93,#HappyHannukah
94,Happy Hanukkah. I wish all who are celebrating peace and happiness. https://t.co/DIpPw9nkXn
95,#HumanRightsDay2020
96,"The Universal Declaration of Human Rights is as important today as when it was signed in 1948. Today, as we celebrate Human Rights Day, let's continue advancing the rights of everyone at home and abroad. https://t.co/8XSauvI2G1"
97,RT @spmaloney: NEW: @Vgescobar &amp; @Schneider4IL10 are joining @LindaTSanchez @MarcVeasey @BeraForCongress @AngieCraigMN @TeresaForNM @Steven…
98,"I am thrilled that @XavierBecerra, a Sacramento native, has been chosen to serve in Biden's cabinet. I'm grateful for Xavier's support and friendship over the years and look forward to working with him as the next Secretary of Health and Human Services. https://t.co/CumNae6dCy"
99,"RT @CA_Dem: Congratulations @AGBecerra!!!
We're smiling at all the CA representation heading to Washington 😊
#CaliPride #CaliforniaLeads
ht…"
