Unnamed: 0,Text
0,"I’m outraged by the Supreme Court’s reckless decision to overturn #RoeVWade. This puts countless women in jeopardy here in Indiana and across America. This November, we have a clear choice to make when it comes to women’s health, and I urge every Hoosier to vote accordingly."
1,#HappyJuneteenth https://t.co/ulkgmShV5k
2,Happy #FathersDay to my fellow Hoosier Dads and father figures! https://t.co/nIQUG0PtrB
3,"Thank you to everyone who participated in this year’s @indypride Parade! As your Congressman, I will continue to fight on behalf of Indiana’s LGBTQ+ community. #pride https://t.co/M0Xzi36kTb"
4,"Walk with us this Saturday, June 11th in the Indy Pride Parade! RSVP now at the following link: https://t.co/1IXuqX7stG https://t.co/ZqCWuaFuv9"
5,"RT @RevJJackson: 4) In the strongest possible terms I urge all candidates for elected office to use your platform to unite us, not divide u…"
6,"Happy Pride Month, Hoosiers! As the community faces new challenges both in Indiana and across the nation, I will continue to stand with you and be an advocate in Congress. https://t.co/Og0tpzQhTX"
7,Today we remember and recgonize those who have made the ultimate sacrifice for our nation. Thank you to all who have served both past and present! #MemorialDay https://t.co/0ZZgIkNhqr
8,"Happy Race Day to Hoosiers and racing fans everywhere! To the 325,000 expected attendees, I wish you a safe and fun day in the racing capital of the world! https://t.co/kzcR9GfaiQ"
9,"IndyPride is back! Sign up now to walk with Team Carson in this year's parade on June 11th, starting at 10:00 AM on Mass Ave. RSVP now at this link: https://t.co/1IXuqX7stG https://t.co/0YlfXej2Mr"
10,"Thank you, Indianapolis! I’m honored to be your Democratic nominee for the 7th Congressional District. It wouldn’t be possible without the amazing voters, supporters and volunteers. This is your victory as well! #gratitude"
11,"Happy Election Day! Polls are open today until 6:00 PM. You can vote at any vote center in Marion County. To find YOUR closest vote center, visit https://t.co/QdYEJH6GPl https://t.co/Vc88qDk4Up"
12,"#EidMubarak to my fellow Muslims in Indiana, across America, and around the world! I hope your Ramadan was meaningful and fulfilling. https://t.co/ptGLv26Bpt"
13,Early voting sites are open today all across Marion County from 10am-5pm. Find your early vote site at https://t.co/QdYEJH6GPl! https://t.co/XjJNO105wi
14,"I’m very saddened to hear of the passing of former Sheriff Anderson, who was a tireless public servant and the 1st African American person to serve as Sheriff of Marion County. We will keep this trailblazer’s legacy alive through our continued efforts to create safer communities. https://t.co/Esti6x7ofW"
15,"Last night I had the honor of speaking with the members of Hoosier Women Forward in Washington, DC. I’m inspired by my fellow Hoosiers and their dedication to grow and improve our great state. #HWFontheHill https://t.co/atSjqFwvgp"
16,"I voted! Have you? Early voting is underway at the City-County Building, and starting on Saturday, April 23rd eight additional early voting locations will be opening around Marion County. Now is the time to make a plan, go to https://t.co/QdYEJH6GPl for times and locations. https://t.co/iejwzyYBUG"
17,Team Carson braved the cold this morning to go door-to-door in Washington Township to remind voters of the upcoming May 3rd primary election. Thank you @ryanmearsindy and @Becker4Recorder for joining us! https://t.co/C6eEtfISzR
18,Congratulations to #JusticeKetanjiBrownJackson on her historic confirmation to the United States Supreme Court today! Justice Jackson will be an incredible voice for justice and I am excited to see her thrive on the bench. https://t.co/OBmRKmjXBm
19,Early voting has begun! Beat the line and stop by the City-County Building between now and May 3rd to cast your vote in the 2022 primary. https://t.co/asfvqqrnhH
20,It's campaign season! Show your support for Congressman André Carson with a free yard sign. Email andrew@andrecarson.com to request a sign. https://t.co/EGx7ZEtj83
21,Attention Indianapolis voters! The deadline to register to vote for this year’s May 3rd Primary Election is TOMORROW! Make sure your voice is heard by registering online or checking your registration status at https://t.co/MdRUiKn2Ll
22,"#RamadanMubarak to all Hoosier Muslims and Muslims worldwide! I wish you all a happy, peaceful, and blessed holy month. https://t.co/CBJdIYcLLR"
23,"RT @TeamPelosi: Congressman André Carson has served the public his whole career, including in law enforcement and intelligence.
 
In the Ho…"
24,"Tonight, I championed these achievements alongside Prosecutor @ryanmearsindy, State Rep. @CareyHamilton1, Union Brother Jon Hooker, and the @INDems, and look forward to working to bring more resources to our great state. https://t.co/OlIdI2ySSh"
25,"As a result, critical funds were sent to Indiana to save us from the brink of a health and economic crisis. More jobs and money are headed Indiana’s way to help us Build Back Better."
26,Democrats have delivered under the Biden Administration by passing the American Rescue Plan and the Infrastructure Investment and Jobs Act.
27,"This morning I had the absolute honor to receive the endorsement of the Marion County Democratic Party for the Indiana’s 7th Congressional District. It has been my great honor to serve, and I look forward to continuing to work hard everyday for the great people of Indianapolis. https://t.co/yFhBrAZqMO"
28,"Happy Dr. Martin Luther King Jr. Day! Today, as we celebrate the life of this remarkable man, let us renew our commitment to carrying on his work to create a more just society for all. https://t.co/cXO3l7lMAT"
29,"This morning, I was honored to officially file to run for re-election to Indiana 7th Congressional District. I look forward to keeping up the vital work to make our city and country a better place for all, and earning your vote once again."
30,"Happy New Year, Indy! May 2022 bring you and your loved ones hope, joy, and good health. https://t.co/s1rPYhvYiy"
31,"#MerryChristmas! May your homes be filled with love, light, and joy throughout this holiday season. https://t.co/uNWl34bIwO"
32,"Happy Veterans Day! Today and every day, we honor Hoosiers who have pledged to serve our great country and state. https://t.co/m3TSUdF2PF"
33,"I stand with the Hoosiers, &amp; people across our country, rallying today to protect #ReproductiveRights. Our fight isn’t just about rolling back egregious anti-choice laws and stopping #Roe from being overturned. We also need to pass laws that strengthen this right for every woman!"
34,Today is #NationalVoterRegistrationDay! To register to vote or update your registration go to https://t.co/Sn0Ee39s6d. Don’t miss this opportunity to be #VoteReady for the 2022 elections! https://t.co/JNlSlYjZ3V
35,Thankful for such a beautiful fall weekend celebrating #CircleCityClassic! It was great to see our community together again for this historic event. Thank you to all the Team Carson volunteers for joining us! https://t.co/gRAVkHiSB4
36,We could not have asked for a more beautiful fall morning to walk in the Riverside Neighborhood Parade! It was so good to be around fellow community leaders and neighbors. Thank you to all the amazing volunteers who joined us! https://t.co/D9tVtGuLpq
37,"20 years ago today, we lost the lives of thousands of Americans in the September 11th attacks. We will never forget the brave first responders and those we lost on that day and since. #NeverForget https://t.co/12fM70ZfXZ"
38,"Happy Labor Day Weekend! Today, I was thrilled to gather once again with my Labor brothers and sisters and recommit to protecting workers’ rights. Thank you for all you do for our great city, state, and country! https://t.co/OfLLQ2t4GG"
