Unnamed: 0,Text
0,It's a family affair. #mdvotes #Midterms2014  #MDDEMS http://t.co/cDkbilmDbs
1,Woke up on Election Day getting out the vote with @WhipHoyer  @melcouncil9 http://t.co/wh7UKp7OFK
2,Spoke yesterday on how I started a journey to become a NYC Rep in 2004 but changed course 10yrs later #Commanded Blessings @FBCG @JKJenkins
3,"True #JadaPose is one of a queen: strength, grace &amp;poise regardless attacks against you. Stand tall Sis they can't touch your crown."
4,"MONDAY!

Who's on the Run with me? http://t.co/Krjj98SGTC
 #pandora"
5,"I'm listening to Believe Me (Feat. Drake) by Lil Wayne on Pandora http://t.co/HSeEerZhNq
 #pandora"
6,"I'm listening to Cupid by 112 on Pandora http://t.co/RGURDKCIEI
 #pandora"
7,"I'm listening to What Now by Rihanna on Pandora http://t.co/T0X5vvdc0d
 #pandora"
8,"Tera your song came on....well one of them lol http://t.co/xzN6CNHqiU
 #pandora"
9,"I'm listening to Uptempo R&amp;B on Pandora http://t.co/6HCPmX4Mgz
 #pandora"
10,"http://t.co/UjbpI2ByCa
 #pandora"
11,"If I lay here,
If I just lay here
Would you lie with me and just forget the world?  http://t.co/FwhHbmjazw
 #pandora"
12,"Anyone seen this show? http://t.co/ZJ6zwVfj5D
 #pandora"
13,"Its always too late  http://t.co/Zu2txLTC0u
 #pandora"
14,"These bodies that build societies shall certainly not be stopped or controlled by 5 who can not.  
#notmybossesbusiness 
#WatchUSWork"
15,RT @DavidSloan26: #earlyvoting opens in just two days! Find your nearest voting center here: http://t.co/nLHvYKas5o
16,RT @nwilliams23: Helping out my @EmergeMaryland sister @Angel4Dist25 today in Forestville. http://t.co/i2NtfVgNF7
17,"ain't being cocky we just vindicated, best believe that when we done This moment will be syndicated, I ... http://t.co/ZeGDgSnWro
 #pandora"
18,RT @IyanlaVanzant: You have been chosen to lead others out of a fear-based lifestyle. Let your life inspire others to live the truth of the…
19,Preparing to tape Poverty in America Youth Town Hall with @pgcps &amp; @mcnc students. #triumphtogether http://t.co/M4xqDQBziZ
20,"Loaned out my top notch campaign workers to @BrownforMD #triumphtogether #mdpolitics #harmonyhappens
@GazPolitics http://t.co/xOIqLddQC0"
21,RT @SistahScholar: RT @YWCAUSA: What you’d need to make in every county in America to afford a decent one-bedroom apartment: http://t.co/cE…
22,@QuingMe @DMVFollowers
23,@ObiePatterson COS brings greetings and addresses the concerns of the Temple Hills Park Neighborhood Watch. http://t.co/FyXmYVUL7g
24,@PGPDJulie @PGPDNews Officer Joshua Jenkins addressing the Temple Hills Neighborhood Watch.  #triumphtogether http://t.co/EQFLBiCF2V
25,"@DeeCMarshall says don't worry about balance but strive for harmony. https://t.co/37E4yTVeN9
@threeLOL  @MomsRising @mariashriver @Oprah"
26,All this amazing talent in one room. It's like like a political version of The View.
27,Donna Edwards reminding us to never forget that people died for the 8 hour work day. #EmergeMaryland http://t.co/KwfBBxZHN6
28,RT @threeLOL: .@shesource Have you checked out the new VIDEO series #Politini @theGrio yet? Married couple taking on politics: http://t.co/…
29,"""@ABC7Brad: Senate finance committee votes to raise minimum wage in Maryland."" Alright! #RaiseTheWage"
30,RT @threeLOL: Do you ever wonder why it’s so difficult to get basic policy changes that would help women? Why isn’t that a bipartisan issue…
31,RT @threeLOL: Helping women—helps families-which builds our economy and communities. That’s not anecdotal it’s REALITY! #nerdland
32,RT @threeLOL: #SCOTUS has just allowed our democracy to be bought. Need a primer on the courts?!? #Politini has you covered: http://t.co/VO…
