Unnamed: 0,Text
0,"If you look in the mirror and see someone who hasn't bothered to vote, you are the problem #SCOTUS #WomensRights #ReproductiveRightsAreHumanRights"
1,RT @Sheeps62: Thank you @Ann_Ashford for this very personal story on the impact of our inaction regarding #GunSafetyLaws. This quote says i…
2,"@TaxpayersFor Way to go, grossly maligning the positions of my late husband. This should be immediately removed. Brad may not be here to defend attacks on his record but I am."
3,Thank you @OmahaFire385 You were heroes to him and to our entire family. https://t.co/NYooi600UN
4,"RT @cgonzalez_NE: When u have a quiet few minutes, and wanna be immersed in NE nostalgia, read Brad's latest: What is a Nebraskan? It's coo…"
5,Contact their family. We all have one another's best interests at heart and just need to keep that top of mind. That's my public service duty for the day.#braincancer #grace
6,"Brain cancer can cause behavioral changes in people: irrational thoughts, orientation to place and time, short term memory losses, garbled thoughts, &amp; disconnecting from reality may occur. If someone who may be in this situation reaches out, pls practice grace &amp; discernment."
7,https://t.co/LAcQ9ORsIL
8,Ooh @karaeastman blocked me. Guess she can't handle the truth. https://t.co/wR2CUhLy9Y
9,"I usually don't waste time in useless endeavors but that increased turnout gave @_karaeastman the biggest loss for a D in NE02 since 2010  in 2018 and she doubled her loss margin in 2020. And NE02 
went blue. Probably should spend time trying to keep her new job in Chicago https://t.co/Hfu24NCq4D"
10,RT @VP: It’s unacceptable that in 2022 we still have folks drinking water from toxic lead pipes. With investments we’ve made through our Bi…
11,"https://t.co/JwUmd42Z5z
Very interesting.  Better or worse for the #environment? Read all the way to the end. #ClimateAction"
12,https://t.co/m2gB3wO1NL
13,Sadly enough this applies to both #COVID19 and #guns https://t.co/ic7pZKCVGO
14,"RT @DrNurseLadyPHN: The numbers this morning are 😱- I can't slow this by myself, I need ALL of your help! Get vaxxed, stay home when you ca…"
15,RT @GinnyMcDonald8: https://t.co/PeNKdmnS8F
16,Thank you @Lucas4westside. I am a grateful and proud @Westside66 Warrior. https://t.co/cNM4VF50Tt
