Unnamed: 0,Text
0,"Lets no repeat history is easy to say. Its also easy to say that babies shouldn’t die. 

What do we do? 

We create a very tight window for abortions and reform the foster care system."
1,"I was adopted from Romania during a time when Abortion was legal. But it wasn’t always legal. 

Romania under Ceausescu created a dystopian horror of overcrowded, filthy orphanages, and thousands died from back-alley abortions. 

Let’s not repeat history."
2,We should expand the Supreme Court.  This will allow for equal representation of multiple political ideologies. No longer should there be a majority of one side of the isle.
3,"We can’t ignore religion when debating morals and ethics. 

We must keep fighting for what we believe to be right."
4,"RT @GovWhitmer: Now is the time to use every tool in our toolbox to protect women and reproductive healthcare. 

I will fight like hell to…"
5,"There are supernatural evil forces at play that are rewarding the bad culture of power. Working class families are watching in disbelief. 

The system of government and big think tank corporations are not rewarding the good but only feeding the bad. 

When will we see a change?"
6,RT @AE911Truth: The media — supposed guardians of democracy and truth — literally celebrated when Spike Lee was forced to remove an entire…
7,The federal reserve and Government are blaming each other when they’re both puppets ran by big banks. https://t.co/CnAXwqClcb
8,Detroit needs to step up it’s game for many African Diaspora initiatives! https://t.co/zlcRK6mJqy
9,"RT @ACCESS1971: ""Today, more than 50 years later, ACCESS is the nation’s leading Arab American non-profit. I’d like to thank you from the b…"
10,"RT @VetAffairsDems: Supporting veterans’ #MentalHealth and well-being to address suicide must be a top priority. 

Chairman @RepMarkTakano…"
11,Better food! The need for occupational therapy! Internet access! Providing proper medical attention! The need to end solitary confinement! And much more…
12,"As a former inmate, jails are safe to keep violent people off the streets. Many are wrongfully incarcerated when the better solution is rehabilitation. 

For the ones who are in jail, they can relate to the need to reform the judicial system."
13,"Substance use is one of the largest issues we face in America! I’ve been to rehabilitation and have talked with hundreds of people about addiction. 

NA/AA groups without a centralized authority(for members by members) is the best method to helping people not use. https://t.co/K821q0O02f"
14,"RT @HaydenTLaCelle: @SCOTUSblog Let me put this on the record: this WILL have severe ramifications.

More mass shootings.
More killings.
Mo…"
15,"RT @rosadelauro: School lunch waivers expire on June 30.
 
@HouseGOP insisted on an offset - “No waivers without an offset.”
 
We need to f…"
