Unnamed: 0,Text
0,RT @buildbridges4am: We Refuse To Go Back!  @MatielynJones @CHunschofsky @BiermanForHD44 @BeeForGeorgia @skingfortexas @piper4missouri @Mel…
1,This truly means A LOT to me because Mr. Jones was a friend of my dads. He was truly an ally to our vets and our community. I humbly would love to walk in his shoes to unify our community because it is time for change 🙏 https://t.co/dbzRjtMbGF
2,@MUAtherapy @TIREDOFTRUMP8 Absolutely and other unregulated facilities start popping up like the House of Horrors in PA that was ran by Gosnell. This decision is wrong on so many levels including equity and  inclusion
3,"How can leaders not support regulations on guns but openly support laws to control women’s body?! 🤦‍♀️ 

Remember this in November!!
#nc03
#ncpol 
#ncsquad"
4,RT @Ncdpprogcaucus: https://t.co/ajknKNRpwZ
5,@lizzo @2DarkEyes6 Please help by donating to the candidates that have put their lives on hold and putting themselves out there to stand up for our rights to have safe abortions #BansOffOurBodies #nc03 #ncpol #ncsquad
6,"#RoeVsWade Craven County Dem Women Rally
#ncpol #nc03 https://t.co/ci32UStw3w"
7,"We must do everything we can to protect the health and well-being of women in North Carolina. We must give this everything we've got. We MUST win in November. Help us ensure our victory--donate today 

https://t.co/uWhXoCZ9tP"
8,"ENC… is this how we want to be represented?? Does this accurately represent our voice? If not, YOU can make the change in November by voting for @barbara4nc
let’s stand together for a better future that includes EVERYONE
#ncpol #nc03 https://t.co/GbmHvBeHoB"
9,"To overturn Roe V Wade makes me worry about future generations to come a woman body is hers &amp; decisions regarding her body lie in the hands of her &amp; her doctor NOT the courts. But this decision is the consequence of not voting Let’s make voting history in November 
@Barbara4NC"
10,"#nc03 #ncpol

Subject: Pardons
""Every Congressman and Senator
who voted to reject the electoral
college vote submissions of
Arizona and Pennsylvania.” https://t.co/WOG2ryaR0U"
11,@EL44766671 @OuterBanksVoice @NCDOT @SecretaryPete I’ll be in Dare County next Tuesday But I will try to get there tomorrow
12,"Time for change ENC vote Barbara4NC
#ncpol 
#nc03 https://t.co/G6b2wL8S28"
13,Had a great meeting with I Am Vets this morning. Ms. Best’s son committed suicide while she was on a 6 hour call with the suicide hotline..we OWE it to our vets to ensure that they are taken care of after their service ends. https://t.co/XSMOZFBqvk
14,"RT @fullylegalizeNC: (3/3)

Here are a few candidates we endorse who have pledged to change this in North Carolina: 
—————————
• @CheriBeas…"
15,"Gas prices are through the roof! 

ENC Let’s not forget a bill that was voted against regarding price gouging prevention by our current leadership…

#peopleoverpolitics
#nc03"
16,@JoeSwartzNC @Fwd_Party @ForwardNC14
17,"@birdiesgalore16 @onslowdems @OnslowLGBTQ Sorry you feel that way, but I have to represent ALL of Eastern North Carolina because that’s what leadership does. I am very interested in speaking with you. Please feel free to email or call 🙏thank you"
18,@HuffmanForNC Thank you my friend 🙏we BOTH are the change needed in NC 🎉
19,It is also Fathers Days!! Happy Fathers Day to all the wonderful fathers… https://t.co/NgXq1nUlAQ
20,"(Yesterday) AND Today we celebrate the independence of Black people in the US. It is a day to reflect on the harms, educate our children, and welcome our communities to come together…Happy Juneteenth"
21,@AutumnTbolt 🙏
22,https://t.co/D4qiv5m2ZE
23,"This campaign is for the people to amplify OUR voice I am the candidate that can represent US because unlike others I have not been bought so everything I say and do is powered by grassroots efforts right here in Eastern North Carolina. 

https://t.co/6CjvLdYoJy"
24,"Can we agree that gas and food prices are rising while we are struggling to stay afloat. None of our leaders are talking solutions. The price gouging bill for gas would had helped but our representative voted against it. People over Politics ForwardNC
#ncpol #nc03"
25,@AMarginalized @lozzah79 Congrats 🎉
26,"A written, vision, and on the road test is required when getting a drivers license. Plus you must maintain car insurance monthly…all this to drive why not similar requirements for guns?
#ncpol #nc03"
