Unnamed: 0,Text
0,@TrendingFB @isexton @sussexsuccess I think I’m being trolled 😏
1,@TrendingFB @isexton @sussexsuccess Deleted. Now I’m intrigued.
2,@KarenLazy76 @Phil_Lewis_ Lol
3,@isexton @TrendingFB @sussexsuccess Why was the video deleted? https://t.co/BgJmXcnXVN
4,"@CosmopolitanWo1 @DailyMailCeleb @DisneyStudios It’s everywhere, dear

https://t.co/u5LXATC0AN"
5,"@DailyMailCeleb On behalf of my happy 10 year old, thank you, @DisneyStudios !!"
6,"@WSJ Help him out folks:

https://t.co/TBylfi1YjA"
7,"Sort of off-topic, but who has the better looks?"
8,@Face47031418 “She don’t know who she messing wit” https://t.co/69VXMQSEiZ
9,"RT @mazemoore: Limit the number of immigrants and make employers hire Americans first.

Imagine what today’s Democrats would say if they he…"
10,@pnjaban @kmforsenate @SCGOP Sounds like “Krystle” is breaking the law …
11,@Phil_Lewis_ There should be a graphic violence warning in this video.
12,@ElectionWiz @RDTBook He looks badly shaken.
13,@romeclone209 @BuzzPatterson 😣💥
14,@BET @lizzo I’m glad for this tasteful show without the nudity women feel the need to show for attention on stage.
15,Hard to believe this man is the son of a Queen. https://t.co/MMoVoS1hOp
16,"@BuzzPatterson We see her. 

Nancy is a dying breed, no matter what her plastic surgery says."
17,"RT @VeithLaura: I hate that they always bring up Down Syndrome as justification for abortion. My son is a blessing, not a burden. And certa…"
18,@CassandraRules I’m sure @peta will protect her. God bless her.
19,@BuzzPatterson “Get this brown kid away from me.”
20,@magicmikemyers @hodgetwins Meant for the woman in the video
21,When walking is boring https://t.co/Lz7ijskEln
22,@hodgetwins Do we… uh…really want her to procreate? I kind of want to defend her right to abort her children.
23,"@MariahCarey Try not to teach your daughter what abortions are at such a young, maybe? Seems like that’s a whole other problem you have."
24,If only they would “fight like hell” for all the transients dying in the streets or reduced to living in a tent on the side of the road. https://t.co/0dySqb5b3z
25,Wow! https://t.co/Lw26ElCn7R
26,"RT @DerekJBiz: @RexChapman Also:

 https://t.co/EZkcqsTXwX"
27,"To the world
With ❤️ https://t.co/jNO7Lyjxmq"
28,@BIZPACReview They gave her the spotlight to conveniently make us Hispanics all look bad.
29,This is a DANGEROUS procedure. https://t.co/1Kjp3jO7mY
30,"Congratulations, @calvinrobinson 🙏 https://t.co/vxRsJMmNAU"
31,@chefjoseandres Sorry but you’re not Catholic.
32,RT @cuquemar: Cuando eres católico pero prefieres seguir siendo famoso
33,@seanhannity He’s going to take a chair home one of these days.
34,@partlyc2 Yes. They ruled it was not protected by the Constitution so it goes back to the states.
35,"@AlPunto No matarás.

Éxodo 20:13"
36,"@AOC No matarás.

Éxodo 20:13"
37,@GLNational @sethjlevy The sad passing of RBG.
38,"Today is the Feast of the Sacred Heart of Jesus, when Catholics all over the world celebrate the solemnity of this day. 

Today is also the day that the Supreme Court of the United Stated overturned Roe vs. Wade, declaring the act of abortion unconstitutional. https://t.co/N38pEB55yL"
39,"RT @Pontifex_es: Expreso mi dolor y consternación por el asesinato en #México, anteayer, de dos religiosos jesuitas y de un laico. ¡Cuántos…"
40,@Silemgarcia https://t.co/oR1GDtIaE9
