Unnamed: 0,Text
0,"RT @OccupyDemocrats: BREAKING NEWS: A new national poll finds that a vast majority of Americans, a whopping 67%, think that Biden’s Justice…"
1,"RT @TweetiepieHawly: Do you know who’s not on the No Fly List??

         Black Lives Matter Protesters. 

Do you know why? 

         Beca…"
2,RT @RepBobbyRush: Today’s actions are nothing short of a murderous insurrection and armed coup incited by Donald Trump and executed by his…
3,RT @krupali: @MikeBloomberg https://t.co/qQdZcAk995
4,The irony is the police stole more out my office than the looters 🤦🏾‍♂️ https://t.co/2uvvioYF7Y
5,The fact that the FOP believes somehow the officers were entitled to something that wasn’t theirs in the name of “protection” is another indication that police have lost the sense of responsibility that comes with the badge. https://t.co/yaRngnWF95
6,Tune in! https://t.co/zeZie6KttY
7,"@lisadawnwadler @ASlavitt It’s a bill to secure funding, I have to explain what the funds are used for. This bill will expand OPTIONAL testing, create jobs by empowering community organizations to help in COVID efforts, and save lives. We wont enter your home unless invited. We definitely won’t remove you"
8,"With the rise of false information in our country, we have to be vigilant in determining fact from fiction, this bill will help save lives. Period! https://t.co/7ANYIXMY2Z"
9,RT @karenhunter: @Sean_Anthony @FlowofWisdom 1. That's a lot of 6s. 2. There're a TON of conspiracy theories (ie. mark of the beast). 3. Th…
10,@Sean_Anthony HIPPA laws will still apply. Your privacy is always protected.
11,@1WestTexasgal @PatriotsSoapbox Much less than have died in less than a year from COVID
12,Contact tracing is recommended by the CDC as a way to slow the spread of the virus. Patient medical info is ALWAYS protected. Read the facts on tracing here: https://t.co/S22qFBEuDO
13,"@karenhunter @Sean_Anthony @FlowofWisdom @KarenBassTweets @RepValDemings @RashidaTlaib @RepYvetteClarke It’s not forced, all services are voluntary"
14,"@Sean_Anthony @karenhunter @FlowofWisdom @KarenBassTweets @RepValDemings @RashidaTlaib @RepYvetteClarke @DamasHerve Hi, the CDC recommends contact tracing as a way to slow the spread. We ask the infected person about who they crossed paths with. We contact them and offer voluntary assistance. We don’t disclose who the Covid patient is."
15,@GRE8TBLACKSHARK I’m not sure why bringing testing resources to communities is an attack.
16,"@lisadawnwadler @ASlavitt No we are not. All services in the bill are voluntary, I’m not sure why you believe otherwise."
17,"First they told us black people were immune to COVID-19. 
Now, these same voices are spouting off satanic conspiracy theories about a bill aimed at protecting minorities and other medically underserved communities.
Coronavirus bill sparks Satanic conspirac https://t.co/g8SbULrNJF"
18,One payment is not a one size fits all solution. I’m proud to Stand with this push for reoccurring payments for our residents. https://t.co/Fa5EHYpJbv
19,"Are you a small business owner struggling to keep your business afloat due to COVID-19?

If so, please join me tonight for a Telephone Town Hall to discuss coronavirus relief for small businesses. The event will also be live-streamed at https://t.co/GLTDzQE1nY https://t.co/4tnycsxCuT"
20,"RT @ThirdWayEnergy: African-Americans have long suffered as a result of poor environmental policymaking, &amp; now COVID-19 can be added to thi…"
21,RT @TheBlackCaucus: Join @TheBlackCaucus for a telephone town hall with national Black leaders on the impact of the coronavirus on Black co…
22,The epidemic of poverty within the black community will always amplify the issues that plague the rest of the world. We need equitable solutions that ensure our residents have a fair chance of survival. https://t.co/SM6Xzcj7Wx
23,Keeping the 1st district 1st! https://t.co/H46VOAmyZQ
24,It’s official! WGN has called it for Rush!!!!! Thank you to all my supporters! We did it! Again! https://t.co/XjwFQzRt4Y
25,"It’s Election Day and we are taking as many precautions as possible to practice social distancing. Get out and vote, but be safe, wash your hands, cover your mouth and don’t touch your face! https://t.co/gGiAVc6K2e"
26,"There are so many issues happening at the polls across Illinois, please don’t let this deter you, if your election site is having issues, head to your closest early voting location to cast your ballot  https://t.co/epGubMMb0o"
27,Our team is out in full effect telling everybody why they should be #rollingwithrush2020. We are doing our part to make sure they are fed and energized! #punch31 https://t.co/Us6Oi8mceu
28,"RT @MikeBloomberg: Giving public health experts the right support will save lives and prevent even more economic and social damage. 

That’…"
29,#punch31. That’s it. That’s the tweet.
30,"Characterizing this as a Chinese virus further supports xenophobia and is divisive and wrong. We need true leadership during this time, not a spoiled brat that doesn’t take responsibility for his shortfalls! https://t.co/sZWCt4V192"
31,"RT @RepChuyGarcia: I know that things are difficult right now—but things like social distancing will help saves lives.

Please listen to sc…"
32,"Thank you to IUOE Local 150 for this endorsement. Construction workers build our cities from the ground up, so I am honored to have this endorsement as I work to build the district. https://t.co/cx8UEsNXpZ"
33,"RT @GovPritzker: In order to combat #COVID19, all bars &amp; restaurants in Illinois will close for on-site consumption, starting at 9 p.m. on…"
34,"RT @KrocChicago: ""If they don't give you a seat at the table, bring a folding chair."" 
Shirley Chisholm

#Motivationmonday #womenhistorymon…"
35,"This will be a trying time in our state and around the country. Reach out to your neighbors and check on them. We have lost a sense of community in many neighborhoods, let’s bring it back. https://t.co/7iDahguPvq"
36,Vote early. Avoid the lines. #punch31. It’s that simple. https://t.co/8nyqpaGkWu
37,Here is something to bump on your way to church this morning https://t.co/VibNE4OW9P #rollingwithrush2020
38,"RT @GovPritzker: The crowds &amp; lines O’Hare are unacceptable &amp; need to be addressed immediately.

@realDonaldTrump @VP since this is the onl…"
39,"@Twitter has been a long-standing platform of hate and misinformation, we are in critical times and the regulation of this platform is a matter of life and death! https://t.co/DPeES1oGta"
40,The people of Il-01 trust me to lead our district forward. @ChicagoDefender has been at the forefront of delivering news about the black community for generations. They have covered my journey since I got my start &amp; it’s my honor to have their endorsement. https://t.co/lSCR8ntrgP https://t.co/ojrqnExnhj
41,"RT @GovPritzker: As #COVID19 continues to spread, all Illinoisans should take commonsense social distancing measures to keep themselves and…"
42,"As the Covid-19 pandemic continues, it is integral that we step in and alleviate the stress for our citizens. It includes:

Free testing for everyone

2 wks paid sick leave

3 mon paid family leave

Stay safe and practice social distancing, we can end this pandemic, together! https://t.co/ZBDjc8Ckgx"
43,"@TheChicagoCru has been a pillar in our community for a long time. I am honored and humbled to accept this endorsement from such an esteemed black newspaper! https://t.co/lKxpPxIYi7

On March 17th #punch31 to keep the 1st district 1st!!"
44,https://t.co/BT1JvX2u6U
45,"RT @HouseDemocrats: Despite attempts from the other side to derail our fight #ForThePeople, House Democrats passed a BIPARTISAN bill to put…"
46,"I take the needs of my constituents personally. Most of the legislation I propose is based on a need that I saw in my community. I will continue to work for the people. 

Will you help me? 

On March 17th #punch31 to keep the 1st district 1st 
https://t.co/ybkuQmWGlr"
47,"To answer your question, yes! https://t.co/H9Q6t1dZ4w"
48,RT @JoeBiden: We need to ensure that every person who needs a coronavirus test can get one — and that the test is free. Period.
49,RT @RepUnderwood: We must take steps now to protect Americans &amp; our health care systems from coronavirus. This includes increasing access t…
50,@JoeBiden is the only candidate who can defeat trump and unite the country  https://t.co/2VYZIxEwjm
51,The US Census starts today! Be counted! https://t.co/YSO1y9CTDB
52,"Mr. Roberto is an immigrant and a proud veteran who risked his life for our country, so when he had difficulty with his citizenship papers, my office sprung into action.
#rollingwithrush2020 https://t.co/3NyGD8wixn"
53,"""We need to protect the right to vote for everyone""
Read more in this feature by the @gazettechicago https://t.co/vmzs8favGO"
