Unnamed: 0,Text
0,Let’s get lit…erary! 📚 https://t.co/ubINDJEXIu
1,As a country we need to address the #overdose rate. We are losing our friends and families at a rate of 12 per hour! https://t.co/tp7rP9Q3kQ
2,RT @AquiRosemarie: Cruel &amp; unusual punishment is a phrase mentioned in the Eighth Amendment &amp; not defined—until now: pregnancy-related deat…
3,"RT @JoshShapiroPA: If we're going to protect reproductive freedom in Pennsylvania, we have to step off the sidelines — and we have to vote.…"
4,WTF is wrong with this man. https://t.co/gbaq8sJ7B3
5,RT @rachaelbedard: I want full reproductive rights and a world where everyone has access to whatever reproductive healthcare they need. But…
6,Support 👇🏽 https://t.co/EBJ0t80qr9
7,@MissZippy1 Loooooong run needed today to process.
8,@natbaker @PodContrarian I'm working on a big painting house project today and starting your podcast. Thanks for the recco!
9,I (still) believe we can end child sexual abuse. https://t.co/BXT8iVbfhF
10,Truth. https://t.co/9xs1B42PP4
11,"RT @NYSLabor: We’ve said it before, and we’ll say it again: Reproductive rights are workers’ rights and abortion access is a labor issue.…"
12,RT @EmpireWireNY: New 50th anniversary edition by #SCOTUS Justice #Alito plus five. #RoeVsWade #righttochoose #AbortionRightsAreHumanRights…
13,I remember this! 🎓 https://t.co/uUogCneWY7
14,"RT @SGFSchools: Congratulations Class of 2022!  We can't wait to see what comes next for you!

#WeBelieveinSGF #SGFClassof2022 https://t.co…"
15,"RT @BillyRay5229: Government-mandated pregnancy is now law, but we can't despair. 
The votes of 6 Justices determined to make America a the…"
16,"The end of Roe is cruel and outrageous. 
The health, safety, and autonomy of women has been taken from us. 

We have to stand up and work harder. 

Women, share your story. 
Men, share how you support her decision. https://t.co/6jtxX7cT54"
17,"Why are ppl fighting against gun safety.

Just why. https://t.co/ttSDv8PNIu"
18,"The Milestone Foundation provides financial assistance to people pursuing a personal injury lawsuit who are struggling to make ends meet. 
They are a nonprofit that provides Non-recourse Settlement Advances with Low, Simple Interest.
Pls give today. 
https://t.co/lWSyYldqcU"
19,RT @SUNYADK: We're proud to announce this renewal supports opportunity program for teens in 13 area school districts! #greatfuturesstarther…
20,"RT @kentingley: For all you folks in Hadley and Lake Luzerne, I will be speaking at the Rockwell Falls Public Library Thursday evening at 6…"
21,@alisonturkos 💁🏻‍♀️
22,Today’s walk turned into a run. I didn’t let the lack of ponytail holder get in the way.  🌿 https://t.co/quSFbzkVkD
23,@MissZippy1 Exactly!
24,@PolenbergM Just some cubs playing 🐻🐻
25,"And seen on today’s run… 
🐻 🐻 https://t.co/NSvfy9uZmx"
26,"RT @RyanForRecovery: Happy Monday!

""Hope is the voice that meets you in the storm &amp; says there is more than what you can see right now."""
27,Today on my run 🏃‍♀️ around the block I saw another bear. I’d say she was less than 10m away.
28,Let’s get lead pipes and Stefanik out of the North County. #NY21 https://t.co/JKFkLhLSzP
29,RT @EmpireWireNY: Last month @EliseStefanik called the #RoeVWade  #SCOTUS leak criminal and unprecedented. Except for  the #Jan6th attempt…
30,"RT @EmpireWireNY: (from the archive, Jan 2021) Vice President #MikePence, on his last official tour, visited Fort Drum in #NY21. @EliseStef…"
31,"🎧🤷🏻‍♀️📣

In a shared place - like the club waiting lounge at an airport - should an adult wear headphone while watching a movie or is speaker acceptable?

🎧🤷🏻‍♀️📣"
32,"Tip on stopping the spread of covid...

BLUF: Covid-19 is still contagious after 5 days. 

Stay home. Quarantine. Help your neighbor. https://t.co/mE1VjC3SGu"
33,"I need to do some relationship mapping. 
#airtable ? #googlesheets ? 
What suggestions do you have?"
34,"I was able to break out of meetings, grab a car, and head to Nashville Violins 🎻. 

Check ‘em out 👇🏽
https://t.co/Zrkzlleo03 https://t.co/IrYy4ms4rL https://t.co/NDmLuKsvnE"
35,@YGkristos Yes.
36,"👇🏽check her out! 
Love you @jeshudak 🎵 https://t.co/zlrSpynE3C"
37,"“Why are you such a hater?”

Answer the damn question Justice Thomas. 

👏 @hakeemjeffries https://t.co/hb1lY0RyGy"
38,Any good podcast recommendations?
39,Run Tamie run!!! https://t.co/pQHZYslUdX
40,"Just what do you say when Congressman @kevinomccarthy walks by to attend a fundraiser at Joe’s… 

Ready, set, go!"
41,@beckytalksfast @agrenell Are you from Nashville??
42,@SaratogaYepsen Next time I’ll meet you there!!
43,"Every. Vote. Counts. 
Are you registered to vote? 
🗳 https://t.co/CFuc0XPg3I"
44,"I’m headed to Nashville on Thursday for a conference. First time to Nashville and first time to TN! 
Any recommendations?"
45,Day dreaming about the weekend …. Lexington 🐶 and @drinkmudwtr⁩ https://t.co/od8E43AxJv
46,@amandalitman Congrats!!! And that is the best onesie ever!! It better be for sale on the site.
47,I’m equally fed up! https://t.co/4NVCLHvzTJ
48,Back in a NYC theater 🎭 since before Covid. So nice to be back.
49,"RT @AndrewGumbel: ""Our political leaders are quite literally shoving guns in our faces and telling us this is what freedom means."" Why mass…"
50,RT @GeorgeTakei: The best way to stop a bad guy with a gun is to stop electing other bad guys.
51,"RT @MassAGO: Philadelphia. Phoenix. Chattanooga. And so many others that didn’t make headlines. 

Every day Congress waits to take action,…"
52,"RT @Sbh08Mae: 😎CA Primary, 6/7😎

#CA45 knows Michelle Steel voted AGAINST funding schools, small businesses, common-sense gun safety laws &amp;…"
53,"Support legalization of marijuana? Contribute $4.20 today to @JohnFetterman for PA Senate. 

#JohnFetterman #PASenate 

https://t.co/jqwPBt8aq1"
54,@PamelaGriego6 He had false ID and had a high capacity weapon.
