Unnamed: 0,Text
0,"Be sure to listen to the following podcast. Jason Brett @RegulatoryJason does an amazing job of unpacking the Lummis-Gillibrand Bill. Level-400 Bitcoin content.
https://t.co/oTqG5C4IpJ"
1,@PrestonPysh @GaryGensler @GaryGensler is a voice of sound reason.
2,"@100trillionUSD @Xentagz CBDC 
Central Bank Dystopian Coin"
3,https://t.co/kebauKGyod
4,"L1, L2 and L3 is a critical path for privacy, individual sovereignty, national security and enabling prosperity, flourishing and abundance … for all. It’s the fastest path accelerating STEMs digital transformation. https://t.co/uTwiFL19yY"
5,"Individual Sovereignty suffered a setback today. 
I still have hope for the future. 
#Bitcoin"
6,"RT @RunnymedeCap: Making Bitcoin Legal Tender in the USA with Bryan Solstin (WIM179) https://t.co/bhxwicj26Q | ""What is Money?"" @Breedlove2…"
7,@TheArtOfTomas @Breedlove22 Thank you very much
8,I really enjoyed talking to Bitcoin Dad. We have amazing Bitcoiners right here in Seattle. Please listen to the following podcast. 👇 https://t.co/AiBDXHEYvm
9,"RT @sanket1729: We will be having our first edition of the Bitcoin Socratic seminar in Seattle. 
Today 6:30 PM PST.

https://t.co/O0ZIJRTVTt"
10,"If you let them, BIS, IMF, World Bank and The Fed will consume your soul. Bitcoin is the only way to get it back. In 2008 Satoshi eliminated the need for an intermediary. No trust required. History is full of central banks breaching the sacred trust, not to debase. https://t.co/KqSQFXPRad"
11,"RT @BitcoinMagazine: JUST IN: Newly elected Colombian President supports #Bitcoin. ""It removes power from the banks."" 🇨🇴 https://t.co/LuXOp…"
12,@JoeCarlasare @NeilJacobs @PrestonPysh Alt coins are a departure from the 2008 decentalized innovation. Only Bitcoin and it’s 21 million cap fixes our broken monetary system.
13,@bitcoindadpod and Bitcoin Mom go crypto deep. Must listen to this podcast. Seattle has serious talent. https://t.co/AhRkUfwfh2
14,"#Bitcoin cannot be killed. 
It might live forever. 
Eternal life. https://t.co/YWZPlO2BT1"
15,Proof of centralization. Seems like a security. ⬇️ https://t.co/J18K9H82r4
16,@CedYoungelman Individual Sovereignty is beautiful.
17,"@dergigi Going against #Bitcoin is going against hope for a better future. 
Choose wisely."
18,"@real_vijay Vijay, Come to the meetup this Tuesday.
https://t.co/ott1QIMPBe"
19,"In 2010, Satoshi observed Wikileaks ""kicked the hornet's nest.""

In 2022, crypto-garbage kicked the hornet's nest. Luna, Celsius, and more to come. The tide is going and we will see who is overexposed."
20,@CrypticBuddha I am a fellow zen-minimalist. Bitcoin is all about minimalism.
21,"RT @bitcoindadpod: Episode 22 of Bitcoin Dad Pod is live! Check out “Interview: Crypto Mom, Attorney at Law” at https://t.co/yVhUkKwid3"
22,"Bitcoin is a crucible for the human soul.
CBDCs consume the human soul."
23,"Regardless of crypto-apocalypse, #Bitcoin remains our only hope for fixing our broken monetary system. Nothing else is sufficiently decentralized. Zero-tax bitcoin is the solution and we must take the fight to the US Senate."
24,"RT @100trillionUSD: And there it is: dark blue (70% below ATH)!
Most indicators (S2F, RSI,200WMA, Realized etc) are at extreme levels. Does…"
25,"RT @Dennis_Porter_: BREAKING: 14 members of Congress send letter to the EPA, informing them of the beneficial environmental and financial i…"
26,"@JeffBooth Money is information. 
Fiat manipulation is misinformation.
CBDC manipulation is ... ?"
27,"My thoughtful friends say slavery is too strong. Regardless, I am convinced fiat is slavery, and
CBDCs are dystopian. Zero-tax #Bitcoin is our only exit.
Maybe not in 1971, but in 2022 fiat is slavery. Inflation, an invisible whip. If you disagree, time might change your mind."
28,"Hello inflation.
Goodbye middle-class.
Bitcoin is our only hope for individual sovereignty and  renaissance 2.0 Everything else is symbolic."
29,@William54540566 Zero-tax #Bitcoin is the best way to remove them.
30,"It’s painfully, hilarious when politicians do a victory lap during times like these. 
#Bitcoin is our solace."
31,@PolybiusBitcoin @POTUS Zero-tax #Bitcoin is the only way we can fix the broken monetary system.
32,"President Biden @POTUS could lift some tariffs on China as he searches for solution to rising costs. 

Mr. President, Zero-tax #Bitcoin is the best response to USD inflation. Give the working class the soft-landing they deserve."
33,"@jicamet Thank you, but the credit should go to John Lennon."
34,"You may say I'm a dreamer.
USD fiat. Inflation. Forever.
Bitcoin. Cost of living goes down. Forever.
I'm not the only one."
35,"Charles Frankel said, ""Because of our Congressional committee system, our government is closer to a gerontocracy than a democracy.""

At 88 years old, there is growing concern about Senator Dianne Feinstein's cognitive health. https://t.co/MNsc5HBBNK"
36,8 days later and the text has not been received for S.4356 at https://t.co/KaTDVgDNJN Where's the transparency? I want to read bill S.4356 https://t.co/T43AVYzoGn
37,"I'm having a Keynesian hangover.
It really hurts.
Maybe another glass of QE.
Just one more. https://t.co/p092QjoA1B"
38,"@Tyler_Lindholm 
History is full of intermediaries debasing, pre-mining, wash trading, and changing the rules. 

Howey Test: If you're an intermediary (centralized) and you expect profit from efforts of others. Disclose. It's that simple.

We need the SEC Howie Test."
39,"NBD... No Big Deal. 
Noise goes out of focus.
Zen and #Bitcoin...the signal.
Exhale, mediate and listen to universal truth."
40,"@AnitaPosch @progressivebtcr @BFFbtc Come to Seattle, Anita. Let me know when you are here."
41,Crypto apocalypse purifies. NBD. Only the resilient survive. Whatever comes out on the other side is beautiful.
42,"@PhilCrypto77 @RobertJSalvador @SenLummis I appreciate your feedback,
Best regards"
43,@PhilCrypto77 @RobertJSalvador @SenLummis Disclosures help the market decide.
44,@SenLummis @SenGillibrand @GaryGensler ⬆️
45,@RobertJSalvador @SenLummis Howey Test: If you're an intermediary (centralized) and you expect profit from efforts of others. Disclose. It's that simple.
46,"@RobertJSalvador @SenLummis What's wrong with an OLD FRAMEWORK?
Howey Test determines whether a transaction qualifies as an ""investment contract,"" and therefore considered a security ... and subject to disclosure requirements. 
Howey Test will bring RESILIENCE back to digital assets."
47,"@RobertJSalvador @SenLummis I'm running to fix the broken monetary system. Most ""crypto innovation"" is a departure from decentralization. What isn't, will do well with the Howey Test."
48,"@SenLummis 
Luna, Celsius, crypto-apocalypse. 
For the sake of decentralized innovation, withdraw S.4356  

Add SEC regulates DIGITAL ASSETS, enforces Howey Test. $200exclusion/BTC tx. Nothing else is sufficiently decentralized. 

Retweet if Howey Test should not be abandoned."
49,"Bitcoin whispers truth about fiat slave money.
https://t.co/MzOqZPKJ2Q"
50,"https://t.co/S3QSRw9p8F
Debt growing faster than GDP. https://t.co/upnUtOPaPy"
51,@servandofinn Thank you. The plan is keep pushing. Forever.
52,"I was going to run at the state level, but after studying the language in the US constitution, the real fight will be in the US Senate. 
Nothing else is sufficiently decentralized. Not even gold or silver. #Bitcoin. https://t.co/kmZSpMTm4h"
53,"@mikealfred Since 1971, gold continues a demonetization path. Goldbugs are ignoring digital transformation."
54,"Look over the horizon. 
BTC\LN is an emerging, transactions/second metric.
I know from first-hand use, this is an emerging reality.
Source? https://t.co/sbBlf1mpyG"
55,"@TomUllen Tom, Thank you for your input. Take some time to check it out for yourself. Bitcoin does not pass the Howey Test."
56,If SEC enforced the Howey Test (established by the Supreme Court in 1946) NFT wash-trading and Luna probably wouldn't have happened. Why is the Howey Test not being enforced?
57,@JWWeatherman_ I agree with you.
58,"Personal attacks indicate low emotional intelligence. 

Abusing fellow bitcoiners … low IQ. 

Together we are stronger."
59,"RT @Gus21MCalderon: In short, in the United States only gold and silver coins, or banknotes readily redeemable in such coins, can be legal…"
60,RT @dergigi: Shitcoins.
61,Jeff Booth is one or our most articulate Bitcoiners. ⬇️ https://t.co/5pJxIPnmRy
62,Coin Center filed suit in federal district court against the Treasury Department in a facial constitutional challenge to the amendment of Section 6050I of the Tax Code that was part of the Infrastructure Investment and Jobs Act passed last summer. https://t.co/dX5hfhVYgq
63,"@stacyherbert Shitcoinery behind Lummis bill. 
Howey Test should not be abandoned."
64,"Lightning Network Capacity
4,002.95 BTC 
Growing 5% per month 
https://t.co/4bZeUEaOB4"
65,@blue_collarbtc Bryan Solstin
66,@PhilWorthey Thank you. Here’s the plan. I’m not going away. Just keep pushing. Forever.
67,@andrewwperkins @SenLummis ⤴️
