Unnamed: 0,Text
0,@ParisSorel @jaegermeister @NYCMayor Disappointed that I have been calling the police on homeless individuals who are having psychotic attacks and trying to hurt others and themselves and the ambulances and police come and just leave them there.
1,"@NYCMayor @CelebrateIsrael With all due respect, I took the subway Friday at 6 PM on the one train from 14th St. to West 72nd St. Not once was there a police officer on the platform or in a subway car. Please put them in the subway cars!"
2,@Staboogie0311 @MyraRuizNews @foxcarolinanews Same thought!
3,@InspireMeyer @UWBadgers Thank you for sharing. I lost my brother cancer when we were young and my family never recovered. Losing a loved one is beyond difficult and I know that many young people suffer from depression.
4,@Tecklana @NYPDPC @NYPDTips @CBSNewYork @NBCNewYork @fox5ny @ABC7NYNewsDesk @PIX11News @wcbs880 @1010WINS @winsjuliet @nikreport @MarcSantia4NY Raped two four year old girls!
5,@julious_b @NYPDPC @NYPDTips @CBSNewYork @NBCNewYork @fox5ny @ABC7NYNewsDesk @PIX11News @wcbs880 @1010WINS @winsjuliet @nikreport @MarcSantia4NY He raped two four year old girls. Do you care about children? Two four year-old twin girls who were in the same forster care with him …  had their life‘s ruined
6,"@CBSNewYork Crazy? So why did he pick a short, tiny woman instead of a man who is 6 feet tall and 250 pounds?"
7,@RealNancyGao @NYCMayor Please have some sympathy for the victims of subway crime.
8,@mlb_fights You know… another version of the KNOCK out game!
9,"RT @NYCPBA: THIS. IS. INSANITY.

Jun '17: Drags a cop behind a stolen car, paralyzing him

Jan '19: Sentenced to just 16 MONTHS

May '21: H…"
10,@BrunoLeMaire Thank you.
11,"RT @nypost: 'I need ammunition, not a ride': Zelensky declines US evacuation offer https://t.co/65lCi0nVdi https://t.co/XYdmT9MptC"
12,"@AndrzejDuda @ZelenskyyUa We are with you, and pray for your safety. G-d be with you and your people."
13,@KingsCountyGOP @gerardkas @HikindDov @NewYorkGOP @GOP Great news!
14,@AJ_Cats_ @AnthonyMarlowe You both look so happy together!!!❤️
15,@MarkLevineNYC @yuhline @ChrisMarteNYC @LiuNewYork @BrianKavanaghNY @juliej_won @AAFederation @mrbenwei @Karlin_C @jennylamlow “ To express our heartbreak “. Everyone here is sick and tired of these empty words DO SOMETHING! This man should have been locked up. Her death… her brutal murder… is on your hands. I truly do mot know how you can sleep at night!
16,"@NYCSpeakerAdams @AAFederation Everyone is fed up with this ridiculous tweeting!! Do something… stand with the victims, not with the criminals. This woman died because this career criminal should have had been in Jail. And you’re horrified? You should feel guilty…"
17,@NYCMayor A woman was brutally murdered… by another criminal that should have been held on bail. Please… stop this insanity and get rid of Bragg.
18,@GovKathyHochul Truly how can you sleep at night? This death of an innocent young victim is on your hands. Get rid of Bragg!!! And the tweet about the Super Bowl after is completely tone deaf. How can you enjoy a football game when this woman was brutally murdered!
19,@galeabrewer @RitaJosephNYC @CMFarahLouis @WomensCaucusNYC Very true! Thank you!
20,@galeabrewer Where the young man was mugged was also the same location where the actress was murdered. The man who fled the murder was released on bail after he was caught. https://t.co/UNVcFyDVoH
21,@galeabrewer Where the young man was mugged was also the same location where the actress was murdered. The man who fled the murder was released on bail after he was caught. https://t.co/UNVcFyDVoH
22,@galeabrewer Where the young man was mugged was also where the actress was murdered. The man who fled the scene was released on bail after he was caught. https://t.co/UNVcFyDVoH
23,"@galeabrewer Less than an hour later, a 20-year-old man was walking home at West 66th Street and West End Avenue, Upper West Side, when a guy approached and said, “I like your jacket,”
The mugger flashed a gun in his waistband, prompting the victim to hand over his jacket, cops said."
24,"@galeabrewer Less than an hour later, a 20-year-old man was walking home at West 66th Street and West End Avenue, Upper West Side, when a guy approached and said, “I like your jacket,”
The mugger flashed a gun in his waistband, prompting the victim to hand over his jacket, cops said."
25,"@galeabrewer Less than an hour later, a 20-year-old man was walking home at West 66th Street and West End Avenue, Upper West Side, when a guy approached and said, “I like your jacket,”
The mugger flashed a gun in his waistband, prompting the victim to hand over his jacket, cops said."
26,@galeabrewer 23-year-old woman who recently moved to the Big Apple was violently mugged on an Upper West Side train Monday night
27,@galeabrewer 23-year-old woman who recently moved to the Big Apple was violently mugged on an Upper West Side train Monday night
28,@galeabrewer Just happened -  23-year-old woman who recently moved to the Big Apple was violently mugged on an Upper West Side train Monday night
29,@galeabrewer Just happened - 23-year-old woman who recently moved to the Big Apple was violently mugged on an Upper West Side train Monday night
30,@galeabrewer https://t.co/JLIRqhPq7o
31,@galeabrewer https://t.co/JLIRqhPq7o
32,@galeabrewer https://t.co/JLIRqhPq7o
33,@ManhattanDA @125thstreetbid @ChamberHarlem @GarmentDstrctNY @CASESnyc @etcnyorg @NYPDCommPartner @uptown_grand @WHBIDNYC @DowntownNYC @FoodAllianceNY Shoplifting on the UWS is out of control. Criminals are just filling up duffle bags and suitcases( openly…) and walking out. The female workers are terrified and have anxiety. Small local store owners are giving up.
34,RT @NYPDnews: A sea of blue lined Fifth Avenue shoulder-to-shoulder with fellow first responders from around the country as we rendered a f…
35,@NYPDnews @NYCMayor Moving video. Thank you.
36,@fultonjxhou Disgusted that no one tried to intervene and help someone who was being attacked.
37,@NYCMayor @iamcardib @NYCMayorsFund UWS means the Upper West Side for those who asked. https://t.co/XKaDzhbW4d
38,@sovereignciti @NYCMayor @iamcardib @NYCMayorsFund Upper West Side https://t.co/XKaDzhbW4d
39,"@NYCMayor @iamcardib @NYCMayorsFund Every policy is set up to protect the criminals and not victims. Are the politicians of NYC trying to get ordinary folks to just give up and leave their home, so it can be taken back because of gentrification? Many folks I know are leaving and that’s what I’m hearing from them."
40,@NYCMayor @iamcardib @NYCMayorsFund Where is the compassion for the victims? Why do we only consider the feelings of the criminals?  Per many women being threatened with a knife it’s not something they can just get over lightly and yet they still show up at work because they need the job.
41,@NYCMayor @iamcardib @NYCMayorsFund 4) Please understand that some people need their jobs to pay their rent and buy food for their family. And so they go place themselves in a store and it’s quite frightening for them. I’ve spoken to many women at the stores and they are scared to death every single day.
42,"@NYCMayor @iamcardib @NYCMayorsFund 3) For some reason, the mentally ill and criminals, don’t threaten large, 6 foot five, 250 pound, 25 year old men. They are going after the women and the older employees at the stores. Would you want to come to work if every day you were threatened?"
43,"@NYCMayor @iamcardib @NYCMayorsFund 2) Local stores and big chain stores are giving up. Their employees have been severely traumatized by mentally ill and criminals that have threaten them with sharp cutting objects, large knives, and open brutality, their fists, and are afraid now to come to work"
44,@NYCMayor @iamcardib @NYCMayorsFund 1) Appreciate you trying to help the victims of the fire. Can you also please help the victims of crime on the UWS….  We have a very large homeless population here that takes X large duffel bags and fills them up with every item from our local stores.
45,@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC Why are women and the elderly allowed to be repeatedly assaulted and there is no bail. Do you want the women and elderly to leave Manhattan? Is it FAIR that many elderly women on the UWS are afraid to go shop for groceries? https://t.co/XKaDzhbW4d
46,"@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC The young homeless man who assaulted these two elderly women was in his mid-20s. He had already been released, NO BAIL, for stomping on a man’s head. Then, he went on to viciously assault two elderly women on the sidewalk on W. 79th St. and W. 80th St. https://t.co/XKaDzhbW4d"
47,"@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC You were talking about the street, I am talking about the sidewalk. On the UWS of Manhattan … two women were violently assaulted, both went to the hospital and one of them has permanent facial disfigurement. 9:30 am Thursday morning https://t.co/XKaDzhbW4d"
48,@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC You are talking about crossing a street. I am talking about walking on the sidewalk and being violently assaulted…. https://t.co/sk4Sv9YltS
49,@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC Man is 81 years old!!!   https://t.co/sk4Sv9YltS
50,"@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC This is a tragedy and why New Yorkers are leaving Manhattan in droves!!!!   Who is the target? The elderly and women.  Where is the help for the victims?   If he was caught, he would be released immediately without bail?"
51,@NYCMayor @ydanis @NYC_DOT @NYPDnews @NYPDPC https://t.co/sk4Sv9YltS
52,"@NYCMayorsOffice @NYCMayor Just FYI - I took the subway this morning, the # 1 line and had the pleasure of being in a Subway car, yes I got off at the next stop, with a homeless man who decided to publicly masturbate. Again, do the taxpayers have any rights?"
53,"@NYCMayorsOffice @NYCMayor This was 9:30 in the morning. W. 79th St. Shouldn’t it be safe for the elderly to walk at 9:30 in the morning? Why should someone who so viciously assaulted two elderly women, and he’s in his 20s, be allowed out without any bail?"
54,@NYCMayorsOffice @NYCMayor This man stomped on another man’s head and was released without bail. He then went on too viciously attacked two elderly women ( they both had to go to the hospital and one has facial disfigurement) and he was released without bail again
55,@NYCMayorsOffice @NYCMayor https://t.co/XKaDzhbW4d
56,@NYCMayor Please end the new bail laws.
