Unnamed: 0,Text
0,"This memorial day is for remembering all lives lost. We must do better.

#memorialday2022 #uvalde #BLM #may2022 #BuildingBetterTogether #vote #GOTV https://t.co/8xQVmuOIXS"
1,"And Just Like That! 👏 🥳👊🏽 

#womenshistory #americanhistory #BuildingBetterTogether #Godsplan #ketanjibrownjackson #herstory2022 #BuildinaABetterYOU #supremecourtjustice #BeFirst @ United States of America https://t.co/xj29YisJGk"
2,"Our contribution to history is every minute of everyday. You should celebrate, celebrate, celebrate! 

Keep the smiles 😁, keep the faith 🙏🏽, keep going, and keep celebrating🎉. 

#youwin #BuildingABetterYou #BuildingBetterTogether #ACTIONCoach #womenshistory #celebrate https://t.co/zqdxrNH7h9"
3,"I Voted 🗳 Now it's your turn to VOTE today!
#letsgo #CReedforCongress #GOTV #HBAD #BuildingBetterTogether #CentrellReedismyCongresswoman #Primaryelection2022 #Makehistory #TXDistrict38 https://t.co/xjQHd8dQu0"
4,"Just posted a photo @ Houston, Texas https://t.co/LUiqyPSvqB"
5,"TX District 38 you all SHOWED UP &amp; SHOWED OUT for early voting! Thank you for your support and willingness to take ACTION while we begin #BuildingBetterTogether !

#CReedforCongress #GOTV #BlackHistoryMonth #WomeninCongress https://t.co/XLEAPuFtEQ"
6,"SHARE/VOTE/TAG a friend &amp; @TheCentrell #HelpCentrellWINCongress
🗳 Early Vote Fri,Feb 25th #GOVOTE
🗳 Election day vote Tues, March 1st. #GOTV
A vote is a prayer about the kind of world we want to live in-Warnock
https://t.co/qfFtqi2zKX 
#CReedforCongress

https://t.co/vH2HDwdzwx"
7,HCC getting involved in the charge to support leaders who fight for their future. #hcc #houstoncommunitycollege #CReedforCongress https://t.co/NO2K4ksFt3
8,"There's only 7 days let to cast your vote! Skip the long wait times and the crowds by participating in early voting!

To learn more about my platform visit https://t.co/hogIFXiqy1

#BuildingBetterTogether #CReedforCongress #WomenMakingHistory GOTV https://t.co/9Vw8n0nFwv"
9,@Ezra_Willson Sure. https://t.co/qfFtqhKYTp for where I stand on many points.
10,@demsocqueer @Ezra_Willson Absolutely @demsocqueer https://t.co/qfFtqhKYTp has where I stand on many points! I appreciate your support.
11,@kenbielicki @CypressTomball @harrisdemocrats @IndivisibleCyTx @swingtxleft @indivisibleHOU I truly appreciate your support and vote @kenbielicki! @CypressTomball!! Its early voting time! Lets go for the win! #CReedforCongress https://t.co/qfFtqhKYTp
12,"Early Voting Begins Today! Show some love! Take ACTION by casting your vote! Find a polling location nearest you by visiting https://t.co/sZe9vtLBmq.

#CReedforCongress #BuildingBetterTogether #GOTV #RocktheVote #TXDistrict38 #VotingTimesDay https://t.co/lBU4x2NX0v"
13,"Theres still time to get your yard sign! Request a yard sign by visiting https://t.co/hogIFXiqy1. Last day to order is 2/19! 

#BuildBetterTogether #WomenMakingHistory #WeGotThis #GOTV https://t.co/03USkpKnGH"
