Unnamed: 0,Text
0,"RT @MKE_CC: Joint statement on Supreme Court decision to overturn Roe v. Wade 

#RoeVWade 

https://t.co/ojMhObmOV1 https://t.co/ML9vomNB4E"
1,RT @mattlindner: The CEO of Dick’s Sporting Goods on LinkedIn https://t.co/maqYINYSUQ
2,"RT @MKE_CC: Applications now being accepted for Bronzeville Cultural &amp; Arts Festival vendors. 

https://t.co/jwS305PmVH https://t.co/lJ4TOA…"
3,"RT @lewis_chantia: It’s fitting that this year #JuneteenthDay is on #FathersDay. As we are celebrating our freedom, today is a special nod…"
4,https://t.co/YbZGagaVwn
5,@Morales4MKE https://t.co/18Xcocu1mY
6,"@Morales4MKE That’s beautiful, but that’s nothing compared to the #New9thmke when the sun hits the lake and the ducks are swimming around 😄."
7,"RT @hshaban: CBS News: the mom in Uvalde who police handcuffed, and who ran into the school to rescue her children, says that law enforceme…"
8,"RT @MKE_CC: Joint statement from members of the @MKE_CC: RNC framework contract is a win-win for the City of Milwaukee

https://t.co/wvehKf…"
9,@GillianA @Showtime Phenomenal acting!! Hats off to all of you  An Emmy and Oscar nod should be given to all the leading First Ladies to share!
10,"RT @Booker4KY: 🚨 BREAKING: It’s official. I am the Democratic nominee for U.S. Senate in Kentucky. In November, we will make history by def…"
11,"RT @MKE_CC: Launch event will be Saturday for new non-profit aiming to help troubled teens

https://t.co/YkgRpjNHbn https://t.co/dgXj9bkkPN"
12,"RT @MKE_CC: From @ChantiaLewis1: Public safety technology partnership aims to make the community safer 

https://t.co/c7LdfpFogc https://t.…"
13,"@tylerperry The last episode didn’t seem like a season finale. There was a clip for the next episode showing her walking into the house with both of them there. I was wholeheartedly expecting another episode. Unless I missed it, which is entirely possible."
14,@POTUS That’s awesome Mr. President! Now on to canceling student debt! That was a promise we are still waiting on.
15,"#Ambulancemovie is an amazing movie by @MichaelBay !It broke my heart to see the very real portrayal of a Veteran’s plea for help with the VA. Trying to get benefits for his family after serving his country. No Veteran should have to come home and struggle, PERIOD!"
16,"RT @GovEvers: BREAKING: I just announced our state's first-ever Clean Energy Plan—a roadmap to lower energy bills and prices at the pump, r…"
17,RT @DavidCrowleyWI: Reduce the burden of #PropertyTaxes on #Milwaukee citizens. There are additional tools to address it. #WI has the #6th…
18,"@violadavis @Showtime @JuVeeProds Bravo!!! I’m in love with the show, and your depiction of our First Lady. You give me Michelle vibes so much watching it."
19,"@KamalaHarris @JoyceSchlessin1 This is great, but why not just cancel it or at least a good portion of it?"
20,"@chandlerdmoore I’m curious was the song, Come Holy Spirit a prophetic worship or an actual song? I’ve never been able to find the entire thing. Love, love that song!"
21,"RT @TotalProSports: BREAKING NEWS: Colin Kaepernick has reportedly signed a 3 year $28 million deal with the New England Patriots, per Adam…"
22,"@kerrywashington And that is REAL!!! Whew… to be a black woman in America, still holding it together and everyone else we are responsible for down, while being twice as good to get half of what everyone else gets. Whew! Okay, back to it."
23,"RT @MKE_CC: Joint statement on the passing of Madame Secretary Madeleine Albright

https://t.co/b0u6wvLOvP https://t.co/mTk6qbychk"
24,"RT @SenWarren: .@SenWhitehouse and I introduced a Windfall Profits Tax that says: if you're a Big Oil company engaged in price gouging, you…"
25,Stop the block! Confirm her now! https://t.co/6z6YCbdGEJ
26,This! https://t.co/h7OPvk39kt
27,"RT @BlackBrownLLC: “The Senate unanimously approved a bill that would make lynching a federal hate crime, explicitly criminalizing a heinou…"
28,RT @MKE_CC: Joint statement in recognition of #InternationalWomensDay. https://t.co/kXAu9BiO9L
29,"I love Starbucks coffee, but they prove time and time again to not be apart of change or the solution, no matter what they declare. All that seems to matter is the bottom line. Without the hardworking staff, and loyal customers where would they be? https://t.co/pgpOETSJiM"
30,"As we close out black history month,  with this important and much needed conversation, I wanted to remind you all there is still room/time to register. 6pm Central, it’s going to bless your life! https://t.co/2rPoynuS0F"
31,"RT @MKE_CC: #28DaysOfBlackHistory

#BlackHistoryMonth https://t.co/CkgalAtnDy"
