Unnamed: 0,Text
0,"My name is Charles Booker, I am a lifelong Kentuckian, proud husband, father, and the person who is going to retire Rand Paul this November. Please help me win this race by chipping in today: https://t.co/AVL22df4Ed"
1,"You may think my candidacy is a long shot. You might have a hard time believing that big things are possible in Kentucky.

If you’re cynical, I don’t blame you. But I am telling you right now, the people of Kentucky will prove every single doubter wrong.

We will win."
2,"My goodness.

Listening to Ms. Janie, I could hardly keep it together. I thought about that 11 year old child. I thought about my own daughters. 

This attack on our rights and freedoms is inhumane. We have to stand together and take our future back. https://t.co/mT87vAUHv1"
3,"The end of the quarter is quickly approaching, and I need your help to remove Rand Paul from office. Kentucky could be the bellwether state this year, and decide our Senate majority. Help me defeat Rand, expand the majority, and abolish the filibuster: https://t.co/AVL22df4Ed"
4,"If you are tired of the hate and vitriol, know that you are not alone.

If you are struggling to make ends meet, know that you are not alone. 

Together we will rebuild Kentucky and we will rebuild America."
5,"RT @AaronParnas: Charles Booker will be the next Senator from Kentucky. 

This is from Eastern Kentucky, in a county that voted, nearly 80%…"
6,"Our rights, liberty, and freedom are under attack. The only option we have is to stand together and fight back.

Thank you, Danielle. From the Hood to the Holler, the people of Kentucky are rising up. We will win. https://t.co/8J99ubm0fP"
7,"The Senate acted swiftly to protect the right to privacy of our Supreme Court Justices.

It is time the Senate acts as quickly to restore the right to privacy for every single American."
8,"My name is Charles Booker, I am running to be the next U.S. Senator from Kentucky, and I will always fight for reproductive freedom. Help me by chipping in today: https://t.co/AVL22df4Ed"
9,"This was never about the sanctity of life for them. This was never about protecting children and families. Truthfully, it’s not even about abortion. 

Politicians are exploiting the most deeply personal decision a person can make, and it’s all for social and political power."
10,"With Mitch’s rogue Supreme Court fighting to strip us of our freedom, I am standing with the people of Kentucky to organize and take our future back.

Tomorrow, I’m going to eastern KY to lead a rally for reproductive justice. See you in Pikeville.

From the Hood to the Holler."
11,Every Supreme Court justice that perjured themselves under oath by saying “Roe is settled law” but voted for this opinion should absolutely resign.
12,"My name is Charles Booker, I am running to be the next U.S. Senator from Kentucky, and I will always fight for reproductive freedom. Help me by chipping in today: https://t.co/AVL22df4Ed"
13,"Good morning, family.

Democracy is under attack. Our human rights are under attack. There is no time to sit down or be silent.

Let’s win this Senate race. Let’s abolish the filibuster. Let’s unpack Mitch’s Supreme Court by expanding it. Let’s protect democracy."
14,"There’s more of us than it is of them. Let’s organize, lift our voices, win this race, codify Roe, and unpack the Supreme Court.

Let’s take our power back. https://t.co/l2imoIZryN"
15,"Now more than ever it's important that we make sure women everywhere feel secure to make decisions that are best for them, their bodies, and their future. Please click the link below to help keep abortion safe in Kentucky and across the country. https://t.co/iC5JRt3zM2"
16,"Growing up as the son of a single mother in Kentucky, I saw every day the struggle she went through. I want to ensure the world that my daughters grow up in is one where they control their own bodies and their own future."
17,"RT @katieporteroc: With SCOTUS’s decision to overturn Roe v. Wade, electing more Democrats to the Senate has never been more important. I’m…"
18,RT @TeamBooker2022: The time to act is now. Kentucky is fighting back. https://t.co/zYPFsm5jrb
19,"“We the People” must take a new meaning right now. We have to stand together and stop the relentless effort to turn our nation backwards.

This moment requires us to see our collective humanity and say that enough is enough."
20,"Our rights have been under attack for years in Kentucky. They’ve wanted to not just ban all abortion, but block our Commonwealth from moving forward.

But we will not sit down or be silent. Together we’ll take our power back. 

From the upcoming film, From the Hood to the Holler https://t.co/hDVMc0X3We"
21,"Government mandated pregnancy and the idea that a pregnant person is now state property cannot be reduced to a partisan debate. 

This is about the fundamental question of whether we still believe in a free and just society."
22,"The United States Supreme Court has overturned Roe v. Wade.

Today is a dark and heartbreaking day in our country’s history."
23,"Tonight, the Senate passed an important first step to solving the gun violence epidemic in our country. The work to protect our children and realize true community safety must not stop here, but this is major.

Rand Paul and the NRA lost tonight. 

Lives will be saved."
24,"Together, we can make sure neither of these insurrectionists hold public office again. 

We’re only 7 days from our end of quarter deadline. Chip in what you can to help us flip this Senate seat. https://t.co/AVL22df4Ed"
25,"Mo Brooks sought pardons. Rand Paul stood by his side every step of the way.

Mo lost this week. In November, let’s make sure Rand suffers the same fate. https://t.co/9C6O3naZBV"
26,"They tried to overthrow democracy and sought pardons to get away with it.

Treasonous cowards."
27,"Mitch McConnell’s Supreme Court doesn’t support gun safety, or your Miranda rights."
28,"Rand Paul spends his time promoting QAnon and conspiracies. I spend my time working for the people of Kentucky. My name is Charles Booker, and with your help, I will defeat Rand Paul this November: https://t.co/AVL22df4Ed"
29,GREAT NEWS!!! I am going to defeat Rand Paul.
30,"Last year, my cousin was battling mental health issues. He got a gun and shot himself.

Rand Paul voted against the gun safety bill and its funding for mental health because people like my cousin don’t matter to him.

Well they matter to me, and when I am elected, I’ll vote YES."
31,"My name is Charles Booker, I am a lifelong Kentuckian, proud husband, father, and the person who is going to retire Rand Paul this November. Please help me win this race by chipping in today: https://t.co/AVL22df4Ed"
32,"When the January 6th insurrection occurred, Rand Paul brushed it off, calling the insurrection a tourist visit and a protest. 

Rand wants you to forget this, but we never will. We will defeat insurrectionist Rand Paul, and expand our Senate majority."
33,"My name is Charles Booker, I am a lifelong Kentuckian, proud husband, father, and the person who is going to retire Rand Paul this November. Please help me win this race by chipping in today: https://t.co/AVL22df4Ed"
34,"Healthcare is a right. Housing is a right. Voting is a right. 

Your rights should be protected. That’s what I’m fighting for."
35,"This morning, I'm thinking about the poll workers in my neighborhood. The elder Black women who sit at the table and light up when I walk in to vote. Their joy for democracy fills the room. These women, like Shaye and Lady Ruby, are true patriots. Sending them love now."
