Unnamed: 0,Text
0,THIS IS HOW WE WIN— join us July 9 for our next block walk by signing up here: https://t.co/faeSSQU4WR
1,"But there is urgent work that needs to be done, and we need your help! Kardal and DCDP Chair @KristyforDems need your help engaging likely Dems that don’t vote every election, but that we need to turn out for our statewide candidates in November. https://t.co/Yk2JkAEBoC"
2,Rachael and I were honored by @KardalColeman’s invitation to speak at the @dallasdemocrats Rising Together Rally on Sat. It meant so much to stand and march with our fellow defenders of reproductive rights following the abomination from the extremists at SCOTUS on Friday https://t.co/gVEePvIuuL
3,"RT @wendydavis: 9 year's ago today, through the #PeoplesFilibuster we came together and shouted down an injustice. In the face of yesterday…"
4,"I was proud to volunteer for @RonaldKirk16 back in 2002 not just bc he would make an amazing Senator, but I suspected his opp would someday make inane, offensive comparisons like this. Overturning Plessy (racist + completely incongruous w/14A) nothing like yesterdays injustice. https://t.co/ZShlux3qyL"
5,"We must dedicate our every spare energy to defeating each and every enabler or this great injustice. Restore Roe, restore reproductive rights, and stop the ruthless activism of right wing extremists on the court."
6,"RT @PPFA: BREAKING: The Supreme Court just overturned Roe v. Wade, ending our constitutional right to abortion. We know you may be feeling…"
7,"RT @wendydavis: We need to provide help to practical support organizations on the ground helping people access care like local, state and n…"
8,RT @wendydavis: In this devastating moment for the right to control our own reproductive destinies - I am choosing hope rather than resigna…
9,"We hope you’ll join us TONIGHT for a reception supporting @LizforTexas, our friend and Dem candidate for #HD108, one of the most competitive races (and flippable seats) in TX. If you can’t join tonight, please donate to support Liz at https://t.co/HM9DEyp03s. See you tonight! https://t.co/HTiHhqAd9t"
10,"This article provides simple, direct, and basic answers about gender-affirming care- not from politicians, but from doctors who treat trans individuals every day. Worth repeating: healthcare for trans kids is NOT abuse. Every major med assn agrees #protecttranskids #Pride https://t.co/x5AMuRjjgM"
11,RT @ColinAllredTX: This is a radical and dangerous platform. I want every Texan who is scared or embarrassed by this to know you're not alo…
12,RT @ChristyWalshDC: Great news out of Texas today.  Renewables keeping the lights on and AC running during the heat wave. https://t.co/5xz3…
13,"RT @ChrisMurphyCT: 8/ Will this bill do everything we need to end our nation’s gun violence epidemic? No. But it’s real, meaningful progres…"
14,RT @ChrisMurphyCT: 🚨NEWS: We have a deal. Today a bipartisan group of 20 Senators (10 D and 10 R) is announcing a breakthrough agreement on…
15,RT @mattlargey: Wind power sure is over-performing in Texas today — keeping prices low and the grid stable on a day with potentially record…
16,RT @wendydavis: Indeed. @BetoORourke is a hero. Thank you @fred_guttenberg for your unflagging efforts to prevent future preventable traged…
17,"RT @RonaldKirk16: It isn’t enough to be heartbroken over the slaughter of our innocent children and teachers, we have to vote these heartle…"
18,RT @BetoORourke: We won’t forget.
19,RT @NathanForTexas: https://t.co/dIT9lU4AtF
20,"Do not believe @GregAbbott_TX’s lie that the grid has been fixed— the only fix was for his top donor, Kelcy Warren. Every GOP lawmaker who enabled this danger to persist deserves to lose their job this November. Sustainable solutions that create jobs are within reach #VOTE https://t.co/8V3kwCNO8R"
21,Rachael and I have been lucky to volunteer with City Square for years. Larry James is a reliable soldier against poverty. His example is one we follow. https://t.co/BPhdfIbXvJ
