Unnamed: 0,Text
0,"The MAGA Supreme Court just overturned Roe v. Wade, eliminating the constitutional right to an abortion.

This is heartbreaking – and it’s an abomination. https://t.co/2k319rw5Yd"
1,"For the first time in nearly 30 years, the Senate just passed a bipartisan bill to address gun violence.

This is a historic moment – and a critical step forward in the fight to end the scourge of gun violence once and for all. https://t.co/wj9xgkZbpS"
2,Early Voting for New York’s June 28th primary election is happening now! Find your polling place and make a plan to vote early this week: https://t.co/TpW7rFc1le https://t.co/N98jMhvZ1z
3,"Happy #Juneteenth! Today we celebrate freedom and the day the last formerly enslaved people learned they were free.

2022 is the 2nd year that Juneteenth is celebrated as a federal holiday – and it’s the only federal holiday acknowledging the dark stain of slavery on our nation."
4,"Catherine Cortez Masto is an unwavering fighter for Nevada’s working families. And now, she’s officially running against an extreme Republican who’s fully embraced Trump’s Big Lie. We need to do everything we can to keep @CortezMasto in the Senate! https://t.co/Hv2tFALKps"
5,"January 6th, 2021 was one of the darkest days in American history. And it’s painstakingly clear: it was a direct attack on our democracy, incited by Donald Trump.

https://t.co/3CzKJiPGp4"
6,"The deadline to register to vote in New York’s June 28th primary election is TODAY. Make sure you’re registered to vote at your current address and get registered if you’re not:

https://t.co/3xS7BVZ1qM"
7,"Because of @citizenactionny's work, New Yorkers are closer to a world of social, racial, economic and environmental justice. I love working alongside them and I'm honored to have their support as we keep working for a more progressive and just city, state and country. https://t.co/XktM9V1SvT"
8,"Happy #PrideMonth, New York! This month we celebrate the LGBTQ+ community in New York and around the country. Now more than ever, we must continue the fight for equality and stand united against hatred and bigotry."
9,"Today on #MemorialDay, we remember the brave Americans who made the ultimate sacrifice serving our country. They are heroes whose memories we will always honor."
10,"Gun violence is a plague that has taken over our nation. Yesterday, it claimed the lives of 19 beautiful children and two teachers in Uvalde, Texas

We must take action to stop gun violence, and we are going to vote on gun legislation."
11,"Every household is now eligible to order 8 more at-home COVID tests, free of charge! Order yours now:

https://t.co/NIZ91Vjio5"
12,Abortion rights are on the ballot this year. We can’t afford to lose our Democratic Majority. https://t.co/HtpZX2rsKq
13,"Pennsylvania is one of Democrats' top pickup opportunities this cycle, and @JohnFetterman is exactly the candidate to get the job done. He's running to ensure no person, no town, and no neighborhood is left behind and will fight for every working family in PA. Congratulations! https://t.co/RzUzPgJlGA"
14,"Congratulations to @CheriBeasleyNC, the Democratic nominee for U.S. Senate in North Carolina! She is a trailblazer who made history as the first Black woman to serve as Chief Justice of North Carolina’s Supreme Court, and she will make history again in November. https://t.co/ykGdUPRqB9"
15,"10 innocent lives taken far too soon in a heinous act of racism and hate.

Our hearts are broken, but all of New York stands together with Buffalo. Bigotry has no home here and even in the face of great tragedy, we will remain united.

https://t.co/P6W1ZY9ZK7"
16,"With today’s vote, every American can see: the MAGA GOP wants to send us back to a time when women lack the right to make decisions about their own bodies. It's shameful.

But we will not stop fighting back, and voters will remember this day in November. https://t.co/thzDS8goSE"
17,Roe v. Wade must be protected. https://t.co/boi3YGk6kM
18,"“By a nearly 2-to-1 margin, voters oppose overturning Roe v. Wade.”

We must protect the right to choose.

https://t.co/3bUEewMV99"
19,I am INFURIATED by the Supreme Court’s reported decision to overturn Roe v. Wade. But make no mistake: I’m more determined than ever to protect the right to choose – and I’m proud to stand with @emilyslist in this fight. https://t.co/G1nKFopj2d
20,"If the report is true, the Supreme Court is about to make one of the most damaging decisions in modern history: overturning Roe v. Wade.

Taking away millions of Americans' bodily autonomy and constitutional rights is an abomination. https://t.co/mfbveJqe4U"
21,Eid Mubarak! Wishing joy and love to everyone celebrating in New York and around the world.
22,".@VOCALNYAction is a force in all our communities, in NY and beyond. I'm honored by their support and proud to stand together in the fight for a caring and compassionate democracy for all New Yorkers impacted by HIV/AIDS, the drug war, mass incarceration and homelessness. https://t.co/kUZPTkhQSR"
23,Thank you @SDNYC for your support! Your endorsement fills me with PRIDE and I look forward to continuing our work together to ensure New York remains a beacon of equality and fairness for the LGBTQ+ community. 🏳️‍🌈 https://t.co/sPVIZjHt8k
24,"I’m honored to receive the endorsement of @jimowles, New York’s city-wide, progressive LGBTQ Democratic club. With the alarming wave of anti-LGBTQ+ laws across the country, it’s never been more important to stand together in the fight for equality and justice for all. https://t.co/hUFa6m5srl"
25,RT @ewarren: Today would be a great day for President Biden to use his existing executive authority to #CancelStudentDebt. https://t.co/G9d…
