Unnamed: 0,Text
0,"I was proud to meet with several @SBWorkersUnited  employees in Biddeford who are fighting for fair wages and better schedules. #UnionStrong #mepolitics 

https://t.co/gBRb4VcuCV"
1,"Today, I met with @SBWorkersUnited employees at the Biddeford Starbucks location to learn more &amp; support their unionizing efforts. 

I firmly stand with them and support the right of workers across the country to organize and form a union. #UnionStrong #mepolitics https://t.co/Hao03DF27f"
2,"So honored to speak to a great crowd of Democrats today!

We’ve got our work cut out for us, and I’m so honored to be working to elect @MaineDems up &amp; down the ballot across the state. #MEDemConvention22 #mepolitics https://t.co/4qBCKTs8Pr"
3,"We're excited to announce that Chellie has turned in 1,500 signatures to qualify for the June primary! 

A HUGE thank you to all the voters who signed our petitions — and all the Mainers who have consistently put their trust in Chellie to represent them in Congress. #mepolitics"
4,"From my seat on the Appropriations Committee, my number one priority will remain providing more resources to Mainers fighting to survive this crisis &amp; delivering federal funds to our state. Holding this office is a sacred trust and I cannot wait to get started on the work ahead."
5,"Congress must act with urgency to send pandemic relief directly to thousands of Mainers and millions of Americans trying to survive the pandemic, defend the Affordable Care Act under dire threat, and combat the climate crisis ravaging our planet."
6,"I am humbled and grateful that Mainers have entrusted me to represent them once more in Congress. We have a titanic amount of hard work ahead of us. #mepolitics

https://t.co/M7T9FjOaV7"
7,"Folks, don't listen to the nonsense coming out of Donald Trump's mouth. Votes are ALWAYS counted for days after the election. #mepolitics

https://t.co/iiEBIwzTjy"
8,"I'm asking for your vote &amp; your vote for Democrats up &amp; down the ballot to undo all the damage and suffering over the last 4 years.

If you haven't voted or registered yet, you still have time. Polls close at 8PM. Find your polling place here: https://t.co/SvYoA4lUxx #mepolitics"
9,Drop off your ballot if you haven't mailed it yet. https://t.co/XzRX0CBueq
10,"So honored to receive the endorsement of the @PressHerald! I'm proud of my work to expand health care, lower the cost of prescriptions, fight hunger &amp; the climate crisis. I look forward to fighting for Mainers in Congress next year! #mepolitics

Read more: https://t.co/ZMIsr5kARe https://t.co/3nDSx6htVw"
11,I've been so proud to serve the wonderful people of Maine's 1st Congressional District and I hope I have the opportunity to continue representing them in Congress. #mepolitics
12,I agree that we should have public financing of campaigns! #mepolitics
13,"The Lugar Center - McCourt School of Bipartisan Index
House Scores -- 116th Congress First Session (2019) #mepolitics 

https://t.co/BI3tRIzj4d https://t.co/0v6gyDpFOF"
14,"I'm proud to have a strong bipartisan rating and I will always support what's right, regardless of party. #mepolitics"
15,Health care is a human right &amp; Congress must protect and shore up the Affordable Care Act. We need a public option. #mepolitics
16,It would be the height of irresponsibility to play politics with pandemic relief. State &amp; local governments -- both red and blue states -- need funding now. #mepolitics
17,Tune in now for our @MainePublic 1st Congressional District debate &gt;&gt; https://t.co/LWRtXUpRq7 #mepolitics
18,"Tune into @MainePublic at 8PM tonight for our final debate of the campaign. Looking forward to a lively and civil discussion! #mepolitics 

https://t.co/LWRtXUpRq7"
19,"Join my colleague @PramilaJayapal &amp; other progressive leaders in Maine to help get out the vote for @JoeBiden , @KamalaHarris and all our great #mepolitics candidates this election!

RSVP here ⬇️

https://t.co/VQYEBrqw8T"
20,"Really great chatting with @ZachBlanchard at @newscentermaine about the state of our campaign, everything that’s at stake this election &amp; my grandkids! #mepolitics 

https://t.co/FbKHbogQ1Q"
21,Tune in at 7pm tonight for the @newscentermaine CD-1 candidate forum sponsored by @AARP.  Looking forward to discussing the issues that Mainers really care about in this election #mepolitics https://t.co/VQ5F75Nr9V
22,"Honored to earn the endorsement of the @bangordailynews! So much is at stake this election and I look forward to continue fighting for the great people of our district and all of Maine next year in Congress. #mepolitics

https://t.co/V2edKYObFQ https://t.co/eBCFSnGfMC"
23,"Tonight, as President Trump stoked division and spouted falsehoods to protect himself and his failed presidency, Joe Biden demonstrated true and honest leadership that will finally move us forward and put Mainers first. #mepolitics"
24,"The people of Maine need a President who will fight for them no matter what, especially in the wake of an unchecked pandemic that has killed 200,000 Americans, wreaked havoc on the economy, and shed light on Donald Trump's total disregard for science and human life. #mepolitics"
25,"Phil and Peggy oversaw historic victories for Maine Democrats in 2018, and I'm so grateful for their incredible service. I wish them well in the future! #mepolitcs https://t.co/BkLh1m04tH"
26,Next stop: Scarborough with a terrific group of candidates! #mepolitcs https://t.co/6SpNWDStVP
27,Thanks to all the staff and volunteers for your incredible work! #mepolitcs https://t.co/1vZY5kTTVF
28,Great to be in Kennebunk talking to voters this morning! #mepolitcs https://t.co/VPpOegMefA
29,Thanks so much to Janice Cooper for showing me around Yarmouth this morning! We met a great group of people in this amazing community. #mepolitics https://t.co/pGW0h2HoCs
30,"Another great team of @MaineDems volunteers are heading out to #GOTV on #thelastweekend! Remember to vote this Tuesday, November 6th! #mepolitics https://t.co/hZO5mJWGzA"
