Unnamed: 0,Text
0,This creates a framework where capitalism is ethically unjustifiable. @NRCC @gop @ncgop @wakegop https://t.co/KKKlNpelHK
1,"RT @GOP: Thanks to Biden's failures, America is now relying on the rest of the world to supply baby formula to hungry children. https://t.c…"
2,"Please do not suffer in silence--Help is out there.
24/7 resources include:
🖥️ Online at https://t.co/pYbEp5ZK0F
☎️ Veterans Crisis Line: 1-800-273-8255; Press 1 https://t.co/bD2NF5VW2X"
3,We can be good stewards of the environment and not crater the economy. #ncpol @NRCC @gop @NCGOP @wakegop @WakeCoYR @VIEWPAC @maggieslist1 @iVoteAmerica @America1stPact @RepStefanik
4,"RT @GOPChairwoman: Today, a New York City court struck down the Democrats’ radical scheme that would allow over 800,000 non-citizens to vot…"
5,I am honored to receive the endorsement of @maggieslist1. Maggie Smith believed deeply in American liberties. I hope to join her and many other women who have served this country and defended its liberties in the halls of Congress. #ncpol @NRCC @gop @ncgop @wakegop @VIEWPAC https://t.co/gzTRgnln7c
6,RT @TheRightAOC: #Bidenflation Threatens to Tear Down Main Street #ncpol  https://t.co/XZDY8pCtkx
7,"RT @Villaverde4NC: We are down to the wire with our fundraising goal.

Please contribute whatever you can to help me toss Ross, a Radical L…"
8,"Instead of promoting policies to help struggling Americans with skyrocketing gas prices, radical green-energy politicians like @RepDeborahRoss are doubling down on this destructive agenda. 

Fossil fuels help power better living standards in America. @NRCC @gop @ncgop @wakegop https://t.co/hCC2spaMv4"
9,RT @SenJoniErnst: .@POTUS started a war on American energy on his first day in office.
10,"The Democrat response to skyrocketing gas prices and the suffering of Americans at the pump has been wholly inadequate, ineffective, and disingenuous. #ncpol @NRCC @GOP @NCGOP @wakegop @VIEWPAC @WinningForWomen @maggieslist1 @RepStefanik"
11,RT @GOP: #Bidenflation is hurting small business owners https://t.co/MNgrJCAkrC
12,RT @GOP: God bless this great nation
13,"We can’t let Biden, Pelosi, and @RepDeborahRoss distract from the fact that skyrocketing inflation is crippling businesses and families in NC. #ncpol @VIEWPAC @NRCC @GOP @NCGOP @wakegop @iVoteAmerica @HouseGOP"
14,RT @America1stPact: Wonderful
15,"RT @PolicyWithPaige: ""Mr. Biden’s energy policy is a jumble of incoherence. He wants political relief from high gas prices but only to get…"
16,"Thank you as always to @JohnLockeNC for providing much needed insight into many issues that will continue to challenge us all.

With your continued guidance, I will strive to be a good steward by championing for policies in the public interest. #ncpol @NRCC @gop @ncgop @wakegop https://t.co/ceYfWdi7d4"
17,RT @wakegop: Over 70% of North Carolinians voted to require a photo ID to vote in 2013. This is something majority of the states already do…
18,#ncpol @sbaprolife @iVoteAmerica @America1stPact @StudentsforLife @FaithandFreedom @NRCC @GOP @wakegop @WakeCoYR @wakegopmensclub https://t.co/hDwp4cIVZK
19,SCOTUS rightly puts decision of abortion back to the people and their elected lawmakers in each state. #ncpol @sbaprolife @NRCC @gop @ncgop @wakegop @WakeCoYR @StudentsforLife
20,Legislators should no longer be allowed to delegate fiscal policy to unelected bureaucrats. It is time to elect leaders who will promote fiscal responsibility. #ncpol @NRCC @GOP @WinningForWomen @wakegop @NCGOP @VIEWPAC @club4growth @maggieslist1 @iVoteAmerica
21,"RT @GOP: The only solution to ending the #BidenGasHike is to end the War on American Energy, but Joe Biden won’t do that."
22,"Anxiety is surging right along with skyrocketing inflation.

We need new leadership in DC who will actually help struggling Americans. 
#ncpol @NRCC @GOP @NCGOP @wakegop @VIEWPAC @maggieslist1 
https://t.co/rK579PlM5u"
23,"RT @America1stPact: Vote by vote, precinct by precinct with strong candidates like @Villaverde4NC  front and center!"
24,"Please join @maggieslist1 and I at this wonderful event.

We are celebrating strong and talented trailblazing women bringing bold ideas to lead this great nation forward.

#ncpol @VIEWPAC @WinningForWomen @sbaprolife @NRCC @GOP @NCGOP @HouseGOP @wakegop @WakeCoYR @iVoteNC https://t.co/JVWIKM48CX"
25,"RT @iVoteAmerica: @Villaverde4NC @NRCC @GOP @wakegop @NCGOP @HouseGOP @RepStefanik @VIEWPAC We’re proud to join hands with @Villaverde4NC,…"
26,"It looks as if the intent of Democrats is to crater our economy so that they can coalesce power into the hands of the Elite. 

We must fight back this November. 

Support me: https://t.co/2sH13ovKnU

#ncpol @iVoteAmerica @NRCC @GOP @wakegop @NCGOP @HouseGOP @RepStefanik @VIEWPAC https://t.co/Fx4binZvzo"
27,"RT @GOP: Even Democrats know Biden’s gas price gimmicks are malarkey. 
https://t.co/uDb1CfNjiG"
28,@lapislazuli7890 Thank you so much for your support!
29,"RT @Hines4Nc: Biden’s gas tax cut is saving Americans $17 dollars over the next 90 days, $68 days a year. Open the keystone pipeline, open…"
30,RT @NCGOP: Biden was warned that his $1.9 trillion “stimulus” would fuel inflation – he was warned his anti-American energy agenda would su…
31,RT @arithmosdata: @VIEWPAC @KatieBrittforAL @NRSC Women voters and women candidates are becoming much more important in the GOP. We are res…
32,@libertydaddy2 @dixie_laurel 308
