Unnamed: 0,Text
0,@TristanJWalsh03 The steering wheel and the neck...
1,@AK_Chick It's going to be a long 20 years.
2,@NotReallyAProg1 @JaspersBeard @alaskanrobby To be clear as my number 2.  She is pro-choice.  And she is LGBT supportive.  She was booed by her own party for saying she was supportive of transgender people.  And she spoke up during the campaign and said she was pro-Choice.
3,RT @DICKS: https://t.co/TvOX7rNkkr
4,@JaspersBeard @alaskanrobby Probably going to write in Tara.
5,"@SusanBMorgan Perhaps n their minds, something like 'How can you deprive women of something they never had?'"
6,Literally this is where a US Senator is going. 'Let's bring back segregation.' https://t.co/TFT2KJUTpi
7,"""Pro-Life"" indeed.

https://t.co/SlaA24QkrE"
8,@julia_omalley And it certainly hasn't been planned in any meaningful way.
9,@DZBillFulton They are fighting hard for Trump and continuing their crimes.
10,@scooterkendall It kind of makes sense.  Her caucus sent me this. https://t.co/V7TahovhXQ
11,@ZackBrownDC Zipping or snapping pockets.
12,@scooterkendall Alaska DOTPF.
13,@alaskanrobby Mountain View.  Fairview has had solid representation.  I was elected from there as a 15 year resident.
14,@AKroadweed I would note that last night the only ones silencing anybody were themselves. https://t.co/AyLWXKGxWO
15,@AmandakMoser Baadmaangutehundefreude
16,"@leslieridle I fell off my bike two days ago in the silliest of places.  When you are out doing things, you will tumble sometimes."
17,@JChrisAndrews I understand.
18,@georgedick It's a mix.  Way better.  With a loud ugly tiny minority that seems to dominate.
19,@KevinBerryEcon @AmandakMoser @AuroraWhore Great bikes.
20,I can't even. https://t.co/FbZvvixv4u
21,@KevinBerryEcon @AmandakMoser @AuroraWhore I have a couple but they need tune ups.
22,@intrinsiccity Hadn't realized they were closed.
23,@sea_changer @scottymax @ChugachMtnBlues Totally inaccurate assessment.  But that's par for the course.
24,@scottymax @ChugachMtnBlues @sea_changer This has been the Constant platform since the beginning. https://t.co/ILKAMrXgtO
25,@Climatologist49 @datamanAK @IvySpohnholz @akbragg Five Republicans of the 35 who voted to create the Jan 6 Committee were on the ballot this Tuesday.  All five survived the primary.
26,"Tomorrow is the day!
➡️ Your ballot must be postmarked by June 11 to count.
➡️ If you would like to vote in person, check the available voting sites here: https://t.co/YaeoAXw3GG.
➡️ You must have a witness sign your ballot! https://t.co/QvXPksWB6l"
27,"Alaska has a once-in-a-lifetime opportunity to rebuild the state through the Infrastructure Investment and Jobs Act, and we need strong leadership to ensure Alaskans get as much as possible from this incredible investment.

#Constant4Congress #Alaska #Congress #infrastructure https://t.co/qDIfgQP4si"
28,"Pride is about love, loss, grief, fun, and fight. https://t.co/bFub1MgiTH"
29,@RandomAlaskan Nope.  Just right.
30,@mokigheen Should be hung up this week.  Checked in last week.  That's what I was told.
31,@treesontrees47 I am a member.
32,"It’s more important than ever to support LGBTQ+ candidates. With the U.S. Supreme Court expected to overturn Roe v. Wade next month, LGBTQ+ rights are next. 

#Constant4Congress #Alaska #Congress #lgbt #lgbtq #loveislove #identity #pride #pridemonth https://t.co/kmA7I2vNKZ"
33,"@KevinBerryEcon I want to see substantial investment in the University of Alaska to create the Nation's lead research and development institution for climate tech and adaptations.  Construction, energy, food systems, biology/Healthcare.  Let Alaska be the great test case."
34,@cinyc9 @WillMuldoon @AK_OK @leahwrenn @MunkeeRajah @alaskanrobby @dimond_chris @JMilesColeman @DrewSav @Thorongil16 @XNeonXO Are these old or new HD numbers?
35,"Alaska has a once-in-a-lifetime opportunity to rebuild the state through the Infrastructure Investment and Jobs Act, and we need strong leadership to ensure Alaskans get as much as possible from this incredible investment. 

https://t.co/QF2MSuzZH3"
36,June is Pride Month and a time to celebrate the LGBTQ+ community and how far we have come. But it is also a reminder that words and acknowledgment only go so far. Read more on why I think it is critical we elect a candidate who is LGTBTQ+ here: https://t.co/0ReSdeAZqM
37,"Christopher Constant is an ally for hard-working Alaskans. He knows that union workers on average make 11.2% more than their nonunion counterparts. He knows that labor unions provide a voice and protection for everyday Alaskans. 
https://t.co/FvujDGDrq3 https://t.co/b9iiKvGEia"
38,All in for Armstrong! https://t.co/o3VIVDJE93
39,"@Rathole747 100%  And if they deny you permission, then it quickly moves to your most skilled venue."
40,@AlaskaDemocrats @VictoryFund @EqualityPac @HRC @tlrd @JoeMyGod Help!
41,@ZackBrownDC 100% Transportation and Infrastructure.  I have served on the NLC TIS committee since being elected to the Assembly and also stewarded the Muni Enterprise &amp; Utility Oversight Committee.
