Unnamed: 0,Text
0,#Republican #ProLife #Hispanic #Military #BusinessOwner  #TakeBackTheHouse #CA45 @CAGOP @OCGOP @GOPChairwoman @GOP @kayleighmcenany @DennisPrager @am870theanswer @IngrahamAngle @larryelder https://t.co/Lui2lHDuP8
1,"#CA45 #TimeToVote #TakeBackTheHouse 
@seanhannity @GOPChairwoman @RepMarkMeadows @realDonaldTrump https://t.co/SoV20yNHVX"
2,RT @gonzalesforCA45: https://t.co/itvGksckvi
3,"Experience matters. Vote for the Republican candidate with specific experience applicable to congressional duties. Vote Christopher Gonzales for Congress in California's 45th District.

#CA45 #Integrity #IrvineResident #LivesintheDistrict #Attorney #ArmyOffice #TakeBackTheHouse https://t.co/GKWEf8tLzq"
4,#CA45 #OCGOP #CAGOP #prolife #TakeBackTheHouse #TakeBackOC #HispanicsForTrump #VoteRed #VoteNow https://t.co/rV7Ucb90AC
5,https://t.co/XQxxhrIMVu
6,"Let's take back the House!  #CA45 #OrangeCounty 
@realDonaldTrump @GOPChairwoman @am870theanswer @ocregister @Hispanic100Org @IrvineGOP @OCRepublicans @OCGOP @RepMarkMeadows @DonaldJTrumpJr https://t.co/H5ThXJYfoG"
7,Some of Christopher's experience in local government: https://t.co/LBLFVXV9Ym
8,#ProLife #ProFamily #CA45 #OrangeCounty #OneTermKatie https://t.co/NKFR3WdzDD
9,"There are only a couple of more weeks until Primary Election ballots can be cast. We need your help today. Please support Christopher by donating to his campaign to help us continue to get his message out to the voters in CA-45. 
https://t.co/qDZFMXxCyI"
10,https://t.co/itvGksckvi
11,"Take back #CA45  https://t.co/whzN1mYgyS
https://t.co/4ClaFrNBSO"
12,"Christopher Gonzales received the endorsement of the group Veterans2Washington.  
Christopher served in the United States Army as a First Lieutenant, Military Police.
Christopher is an Accredited Advocate by the Veterans Administration and works hard for veterans' causes.
#CA45"
13,"Christopher Gonzales. Pro-Life Candidate for CA45
https://t.co/bXvhbxBIC0

#marchforlife2020 #March4Life #MarchForLife #ProLife @realDonaldTrump @seanhannity @dbongino"
14,https://t.co/UJAH47J8QB
15,"We need your help to take back CA45 from Katie Porter. Donate $5 or $10 today to help us elect conservative Christopher Gonzales to Congress. Thank you for your support! https://t.co/qDZFMXxCyI 

#onetermkatie #Conservative #CA45 #ProLife 
@realDonaldTrump @seanhannity"
16,"RT @GOP: PROMISES MADE.
 
PROMISES KEPT.
https://t.co/4tSjd5H1Xx"
17,"After a breakfast meeting today with the wonderful 3-term Mayor of Tustin, Chuck Puckett, Chris made another new friend/ supporter. #CA45 #Conservative #GOP #OC2020 #OrangeCounty #TakeBackCA45 #GonzalesForCongress
@realDonaldTrump #HispanicVoteMatters https://t.co/ul3aFM0tGU"
18,"We need some sanity back in the House of Representatives. With your help, we can send Christopher to Washington from CA45 to help restore integrity. Tell your family and friends to join you in donating to GonzalesForCongress. You can make a difference.

https://t.co/qDZFMXxCyI"
19,"#CA45 #OrangeCounty #RedWave #Conservative #ProLife #Veteran #HometownCandidate
 
https://t.co/7Ob0w9HYc7"
20,#JobsReport #StrongEconomy #CA45 #Conservative https://t.co/hEJBHPEZlL
21,Jobless claims drop for the 4th week in a row. https://t.co/ar8qbVSxai
22,"Did you know that in 2020, all voters in Orange County will receive a vote-by-mail ballot? You can either mail in your completed ballot or drop it off at any polling place on Election Day."
23,"Excellent news on the economy today. 
https://t.co/qGI3G07v4o"
24,"If you are not yet registered to vote in California, you can click the link below to register:

https://t.co/5Utgvmu8bS"
25,"Calling all Republicans and concerned electorate! Let’s unseat liberal Katie Porter from #CA45! Add a strong voice for conservatives, family values, and civility in Congress.
#Irvine #OrangeCounty #Conservative #prolife

https://t.co/yiSJsVGukG"
26,"Reminder! The deadline to register to vote is February 17th. If you are unsure of your voter registration status, click below to verify that you are registered Republican.
https://t.co/GBLAAevOEE"
