Unnamed: 0,Text
0,GOP challenger says she's 'suspicious' of Norcross tax break proposals https://t.co/sd5OVfkXBl https://t.co/yHzVfN0Z8b
1,It is an honor to be endorsed by Huck PAC ! Thank you very much! https://t.co/Ossg56uC6q
2,"Great Fundraiser Total Turf Pitman as Ed and Mary Nailor Beat 
Senator Ed Durr and Congressional Nominee Claire Gustafson in last nights Bag Toss Competition. Both teams survived tough competitors to make it to the finals. https://t.co/dKkQx82q63"
3,"I have said many times that I do not believe in abortion as a form of birth control. As to Roe v Wade being overturned I believe the issue should have always been up to the individual states, this decision does exactly that. https://t.co/XVWlPyVLDV"
4,"Yes, Children Are Being Taught Critical Race Theory in K–12 Schools in the US -…just needed to set the record straight to those who questioned that CRT was being taught K-12 at all…IT IS AND SHOULD be STOPPED! https://t.co/J7memF5XNr"
5,Tom Crone wins Camden GOP county chairman race - New Jersey Globe https://t.co/Qqvbz9KZbg
6,@w_terrence And NO to racism!
7,"@w_terrence For years I have been an advocate for Parent’s Rights, including while I was a school board member. I say NO to CRT, NO to elementary school level sex education, NO to gender persuasion!
#educatenotindoctrinate"
8,"RT @w_terrence: This is CROSSING THE LINE. Teacher made students Pledge their allegiance to Black people. I hope this video goes viral, she…"
9,Congressman Van Drew and I met up at a Fundraiser at Cedarvale Winery for Gibbstown Republicans https://t.co/SosVYyOzYQ
10,Happy Flag Day https://t.co/JqaR6Gb4oo
11,"Thank you for all your congratulating phone calls and your support!
Now it’s time to get ready for November! https://t.co/vsTLTQ9Hyw https://t.co/wvqrN6coRA"
12,https://t.co/vsTLTQ9Hyw https://t.co/Aj0VRNo44U
13,Join us for PAC Chat live: https://t.co/wf5CezSBQ1
14,https://t.co/3ziV4RVH4F
15,"3 Counties make up NJ CD01 Camden, Gloucester and part of Burlington…here is the early voting schedule for: https://t.co/wAHyj4fpxX"
16,Remembering those who served this Memorial Day https://t.co/8XGGGx4ASM
17,"My friends have heard me speak about being an Army Brat. This Memorial Day, as I take time to remember those who served including my Dad, my brothers William and Robert, remember everyone who served and sacrificed so that we can be free! https://t.co/zshBULurYZ"
18,Getting votes last night with Monroe Candidates  the old fashion way…door by door! https://t.co/KA32sAIpiv
19,https://t.co/0fmzC9opun
20,"Great people, good time…GCGOP Breakfast
https://t.co/vsTLTQ9Hyw"
