Unnamed: 0,Text
0,"RT @fairplaywomen: Disappointing. @MarkDrakeford’s knee jerk view on the complex issue of trans inclusion in sport is “TWAW”

All 5 sports…"
1,She believes there is a right to murder babies just the Democrat Confederates believed they had a right to black people. https://t.co/IgTjGZpcQS
2,@ShemekaMichelle @SamuelLJackson 😂😂. Hey plays Sambo and Quimbo's role well.
3,"@lavern_spicer @SamuelLJackson Nope, he wants more dead black babies."
4,@MarioGoveia1 https://t.co/AM8GU9sMrN
5,@SamuelLJackson @SamuelLJackson is playing his Django Unhinged role. This is the type of ignorance why 9/10th of blacks now vote for the Democrat Confederates instead of the forced 3/5th.  Sambos and Quimbos are always ready to do Massa's job of whipping.
6,#lalege https://t.co/NRbUEIssIb
7,"“This definition of “bear” naturally encompasses public carry. Most gun owners do not wear a holstered pistol at their hip in their bedroom or while... at the dinner table. Although individuals often “keep” firearms in their home, at the ready for self-defense, most do not “bear”"
8,"“Heller further confirmed that the right to “bear arms” refers to the right to “wear, bear, or carry . . . upon the person or in the clothing or in a pocket, for the purpose . . . of being armed &amp; ready for offensive or defensive action in a case of conflict with another person.”"
9,"“We too agree, and now hold, consistent with Heller and McDonald, that the Second and Fourteenth Amendments protect an individual’s right to carry a hand- gun for self-defense outside the home.”-SCOTUS"
10,"Will our Louisiana legislators address the Supreme Court’s opinion? 

“New York’s proper-cause requirement violates the Fourteenth Amendment by preventing law-abiding citizens with ordinary self-defense needs from exercising their right to keep and bear arms in public.”-SCOTUS"
11,"“For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.”-Eph 6:12"
12,The damage for forced jab mandate is astronomical. https://t.co/rATFusF3DV
13,RT @rfsquared: We’ve come a long way since @CDCDirector *falsely* reassured the public in a press briefing in April 2021 that mRNA vaccines…
14,@catturd2 Unhinged.
15,"@townhallcom This is hardcore. “It’s always amazing to me how some people can read plain words and not understand them, while at the same time create new pronouns and genders every morning they wake up and expect the world to conform to them. Language is not difficult, being an idiot is.”"
16,"RT @townhallcom: Donald Trump’s Supreme Court Legacy
  https://t.co/oTQZnUujSG"
17,Hey Plan parenthood the adoption business is now open. https://t.co/3pjFs1WDmk
18,@jezsta1 I figured.
19,RT @redbikemaster: @FreckledLiberty .085% actually https://t.co/fVwgInX7le
20,RT @jezsta1: @ClastonB Exactly! But people are pushing heavily of the party switch myth! It is irradiating. I became a Republican specifica…
21,"RT @ClastonB: It seems like 1857 all over again, and once more the Democrats are leading the charge, only this time it is not Dred Scott an…"
22,"RT @ClastonB: Like Dred Scott and Roe v Wade, I believe the Supreme Court was wrong in Jacobson’s ruling. Our unalienable rights cannot be…"
23,"RT @ClastonB: The same party that supported Darwin's bigotry, Dred Scott's ruling, the Civil War, Jim Crow, KKK, Redshirts, lynching &amp; sodo…"
24,RT @ClastonB: Darwin believed the negro was near to brute &amp; his theory was the reason behind Dred Scott's ruling that dehumanized blacks. I…
25,"RT @ClastonB: There should be no precedence for upholding what is wrong. The Court is wrong about Roe, just like it was wrong about Dred Sc…"
26,"RT @ClastonB: In 1857 SCOTUS got the Dred Scott's case wrong by saying man had a right to ownership in another person, it eventually led to…"
27,"RT @ClastonB: The Democratic today is the same party that supported slavery, the Dred Scott ruling, the Civil War, Jim Crow, and abortion."
28,"RT @ClastonB: Basic American history facts:
Dred Scott Ruling=Democrats

Confederacy=Democrats

Cessation of Union=Democrats

KKK=Democrats…"
29,"RT @ClastonB: The Biden administration is arguing like the unvaxx is their property, This seems like the 1857 Dred Scott case. Let's hope S…"
30,RT @ClastonB: Evil was unleashed on the American Republic in 1828 that has now metastasized &amp; is so deadly the Republic’s fate is on the br…
31,"RT @MartinDaubney: Obama. Biden. Trudeau. Khan. Liberal politicians are today furious about ""bodily autonomy"" &amp;""fundamental rights""

Yet th…"
32,The end of Roe is the end of Federal population control. https://t.co/bDH6OmwBHd
33,RT @tegbridges: Louisiana Republicans praise Supreme Court's Roe v. Wade ruling at party gathering. Clay Higgins enlivened the event by arr…
34,"50 years later, with over 63 million dead babies and 7 trillion in lost economic earnings, the Federal Government no longer controls the killing of the unborn. Now that is in the hands of the states."
35,RT @CliveClarke18: @ClastonB what a great story huh???
36,"RT @MichaelRobison: This is my youngest daughter, she was the product of extreme violent rape. I helped her bio mom relocate for safety aft…"
37,"The Left loves power, not people. https://t.co/yUaHnDJKlh"
38,"RT @SKYRIDER4538: @JustinTrudeau You believe in choice but you force everyone above 12 years of age to vaccinate? 

I’m assuming some of th…"
39,@carrerapulse @SKYRIDER4538 @elonmusk @DonaldJTrumpJr @Senoj91602 @GuntherEagleman @dmburkeauthor @EricMMatheny @errtex @LisaMarieBoothe They are evil.
40,RT @MarioGoveia1: @deeredley @AnthonyHegler @CharriseJLane @PastorDScott @SonnieJohnson @CharlesLove85 @TiffClina @ImQuishaK @ShemekaMichel…
41,As Senators they are supposed to know that abortion is not a Federal issue. They are just looking to gin up support. For them to try and get a commitment on the UnConstitutional issue is showing that they are the ones being dishonest.  https://t.co/rZYDNporJo
42,"If you can't define woman, how do you define woman's rights?"
43,"“In the traumatic wake of Rev. Martin Luther King’s murder, Justice Thomas had quit the seminary where he was studying to be a priest, and been kicked out his home by his grandfather. He said he would not be where he is today without Fr. Brooks.” https://t.co/RrjVU4p5nt"
44,RT @ClastonB: Don't argue with people about abortion who can't define what is a woman.
45,@TomFitton The contradiction of justice Kennedy.
46,"“Substantive due process conflicts with that textual command and has harmed our country in many ways. Accordingly, we should eliminate it from our jurisprudence at the earliest opportunity.”-Justice Clarence Thomas https://t.co/FFNPBA5tQo"
47,"RT @MRSpinkston85: Now would be a good time for those entrepreneurs who want to open up child care centers, hospitals and charities to go a…"
48,RT @DineshDSouza: They are screaming about how RELIABLY this technology tracks people and how EASY it is to PRECISELY identify who goes in…
49,@JackPosobiec They read from the same script. Programmed receivers.
50,“Why do the heathens rage and imagine vain things?” Ps 2:1
51,"Folks need to calm down, Dobbs's opinion just takes the power away from the Federal Government and Congress. Don't get bamboozled by corrupt politicians looking to fundraise. Abortion is a state issue. The opinion does not stop the murder of babies in states where it is legal."
52,@ijbailey @DelanoSquires It is wise to seek understanding when it is lacking. You need to first understand what 2A and 14A mean for blacks. Stop making the argument of the Democrat Confederates.
53,You first must understand what you are reading. https://t.co/MwHjW0WcJd
54,RT @hodgetwins: Corporations supporting criminals.
55,Don't argue with people about abortion who can't define what is a woman.
56,RT @JackPosobiec: How it all began https://t.co/S2hhCCW1cw
57,"RT @acciard2022: Conservatives, you may now pump one fist in the air in celebration and get back to work. The war will be won in the states…"
58,God works in mysterious ways. Clarence Thomas becoming a Supreme Court justice may have saved more lives than had he become a Priest. Trust God's plan.
59,"RT @AdAltum: This man is the reason Roe v. Wade got overturned today. Not an Achilles, or Caesar, a working-class man who cared about his g…"
60,RT @DelanoSquires: White conservatives at the @blaze are happier about the prospect of more black babies being born than black liberals at…
61,RT @gcraige: Did you ever think you would see the day when pastors would support child sacrifice and hands that shed innocent blood? #apost…
62,Those wanting to reduce the world population are in a deep state of shock by our Supreme Court opinion on abortion.
63,@CDouglasLove3 @Sam59614876 He had to make up a profile to respond.
64,"RT @CDouglasLove3: @Sam59614876 @ClastonB @ClastonB, when they spout this lie, move on."
65,"RT @Big_D_8130: @Sam59614876 @ClastonB I bet you believe in unicorns and fairies too, don't you?"
66,RT @Big_D_8130: @Sam59614876 @ClastonB You really do believe in myths.
67,@Sam59614876 They believe during slavery that blacks were property and today they believe the unborn are property that can be disposed of. They hate the 2nd &amp; 14th Amendments because they recognize blacks' rights to use self-defense. Explain how their philosophy has changed?
68,"Are you defending baby murder by deflection? Democrats believed blacks were properties and fought a Civil War to justify their beliefs. Today Democrats believed that babies are the property of women to murder and are calling for violence, what has changed about the Party? I wait. https://t.co/j4wQqqaOW8"
69,"Abortion opinion tells you the Democrats have not changed since the Civil War, they are just as dangerous and ruthless."
70,RT @78cuiserFJ40: @ClastonB Democrats haven’t been this mad since Republicans voted to free the slaves… 😈😈
71,"RT @SKYRIDER4538: They all have the same. Worn out, depraved and hateful. Racism and hate oozes out of them even through their profile pict…"
72,RT @mtracey: The Mississippi law that the Supreme Court upheld today bans abortion after 15 weeks. France bans abortion after 12 weeks
73,@Reuters Loser
74,"RT @SKYRIDER4538: This 👇🏻 is #RoeVWade. This is what they are screaming for. 

This is why I don’t believe them when they make arguments ab…"
