Unnamed: 0,Text
0,"I stand with @JeffLandry. 
The Louisiana socialists and their hack-leftist media partners can stop pretending to support the #ThinBlueLine. 
We’re cops. You wouldn’t understand—safe there with your avocado toast, behind your keyboard and your Che Guevara shirt."
1,https://t.co/OGrpj2Jepc
2,Woke up this morning and @realDonaldTrump is still the President #KAG #MAGA
3,Absolutely a vile display of glee on the way to abuse power  #impeachmenthoax https://t.co/xbTNtzk1BX
4,“We don’t face this horror because the Democrats have all of a sudden become constitutionalists. We are not being devoured from within because of some surreal assertion of the socialists’ newfound love for the very flag that they trod upon.” https://t.co/H3amoHFRkg
5,"""I'm concerned that if we don't impeach this president, he will get re-elected"" &lt;----- that's what this sham #impeachment is all about, folks"
6,"...our republican shall survive this threat from within. American patriots shall prevail."""
7,"""They fear our faith, they fear our strength, they fear our unity, they fear our vote, and they fear our president. We will never surrender our nation to career establishment DC politicians and bureaucrats..."
8,"We have a choice, and Democrats are choosing to attempt to remove a political opponent from office because they don't like that he won. They are weaponizing #impeachment. American patriots will not forget this in 2020. https://t.co/OgN4tON7DM"
9,"""We don't face this horror because Democrats have all of a sudden become constitutionalists...we face this horror because Democrats fear the will of we the people."" #impeachment"
10,Looks like we #triggered the Left's queen. Patriots can donate here: https://t.co/ZNcGpmfucU #impeachment https://t.co/vjipOI0kay
11,"""America is being severely injured by this betrayal, by this unjust and weaponized #impeachment, brought upon us by the same socialists who threaten unborn life in the womb, the 1st amendment rights of conservatives, and the 2nd amendment protections of every American patriot..."""
12,"Conservative. Constitutionalist. Combat Veteran. I support @stewartcatheyjr for State Senate, District 33. #lalege"
13,RT @GregHilburn1: .@RepClayHiggins qualifies with Trump's backing; @SteveScalise @RepMikeJohnson @RepGarretGraves coming in person Friday #…
14,RT @RepClayHiggins: Happy Independence Day! May God continue to bless our great nation. https://t.co/ACjgGnbN86
15,@chadjustin98 Your life gained purpose by being brave enough to ask that question. Thousands of people are reading the answer every day.
16,"RT @JeffLandry: I join @realDonaldTrump in support of @CaptClayHiggins. I look forward to casting my ballot to keep Clay in #Congress, and…"
17,RT @MelindaDeslatte: Louisiana GOP endorses US Rep. Clay Higgins for re-election (from @AP) #lacongress #LA03  https://t.co/C3v0CMMfCu
18,"RT @LAGOP: The Executive Committee of the Republican Party of Louisiana, Friday, announced its official endorsement of @RepClayHiggins for…"
19,@LAGOP Thank you for your Endorsement!
20,RT @GregHilburn1: Trump tweets: 'We want Clay!' @RepClayHiggins @CaptClayHiggins #la03 #lalege #lagov https://t.co/0L7zIDkvZm via @thenewss…
21,#lalege Follow Captain Clay Higgins here. #MAGA
22,"Thank you, @POTUS @realDonaldTrump . You, Sir, are a Patriot of the highest order. God bless America. #MAGA https://t.co/IYuFsqUg5S"
