Unnamed: 0,Text
0,"We're in the process of appealing this ruling and are getting hit by fees left and right. The establishment #uniparty is putting as many roadblocks in our way as they can. Please donate to my @GiveSendGo to fund my legal battle against the corrupt #NJ #GOP
https://t.co/QWERhjZckE https://t.co/WlOj4hmSfQ"
1,@EdTheTruckerNJ @GovMurphy Thank you Ed for actually doing the things republicans say they will do and then never do.
2,@WhorzHeadlocks @njdotcom The GOP did nothing. They want to take your guns away too.
3,@njdotcom This DOES mean that New Jerseyans can carry guns. They're scrambling to see if there's a way to weasel out of the ruling. @GovMurphy isn't a king. He can't do anything about it.
4,RT @gunpolicy: Anti-gun twitter today https://t.co/a3xIR4pc4q
5,I was wrong. I was also gifted tickets to the #MindsFestival at Beacon Theatre on Saturday!
6,@BlueStarUnion https://t.co/WfRUbBPmsc
7,"Today is my birthday and between the #SCOTUS ruling on concealed carry and finding out that I share a birthday with the great Clarence Thomas, this day couldn't get better!"
8,"@GovMurphy Your opinions are deeply flawed. You already told us, during lockdowns, that you don't care about the constitution. Why are you so afraid of people having the ability to protect themselves?"
9,"""May Issue"" just went out the window. #SCOTUS said it violates the constitution. Now we just need them to acknowledge that ""Shall Issue"" is also unconstitutional."
10,Today is a good day for gun rights!
11,@NJGOP @GovMurphy @SenPresScutari @SpeakerCoughlin @vingopal And what's your bright idea to fix the issue? Sit on your hands and hope someone solves the problem for you?
12,"RT @NJflaggers: Billy Premphe is not it for NJ. Aside from flip flopping on issues and being pompous, he answers back rudely when being cor…"
13,"@thehill This just caps out-of-pockets costs, which means your insurance premiums will go up. You're not fixing the problem. It's a patent manipulation. We need generic insulin."
14,"@NJGOP @MikieSherrill @DeGrootCongress Vote for Joseph Biasco, the #Libertarian candidate in NJ-11. The NJ GOP is corrupt and doesn't care about you."
15,@DFrancisco7 Homeschool your kids!
16,@TellingFabel @NJMisesCaucus Lol #uniparty
17,RT @NJMisesCaucus: Democrat Tom Malinowski is now going after fellow Democrat Tom Kean. We urge you to support @ClaytonPajunas over either…
18,"@justinamash We will get nowhere by treading lightly. If we're not different enough, there is no reason voters would change support to us."
19,@thehill @PressSec lol this quote is literally nothing
20,".@Timcast wants me to win, and you should too"
21,"Check this out ⬇️
https://t.co/pmBPB5GM5i"
22,"@Shieldof_Faith @iansmithfitness If they side with democrats, they're democrats. True Libertarians will always side with liberty."
23,@angela4LNCChair @Timcast Awesome! So excited!
24,"There are 5 bills in NJ that will be voted on by the assembly on June 22nd that are all grave infringements on #2A rights. 1 of which will create a registry for ammunition purchases! Contact your assemblymen now and demand that they vote NO!
https://t.co/HByjmXnJSw"
25,Then why did you vote against S.4160 to protect #SCOTUS families? https://t.co/omjDAAeFs0
26,".@RepMalinowski was 1 of only 27 reps to vote AGAINST S.4160 giving the Supreme Court Police the authority to protect the families of #SCOTUS justices. I'd love to know his rationale for this vote...
#Clayton4Congress https://t.co/Ih1nzGwnvF"
27,"@disclosetv This is what happens when you give the government permission to lock you down for ""your own safety"""
28,@ConceptualJames Abolish public schools!
29,@EllisDon I will not eat the bugs
30,"Everyone needs to see this. Your ""fact checkers"" are fabricating sources. The corporate press lies to you. It's not just USA Today. https://t.co/IpbCed0LgN"
31,"Julian Assange is a national hero and deserves a pardon. Though a pardon shouldn't be necessary considering he didn't break any laws to begin with. He didn't leak anything, his organization published documents that were leaked to them.
#FreeAssange

https://t.co/eEClTo2oKC"
32,"RT @NewJerseyLP: .@ClaytonPajunas is an allstar and he's fighting back against the NJGOP establishment, specifically Tom Kean Jr., to get b…"
33,"I joined Andrew on his Long Live Alternative Parties podcast. We talked about covid, homelessness, and the status of my campaign and legal challenges with #BallotAccess https://t.co/ugU3dGlCsp"
34,@YALiberty @JohnCornyn @ThomTillis @RoyBlunt @senrobportman @SenatorBurr @MittRomney @SenBillCassidy @SenatorCollins @LindseyGrahamSC @SenToomey @LeaderMcConnell The Uniparty hates you. A #redwave won't stop the state from infringing on your rights.
35,@TellingFabel @Magner4Freedom @KeanForCongress The fight against the establishment never rests!
36,@TellingFabel @Magner4Freedom @KeanForCongress Thanks Frankie!
37,@Magner4Freedom @KeanForCongress Thank you Nick! Everything helps!
38,"The ""lawyer"" that represented Kean's interests also accused me of forging signatures without any evidence! The best he could come up with was ""It just doesn't pass the sniff test."""
39,"People I know personally, who signed my petition in front of me, had their names struck. This is just another example of the establishment disenfranchising voters."
40,"The judge decided to strike signatures  because the signature on the petition was ""dissimilar"" to the signature on the Statewide Voter Registration System, which was his opinion as someone NOT trained to analyze handwriting, as he publicly acknowledged."
41,"🧵My petition for candidacy was challenged yesterday by @KeanForCongress. A judge struck legitimate signatures, bringing me below the threshold for #ballotaccess. We're appealing, but it comes at a cost. Please donate to help us fight this unjust ruling.
https://t.co/OvpmmDV0se"
