Unnamed: 0,Text
0,"@Frank__Mule @RepNewhouse @WAGOP @WAGOPVictory @StevensCoWAGOP @LogCabinWA Yes, yes he was. And now his district feels betrayed."
1,"No Joe, it has given the choice to the people. It has become abundantly clear that the constitution only gets in the way of the left. https://t.co/EFkzr1Lhek"
2,Something bad is brewing. Dems have driven our economy off a cliff. https://t.co/tzyrEZjtDH
3,"@newsmax If they can be, they will be."
4,"RT @newsmax: Most Republicans and independent voters think that ""red flag"" gun control laws have the potential to be abused by local author…"
5,RT @OANN: Kari Lake leads poll for Ariz. Governor https://t.co/Ao3eWkEX8m #OANN
6,@grandma_usa @kelliwardaz Thank you so much for sharing! I would be very interested to know where we don’t align on policy. We need to get back to being able to agreeing to disagree as a nation. I appreciate Doug for this.
7,@elonmusk @Cernovich This propaganda is destroying our country!
8,"RT @FoxNews: BREAKING: Supreme Court again extends wait for decision in case that could overturn Roe v. Wade

https://t.co/RmHtYXcJqG"
9,"Sign blitz coming! Thank God for the hard working patriots in my communities who have stepped up to help me. I’m honored and humbled. 🇺🇸 …also, my voters aren’t really on twitter so forgive the lack of posts 😬 https://t.co/zVq1TOxF45"
10,@elonmusk Buy it!
11,@newsmax It’s a good vs evil battle and this creep as at the forefront.
12,Spent a night with the Sunnyside PD tonight. They made a huge effort to ensure that the high school graduation was safe. 🇺🇸 👮‍♀️ https://t.co/FVzhCEdtYv
13,RT @elonmusk: Literally … https://t.co/DWKI71Wk9Z
14,@PeopleAtLawPod @America1stPact @kelliwardaz You rock @McClureSC30 and &amp; @PeopleAtLawPod 🙌🏼🇺🇸! @America1stPact will be a game changer.
15,"RT @PeopleAtLawPod: #TamaraLeighsTrendOn with
Guest Dwayne McClure of @America1stPACT helping #MAGA candidates like @CoreyGibson WIN in #el…"
16,"@elonmusk Don’t worry about “billionaire”, you need to start planning for trillionair! 🙌🏼"
17,"@robreiner If that’s true, then the blood of every fentanyl death resulting from our open border is on the Democratic Party’s hands."
18,RT @elonmusk: @Cernovich What a dick move!
19,@elonmusk @Cernovich He’s the WORST!!!
20,@elonmusk I’m sure the COVID shots won’t help. Miscarriages are up 300%
21,RT @America1stPact: @DNC 3 weeks ago: GrOomInG in ScHoOlS IsN't rEaL. Reality begs to differ. A school counselor that organized a drag show…
22,RT @brawil86: I am excited to announce the wholehearted and strong endorsement of General Michael Flynn for my campaign for Congress! Gener…
23,"RT @Noah4NV: I love Tucker but the constant exasperation directed at Biden's ""failures"" is becoming tedious and misses the real story:

The…"
24,@elonmusk Badge of honor @elonmusk … When the left a taxi what means you’re doing something right. Probably something patriotic.
25,@elonmusk Liberalism is a scam!
26,"RT @elonmusk: Exxon is rated top ten best in world for environment, social &amp; governance (ESG) by S&amp;P 500, while Tesla didn’t make the list!…"
