Unnamed: 0,Text
0,RT @nocontxt99: https://t.co/HybLYDi0fU
1,Found this snake skin in one of our trees this morning. Looks about 3-4ft? Hard to tell from down here. #Texas https://t.co/d9zlDifWpo
2,RT @pawsshelter: Heartworm disease is a serious and potentially fatal disease in pets. It is caused by foot-long worms that live in the hea…
3,RT @dylanobrien: happy april 25th it’s not too hot and it’s not too cold all you need is a light jacket
4,My new normal as I approach 30… https://t.co/EghF52zdgt
5,RT @chelseahandler: Happy 420. Nobody should be incarcerated for marijuana.
6,@jennaaareid Duhhhh 😃
7,"HEY. 

I hope you’re having a great day. :)"
8,RT @spidermannwh: it’s march 31st so happy april ludgate accidentally scheduling 94 meetings for ron swanson day to all who celebrate
9,"HEY. 

I love you. 🏳️‍⚧️"
10,@taradublinrocks https://t.co/VvFi5RFM33
11,Trick question. Alex Jones doesn’t think. https://t.co/GbgD1u3H8h
12,"Oh, hello. https://t.co/pwMLHEJdyv"
13,@jennaaareid HAVE been for years. He’s my husband. #manifestyourreality
14,You’ll always be a winner in my heart. 🥹 #Oscars https://t.co/UjiesNWxN2
15,The costumes in Cruella are unmatched. UNMATCHED. #Oscars https://t.co/Nij3kuXAH7
16,"Also, I love her. 🥹 https://t.co/FwFnynyB5m"
17,"Troy Kotsur’s win is so powerful. A lot of an actor’s training focuses on how we use the voice, but this win shows that acting is so much more. #Oscars"
18,"Damn, I guess I gotta watch Dune. #Oscars"
19,"Wesley Snipes looks great tonight, but nothing will top this look. #Oscars https://t.co/0x2nlBNOmr"
20,"“There is, indeed, a place for us.” YES THERE IS. 🥹"
21,"There was a time when movie musicals wouldn’t be serious contenders at the #Oscars, I’m happy to see that’s changed. Huge congrats to @ArianaDeBose. 💃🏽"
22,"I’m late on this, but HELLO ZENDAYA. #Oscars https://t.co/2CZ1HMtDbh"
23,"I will be live-tweeting the #Oscars for my own enjoyment. If that’s not your jam, consider this your warning — unfollow now."
24,It’s #NationalPuppyDay 🥹 https://t.co/ZB5nFl0KTN
25,"The face you make when racist white dudes mansplain the Constitution to you, a highly qualified badass with decades of experience. https://t.co/l4iFWJDYIT"
26,Jolene is a rock song. Change my mind. https://t.co/LSjo0KhoNG
27,Can y’all believe these Hill Country views? Wow😍 https://t.co/Hf9vY6ommn
28,Concept: Barbra Streisand biopic starring Jennifer Lawrence.
29,"“I mighta been born just plain white trash, but Fancy was my name!”

AND YET. She’s been excluded from this list. I—🥲 #WhatAboutFancy https://t.co/1pc6elf3Hi"
30,@0liviajulianna This tweet is badass AND funny. 10/10
31,The new season of Sex Education is pure magic. Are any of y’all watching? 👀
32,"@txchristabelle @JaworskiForTX @CollierForTexas @RepColinAllred @JudgeClayJ @NathanForTexas @MrCodyGrace @derrikgay @Rogers4Texas @RVillarrealTX21 @JonesHospodTX What a good lookin’ group, I’m honored to be listed among them. 🤠"
33,@AdamParkhomenko Billie says hello. 🥰 https://t.co/7kmPH9Y1tJ
34,I really appreciate all the replies telling me it’s a sign of love. 🥰 I think you’re right. https://t.co/IiCVGdks0y
35,@MichaelLKaufman Hopefully not! I just went to the dentist 😫
36,@OssimpPatrol And I love her 🥺 Look at her baby photo. https://t.co/sgUCxlPc5I
37,@CanastaNova I knew she loved me. 😭
38,Can anyone tell me why she does this? 👀🧐😳 https://t.co/KAQU8SKrnv
39,"Pup-date: Billie won’t let me work. 

If you can’t beat ‘em… 🤷🏻‍♂️ https://t.co/eJy3b3clct"
40,A National Treasure 😭💕 https://t.co/mgDUkQDMAN
41,@belikeaduck @pawsshelter @sahumane She certainly is gorgeous! 😍
42,@seegrayw @pawsshelter Look at that sweet face! I love Trip!!
43,@drwineau @pawsshelter Those sweet pups know how to cuddle!
44,"@sherry_mercer @pawsshelter What a good boy, and so generous!!"
