Unnamed: 0,Text
0,Only slaves support Masters.
1,"@janesmith2207 @elonmusk @PPathole Shows you how far the incompetent, entitled, over-privileged handout lottery winner ""moderates"" have fallen. In spite of being completely, utterly meritless, they've failed upwards at the expense of every ""extreme"" intellectual - wherein an extremist is just a non-idiot."
2,"All but mariners
Plunged in the foaming brine and quit the vessel,
Then all afire with me. The King’s son, Ferdinand,
With hair up-staring—then like reeds, not hair—
Was the first man that leaped; cried 

“Hell is empty,
And all the devils are here.” https://t.co/n6WomWhQae"
3,"RT @DebraWBryant: If voting really worked, it would be outlawed."
4,"RT @BrittainAZ: @elonmusk @PPathole If you want to find the talent, find the absolutely most bitter, angriest people. That's where the tale…"
5,"@elonmusk @PPathole If you want to find the talent, find the absolutely most bitter, angriest people. That's where the talent is. That's where the incentive is. If you see someone that looks happy, content and overjoyed to be alive - that person is a lottery winner, not a leader."
6,"There's no democracy in America, centrism is just more of the same thing for people who deserve much better, our elections have never been free nor fair, or we would have completely different public officials, and revolution is the only thing that has worked in US history."
7,"RT @BrittainAZ: @elonmusk @PPathole You want to improve elections, add mandatory dueling and boxing matches to the process. After all, you'…"
8,"@elonmusk @PPathole You want to improve elections, add mandatory dueling and boxing matches to the process. After all, you're talking about control of America - combat should be part of the equation, and you'd get much better candidates - and races - as a result. I could defeat Yang with one hand"
9,"RT @BrittainAZ: @elonmusk @PPathole Rick Caruso is a spoiled brat who has never had any actual merit. Everything he has was gifted to him,…"
10,"@elonmusk @PPathole Rick Caruso is a spoiled brat who has never had any actual merit. Everything he has was gifted to him, and the only thing worse than him is Karen Bass, an actual fucking criminal."
11,"RT @BrittainAZ: @elonmusk @PPathole Centrism solely produces incompetent, incapable candidates with no real views who are simply good at pr…"
12,"@elonmusk @PPathole Centrism solely produces incompetent, incapable candidates with no real views who are simply good at pretending when the cameras are on. Anyone with any actual political talent has enough positions on the issues to have a clear definition outside of the center."
13,"Happy Pride Month! 

Saudi Arabia owns over half of Twitter, what are they doing to celebrate LGBTQ+ equality? Anyone know?"
14,RT @BrittainAZ: Biden Did Uvalde
15,Biden Did Uvalde
16,"Only criminals support the Federal Reserve, which is a syndicate of thieves who should all be imprisoned for life or worse."
17,"The average Biden ""voter"" isn't a person. They're an IRL bot, a synth, they're not a human being. Likewise for all Democrats - they're not actually people. They're merely pretending to be human. The sooner they're no longer part of our nation, the better."
18,"You'll notice the shadowbanning and hiding of Republican tweets is way up today, along with the number of pro-Biden tweets from fake bot accounts. That's because the bots are run from within Twitter HQ, and they just re-assigned employees to increase inauthentic activity."
19,"Twitter has transferred all of their staff to the censorship/coverup division so they can hide the fact that most of the bots (fake accounts) are actually run from within the company. Elon Musk, ask what they're REALLY hiding from you! https://t.co/09s0QAI4KL"
20,"@elonmusk @spideycyp_155 @AndrewYang Centrism is a terrible idea that only upholds the status quo at the expense of the most talented people who have been cheated by it. Revolution, not elections, is the answer. The US Federal Government will be abolished in 2023. Then we'll create a new, merit-based nation."
21,"@elonmusk @lexfridman Each universe itself is not infinitely old but rather is the extension of another universe, and so the more accurate term would be ""heat birth"" - and the question is how many universes this one has already created."
22,"@elonmusk @lexfridman ""Heat death"" makes no sense to that end because the benevolent overseer or malicious dictator would never allow their subordinates to perish. 

They'd be out of a job. So at some point, as with all patterns (as measured by the Milankovitch Cycle), the heat will start over from 0."
23,"@elonmusk @lexfridman If you have all the money in the world and all of the earthly treasures, or none of them, you're still ""imprisoned"" compared to what the higher power which controls this universe has. Is the higher power benevolent, and protecting you - or is it enslaving you?"
24,"@elonmusk @lexfridman In order to rationalize the impossible - knowing/not knowing what a higher power knows, as a human - we give ourselves tasks which have essentially the same non-value as means of passing time (or gambling Pascal's Wager) in an extremely fancy, sophisticated, luxurious prison."
25,"@elonmusk @lexfridman There's nothing to attain or lose, because you/we already have. But there's always an amount to give, because we were all put here by a higher consciousness to pay off some sort of debt which is outside the bounds of the cognizant and tangible. We don't know what the debt is."
26,"@elonmusk @lexfridman You can say it's about the ""journey"" but the journey is just one element of purpose. Given that each quantum version of yourself will make every possible choice in every possible universe, it's not about modality. It's not about travel. It's about contribution."
27,"@elonmusk @lexfridman Time is infinite, ""heat death"" is another arrogant human fantasy, quantum immortality is reality. Even if this universe stopped - which it wouldn't, because we're in the best version of it - another universe would still exist. 

Everyone and everything is immortal, forever."
28,"RT @BrittainAZ: ""Does anybody want me to run again?""
- Donald J. Trump https://t.co/G5Pky3Tr66"
29,"When you compare equal population density in red states vs. blue states (or more specifically red cities vs. blue cities) you will notice the red cities outperform in Purchasing Power Parity by as much as 20%

Which still isn't good compared to what it SHOULD be https://t.co/eSQTw45NEF"
30,"Purchasing Power Parity isn't effectively measured by state borders because it's an aggregate based on population density, i.e. you can't measure the prosperity of an unpopulated region and expect to rationally compare that to a populated region. https://t.co/eSQTw45NEF"
31,"No, I'll realize that the ""blue state"" measurement system is dumb and both blue and red states are poor compared to how rich they'd be if I were in charge https://t.co/MMNCLoulWj"
32,"""Does anybody want me to run again?""
- Donald J. Trump https://t.co/G5Pky3Tr66"
33,RT @davidmweissman: Let's prove how phony the right’s ridiculous polls are by doing one of our own. Who do you trust more @elonmusk @AOC
34,"You'll get to sell more books, you'll get more time on TV, you'll get to buy a fancy house, maybe even be in a movie. 

But you're not actively seeking to change anything. Just like you used Parkland to get rich by pretending to be a victim, this is a repeat of that - for more $. https://t.co/DJG5MKrYMa"
35,"The sooner we have 2 nations - New America for Republicans and Bidenland for Democrats - instead of the failed ""USA"" and its incapable Federal Government - the better for everyone. I'm tired, as an A-student, of being stolen from by lazy F-students. The USA lied to us."
36,"No need for war, both sides agree we should separate and become 2 nations, as do people who aren't on either side. We're not at war with Canada or Mexico, and they're right on our borders. We have 50 states, 5 territories, hundreds of major cities, and 3,006 counties. https://t.co/zOB39sZNsp"
37,RT @elonmusk: Who do you trust less? Real question.
38,"RT @BrittainAZ: The actual name of Monkeypox is HARAMBE-22.
We have 3 days left to stop the spread - make Harambe's Birthday, May 27th, a N…"
39,"RT @BrittainAZ: Imagine how beautiful it would have been if Greg Abbott and his security team had used self-defense against Beto O'Rourke,…"
40,"RT @BrittainAZ: Don't #DefundThePolice, completely abolish police and government. And then within the following two weeks, we can permanent…"
41,"RT @BrittainAZ: In the Second American Revolution, we'll become two different nations. That's how this gets resolved.

NEW AMERICA for Repu…"
42,"Don't #DefundThePolice, completely abolish police and government. And then within the following two weeks, we can permanently resolve the crime problems within America - via vigilance and street justice. Which is what will happen in the Second American Revolution."
