Unnamed: 0,Text
0,Just posted a photo https://t.co/rpmVmgfbuY
1,Just posted a photo https://t.co/td6sPb9jdH
2,Just posted a photo https://t.co/dXzBWZ0eJb
3,He Is Risen! https://t.co/Rh9uCmDiOa
4,Good Friday. Thank you Jesus. https://t.co/Y9mOBnOMmC
5,Just posted a photo https://t.co/wIDaB4eLu2
6,Being content is the destroyer of Ambition!
7,"RT @CasinoSmokefree: The good news is that in places like NJ, legislators in both parties are not immune to facts and common sense — we’re…"
8,RT @MattFriedmanNJ: Here’s the new state legislative district map https://t.co/BNyZXe6YLr
9,RT @NJDSC: Congratulations to Gordon Johnson on his ascension to State Senate from the Assembly! Senator Johnson served as Assembly Pro Tem…
10,"Romans 8:24-25 24 For we were saved in this hope, but hope that is seen is not hope; for why does one still hope for what he sees? 25 But if we hope for what we do not see, we eagerly wait for it with perseverance

What are you believing God for in 2022?"
11,Just posted a photo https://t.co/766UxMvvnB
12,https://t.co/EMwp7acNGC
13,Just posted a photo https://t.co/ROcMrfjk7A
14,https://t.co/Pm5K6iCXmJ
15,It just got real. Everything is about to change.
16,What happens when you welcome change?
17,I'm humbled and honored to have served. https://t.co/hFuKZ9x0Fc
18,I earned a badge for my donation on @actblue! Log in to your ActBlue Express account to earn your own badges when you support campaigns and organizations. https://t.co/QJcVL8oWnH
19,It's official. https://t.co/YrYf9RXade
20,"RT @njdotcom: High above Somerville and Raritan this morning, you can see the devastating flooding in the Route 206 corridor in Central Jer…"
21,"If not me, then who?
If not now, then when?"
22,"RT @NJDSC: The #ForThePeopleAct would require that all states:
✅ Have same day voter registration
✅ Allow two weeks of early voting
✅ Let a…"
23,RT @PERsisterER: @NJDSC https://t.co/MD5KRf4GNR
24,"RT @NJDSC: With our democracy under attack, it has never been more important to protect the right to vote for all. Congress must pass the #…"
25,RT @NJDSC: The John Lewis Voting Rights Act would restore key sections of the Voting Rights Act and enable the Justice Department to stop n…
26,RT @NJDSC: Spoiler: NOT Jeff Van Drew or Chris Smith! 😡🤬😖😠
27,"RT @NJDSC: Reminder: Jeff Van Drew voted against the #AmericanRescuePlan, which included billions of dollars to help get New Jerseyans back…"
28,RT @NJ_Politics: Make the casino smoking ban permanent | Editorial https://t.co/vQJR5RFr8H https://t.co/ZAQTg5ahZa
29,"Stand up South Jersey, Your Voice Matters!"
30,I'm running... https://t.co/7iv2K1h8n2
31,Happy and Blessed Father's day to all the Father's https://t.co/Ky2GB5ySYN
32,Finally... https://t.co/REgtPoBJ0b
33,"RT @NJDSC: Today as we celebrate Juneteenth, we recognize the importance of understanding how the past impacts our present and the long str…"
34,RT @NJDSC: Today is Juneteenth -- the anniversary of the day in 1865 that news of the Emancipation Proclamation reached enslaved people in…
35,https://t.co/LsNbUoKqKV
36,"RT @NJDSC: While Republicans are focused on obstructing progress, we’re focused on making sure we come out of this pandemic stronger than e…"
37,"RT @AChaparro33: Polls are open for in-person voting, from 6am-8pm.🇺🇸♥️ https://t.co/Oz7Os7VsFi"
38,RT @NJDSC: On Memorial Day we remember and celebrate those who made the ultimate sacrifice in the service of their country. We’ll keep figh…
39,"RT @NJDSC: It’s time for the people of South Jersey to have a representative that represents them, not Mitch McConnell’s personal agenda."
40,"But you, take courage! Do not let your hands be weak, for your work shall be rewarded.  2 Chronicles 15:7."
41,"Of all the civil rights for which the world has struggled and fought for the right to learn is the most fundamental. The freedom to learn has been bought by bitter sacrifice. We must fight to the last ditch to keep open the right to learn. 
W.E.B. DuBois"
42,"Romans 13:1
Let everyone be subject to the governing authorities, for there is no authority except that which God has established. The authorities that exist have been established by God."
43,Do you ever feel like you're not doing enough? My social consciousness is shifting.
44,"A great multitude, which no man could number, of all nations, and kindreds, and people, and tongues, stood before the throne, and before the Lamb,
Revelation 7:9-NKJV

https://t.co/02FIORB5yp"
45,Tell Congress: STOP future Muslim bans. Pass the NO BAN Act! https://t.co/udEsReC8OG
46,I took action with New Jersey Democratic State Committee. Will you join me? Use this link to sign up:  https://t.co/H8xP0007na
47,Task complete... One step closer.
48,Texas Winter Storm Relief Fund https://t.co/FjUXF2lZGD
49,https://t.co/rvDCxToXnN
50,RT @BenjieWimberly: https://t.co/lN34gI9jtN
51,The struggle is REAL!
52,Never let go of a dream until you're ready to wake up and make it happen!
53,Had a great word from God this morning. https://t.co/6m7BAoJzZQ
54,"""The water does not flow until the faucet is turned on."""
55,The new ride is a true Blessing. https://t.co/PgNuAXRa1a
56,https://t.co/Du9TBkY9GV
57,Is God trying to teach me patience?
58,https://t.co/QvChLaSP81
59,"God can't start a new thing in you, if you don't think He is willing."
60,"If you keep waiting for the ravens to feed you, you will go hungry."
61,Coming Soon! https://t.co/hRglQ0NGTM
62,Life doesn't always make sense... but we serve a God who understands.
63,Join me every Tuesday at 1:00pm https://t.co/FosoPtagZv
64,"RT @Princeton: Nicholas Johnson, an operations research and financial engineering concentrator from Montreal, has been named valedictorian…"
65,He is Risen! https://t.co/QBXwBYpsKF
66,RT @RevCurtisGreen: A winner is just a loser who tried one more time... Everything can change in ONE moment!
67,In the Flow of the Holy Spirit!
68,"When you stop chasing the wrong things,
 you give the right things a chance to catch you."
69,"Faith doesn’t make it Easy!
Faith makes it Possible!"
70,"Mark 9:23 Jesus said to him, “If you can believe, all things are possible to him who believes.”"
71,https://t.co/CLaOpQsxP8
72,"Sometimes you have 
to go through... 
to get to."
73,The Power of UNITY! https://t.co/OqTR5bm252
74,https://t.co/GNmw2b2FqG
75,God is Good All the Time
76,https://t.co/vVqpMZcn1f
77,Opportunity in your Opposition! https://t.co/O1RxtM7Fck
78,The Battle is not Yours https://t.co/9XzS1qJjH3
79,The Power of Prayer &amp; Fasting https://t.co/rr0u0Khl4p
80,https://t.co/eJzOYoya8W
81,Reaching People for Christ https://t.co/fe8ICaLTns
82,Installation of Pastor Green https://t.co/MgEsbqodLG
83,https://t.co/chM1hPtDp5
84,https://t.co/gTRRNGR1BA
85,https://t.co/aAsHC2w34n
86,https://t.co/BHnxN1qiEW
87,"RT @OfficialOPPF: We are here in Shanghai, People’s Republic of China on a very important occasion in the lives of the Brothers of Omega Ps…"
88,https://t.co/6dFlZrBMuS
89,https://t.co/vUhd3yrYR0
90,https://t.co/RXQ7JJou6f
91,"1 Corinthians 15:58 (GNTD)
So then, my dear friends, stand firm and steady. Keep busy always in your work for the Lord, since you know that nothing you do in the Lord's service is ever useless."
92,God is moving... and he works in 3's
93,https://t.co/6CIOGxkFP4
94,"John 10:27 NKJV
My sheep hear My voice, and I know them, and they follow Me.

""Do you know the voice of Jesus?"" https://t.co/k1DVao3bVs"
95,https://t.co/KXrtvBL7Tq
96,I posted a new video to Facebook https://t.co/a9aIUluKSy
97,https://t.co/3Ks39H5p3X
98,https://t.co/Or9UEXIwK7
99,"If you wait for all the lights to turn GREEN, you will never leave your driveway."
