Unnamed: 0,Text
0,"American energy producing states and workers are ready to rise to the moment, if only this administration will allow producers to produce. 🇺🇸 https://t.co/YK9FPUSG1G"
1,"RT @DocumentingBTC: U.S. House Committee on Financial Services,

""Most importantly, digital assets, and their related mining activities, ar…"
2,"RT @SenLummis: I will always work to uphold and defend the Second Amendment, which is why I voted against the Cornyn-Murphy Safer Communiti…"
3,"Point of clarification: if you do not self-identify as a pleb, don’t be deterred. Comments are open to all, plebs, non-plebs, no-coiners and neophytes. We want to hear from everybody who has a constructive comment to share. But pls pls, pretty please keep it civil and germane."
4,"Ahem, as I was saying. https://t.co/cycqQ1294i https://t.co/bBni0jjg2H"
5,Great thread. https://t.co/IXtOHNw9mr
6,"Plebs! As promised, you can now contribute comments on my bill establishing a framework for digital assets with @SenGillibrand via GitHub. Civil comments and criticisms welcome. Please share widely. We want to get this right. Help us iterate publicly on policy. https://t.co/1eOb6jfKaA"
7,There are SO many good folks working on these issues in the House. Bicameral leadership is essential to moving the needle. I thank my colleagues in the House who’s are leading on these issues. https://t.co/V6BmdsHrIj
8,Incredible. Makes clear that inflation indicators were there long before Russia invaded Ukraine. https://t.co/J0tZakHi55
9,"RT @CoinDesk: The @CynthiaMLummis and @SenGillibrand bill, if passed, will boost U.S. #bitcoin mining companies, @voltequity's @nshsieh say…"
10,Just telling the truth. https://t.co/vMfYm2PgIe
11,RT @RegulatoryJason: This was a great conversation and really enjoyed the discussion as the regulations for #Bitcoin are forged into law in…
12,"RT @Clay_Finck: It's funny that even suggesting that money printing has caused inflation is almost a contrarian viewpoint.

This should be…"
13,RT @SatoshiActFund: Satoshi Action Fund in ACTION and we're just getting started: We worked to get additional Congressional signatories to…
14,Debasing our currency is the ultimate regressive tax. Inflation is real. Government is the culprit.
15,…by draining their pockets at the grocery store and the gas pump. https://t.co/9I1msUjAPw
16,"The flooding in Yellowstone, as with the initial 1988 fires, are largely the result of a natural weather event, (in this case rain). The US Park Service and USFS (in surrounding forest) are managing for the safety of all. It’s a false choice btwn sustainability of YNP &amp; $5+ gas."
17,"Nuclear, oil, nat. gas, coal, wind, solar, hydro, geothermal, etc. ‘The plan’ for the future should include ALL and energy innovation to further clean production. We can do it all in a mix that addresses sustainability, affordability and reliability. (3/4)"
18,"Our current reliance on foreign energy makes our energy consumption dependent on other nations (at a sizable national security, economic and environmental cost). (2/4)"
19,The US produces energy more cleanly and environmentally responsibly than anywhere else in the world. Eliminating US energy independence puts Americans of all political stripes in a financial hole (it’s about as regressive of a policy posture as I can think of). AND… (1/4) https://t.co/x79AgIhE6P
20,Ahem. ⤵️ https://t.co/BNCcZrquaL
21,"RT @TheChrisTharp: @BitcoinMagazine @KremlinRussia_E After China’s crackdown on #bitcoin mining, Chinese miners didn’t relocate in Russia..…"
22,"America, for all its problems, remains the greatest country in the world BECAUSE of our US Constitution… IF we can keep it. https://t.co/hSOoaj9XUD https://t.co/55rvzrxC9J"
23,"I know from my time serving with Matt, he is a leader of his word. Somebody who actually gets the job done. With a porous southern border and no help from the Biden admin, strong border state governors are CRITICAL to US border security. @MattSalmonAZ is the man for the job! https://t.co/TyMOc3K6Ip"
24,The promise of punishing inflation seems to be the central promise this administration has made good on. https://t.co/7N9GQJTPWm
25,What a dubious honor for this administration. Three years ago we were energy independent. Now ESG rules and affordability is subservient to woke climate justice bologna. https://t.co/sEkRuzFQXB
26,"Appreciate the kind words, Dennis. Great to see you. Your work, particularly educating policy makers around mining, is a huge positive. https://t.co/OJc0czCnsw"
27,https://t.co/Mz7rj4E7R6 https://t.co/91C80NQbMk
28,"Great to be with you, Josh! https://t.co/hfy6rbcIZx"
29,RT @SenGillibrand: I'll be live soon at #Consensus2022 with @CynthiaMLummis and @CoinDesk to talk about our landmark new bill to establish…
30,Appreciate you taking a look. Look forward to your feedback. https://t.co/SkMrZK9ELB
31,"🚨🚨🚨 the myriad money printing failures that lead to this record inflation cannot be remedied over night BUT reopening the door ASAP to domestic energy production (and supporting new ways to monetize intermittent power, like bitcoin mining) can make a dent in short order. https://t.co/VH0rC4wbto"
32,"RT @ValantThor: When we increase money supply at higher rate than wages, it is theft. It is in plain site regardless how one wishes to “man…"
33,Money supply matters. A painful economics lesson exacted by Govt on people who can least afford to bear the added cost. https://t.co/3A4BGQIDoJ
34,"Today in Cheyenne, Wyo. 86 bucks to fill up the tank for regular unleaded. The Biden administration at work. https://t.co/KoStd51kTn"
