Unnamed: 0,Text
0,@SenJohnMannion what about you? https://t.co/D0hpnEWlLY
1,Thanks for posting @StirpeAl. Glad you're with us in this fight. https://t.co/l0g0Dwz16S
2,"RT @gemmajschneider: Not an easy topic and took a while to publish, but here’s my response to the Crimson Editorial Board’s #BDS endorsemen…"
3,@BJacksonWrites @conniebritton Co-signed
4,I'll say it again https://t.co/YqWHbqmn3K
5,@judysyracuse Thank you
6,Hey @AlStirpe2022 where's your statement in support of abortion rights?
7,Hey @Mannionfor50 where's your statement in support of abortion rights?
8,RT @SteinArlene: Note to journalists: the problem isn’t US “polarization” but a radicalized minority which is usurping power.
9,"RT @teddipasketty: My rant: I’m a 52 year-old white guy who would, on paper, have no beef with what happened today or happened on January 6…"
10,@justdanalee @StanFritz Thanks for sharing
11,Want to join me for this MoveOn event? https://t.co/mWbpNqPuX9
12,@TheObamaphile Not great
13,"@natwalt9 Thank you, Natalie. We did and I do."
14,@DiaCarabajal Thank you
15,RT @OlenaHalushka: Warning: a very cute frontlines content was spotted on the @UkraineNowMedia. Three puppies shield and protect a cat with…
16,"RT @ConnieSchultz: Every time a man tells me to shut up and go be a grandmother, my mind conjures this happy memory. Again, be careful what…"
17,@cgostin Thank you
18,@RogerMissoCNY Thank you. I was lucky to have him.
19,@TheObamaphile Thank you
20,@inngamli Thank you
21,@annelpagano Thank you
22,@Sarah_B_Hall Thank you
23,@ranjitdighe Thank you
24,@DrMaryAnnMillar Thank you
25,@MoBreezy213 A lot
26,@dnapjayhawk Thank you
27,@JMeluni Yes they are and the grief of losing them is unique.
28,"My heart is broken today. I said goodbye to one of the most loving and gentle souls I've ever known. Luke was one-of-a-kind.

#DogsofTwitter https://t.co/ZS63thd8Qh"
29,"#SCOTUSTheocrats 
#NotGoingBack
#RoeVsWade 
#RightWingExtremism https://t.co/rycEqQMlQD"
30,"We need a nationwide work stoppage. 

Can we get a couple billionaires to step up and pay monthly bills for people who don't have the financial security to stay home from work?

#SCOTUS
#SayNoToRightWingExtremism
#DemandMyRights"
31,RT @Laughs_4_All: Yeah...just scared off a squirrel...come at me bro. 😂😁🐶 https://t.co/FT003TLzui
32,"RT @cmclymer: At the risk of sounding like a radical trans woman, I think all children should be fed and the food they are fed should be fr…"
33,#GoodCause anyone? https://t.co/pIlgcDjeVp
34,@marceelias @ABC Long past time for them to let him go.
35,"I have long wondered about this. @RepJohnKatko made his name with RICO cases. Why has he so willfully ignored that Trump is an organized crime boss? This was true long before Trump took office. It was true when Katko supported him &amp; when he endorsed him. 

#RhetoricalQuestions https://t.co/HVJmwXsHkd"
36,RT @paulwaldman1: 1. The whole Texas GOP platform is insane but the piece that jumped out to me was the endorsement of a state-level electo…
37,@CaseySeiler @HeySethReadThis @RobAstorino @sarbetter .@sarbetter is 🔥
