Unnamed: 0,Text
0,"Thank you for all your support, friendship, and contributions of time and treasure. https://t.co/cM8ke0vBCV"
1,"IT'S ELECTION DAY!
PLEASE MAKE SURE YOUR BALLOT IS DROPPED AT AN OFFICIAL ELECTION DROPBOX BEFORE 8PM.
ENCOURAGE YOUR FRIENDS, NEIGHBORS AND FAMILY MEMBERS TO GET THEIR BALLOTS IN AS WELL.

https://t.co/aaeguQS27K

#harbickforussenate2022 #anewpathfororegon #electionday https://t.co/9fMmGENAfU"
2,ONE MORE DAY TO VOTE! https://t.co/411btBwNsC
3,"Join us tonight at https://t.co/ExwL1dsneQ - 8pm as we have a live interview with David Medina OFA Media!

https://t.co/u8mi5Zzb4S
#harbickforussenate #harbickforussenate2022 #anewpathfororegon #liveinterview #teamharbick #oregon2022 #live #livestreaming https://t.co/uWEk4JHJfE"
4,"Darin Harbick “The Real Deal”
Vote Darin Harbick this May 17th and help us end the Biden/Wyden agenda! 

https://t.co/aaeguQS27K

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa https://t.co/8EP1lMrsFq"
5,"https://t.co/aaeguQS27K

Oregon Right to Life endorses - Darin Harbick for US Senate. 

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa https://t.co/w9z2OBMYKF"
6,"https://t.co/aaeguQS27K

Pastor TOM CRABB from Cowboy Church of Oregon endorses - Darin Harbick for US Senate.

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa https://t.co/YpNFZgUjXZ"
7,@KSOKUNCENSORED @MarcforOregon @joekent16jan19 @angelafororegon @benedtl Thank you @KSOKUNCENSORED we are honored!
8,"RT @KSOKUNCENSORED: You asked, I answered! My preferred candidates for Oregon and SW Washington. ❤️🇺🇸❤️ #nosharpie https://t.co/ovAdfzaPfV"
9,"https://t.co/aaeguQS27K

Thank you for all your support!
Keep the momentum going!

#teamharbick #harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa https://t.co/kCcave8Vpq"
10,"https://t.co/aaeguQS27K

Thank you David Medina for your endorsement!

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa  https://t.co/6ozhw1oJT7"
11,"https://t.co/aaeguQS27K

Join us this May 12th - May 16th! 
Sign Waving for Darin Harbick for Oregon! 

For questions or information contact John Crowder:
541-953-4033 - john@harbickforussenate.com

#harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 https://t.co/z4WUUxeVW6"
12,"https://t.co/aaeguQS27K

Oregon Campaign Trail 
April 24TH  - Forest Grove / Hillsboro

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa #hillsboro https://t.co/rsH5U73Ycd"
13,"“I have signed the term limits amendment pledge to stop corruption and put a check on the power of incumbency”

https://t.co/aaeguQS27K

#harbickforussenate #harbickforussenate #anewpathfororegon #Harbick2022 #teamharbick #oregon2022 #congresspledge #USsenate https://t.co/SMz7h95J3j"
14,"Please take a look at our new television ad.  Remember to get your ballot - May 17th election day.  Vote Darin Harbick.

https://t.co/Ih0q6i4Dnp

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa https://t.co/GYQpXhXYIc"
15,"https://t.co/aaeguQS27K

""I think it's time for an independent voice that represents all Oregonians.
Someone who lives here full time and understands the needs of the people he represents.
I believe Darin Harbick is that voice.”

Rick Dancer endorses Darin Harbick.

#teamharbick https://t.co/ju1V1rvnuR"
16,"https://t.co/aaeguQS27K

“At Newport in the Loyalty Day Parade 2022”

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa #timetoretireWyden #USsenate2022 https://t.co/DZNu9pkgn0"
17,"“Happy Mothers Day to all the incredible Moms.”

https://t.co/aaeguQS27K

#harbickforussenate #harbickforussenate2022 #Harbick2022 #teamharbick #anewpathfororegon #oregon2022 #whereswyden #usa #happymothersday #mothersday2022 https://t.co/mHj0bBz16x"
