Unnamed: 0,Text
0,"The mass Joe Biden firing of troops continues. 

40,000 Army National Guard poised to be let go.

This must end. https://t.co/ChcdT8wfNU"
1,Today is a great day for the gift of life.
2,Joe Biden clearly doesn't understand economics. https://t.co/TKo2Xkn01e
3,False. https://t.co/e0zCxlNKbz
4,Did Sec Mayorkas tell the truth about the Disinformation Board? https://t.co/shDYFMFmby
5,Happy Father's Day!
6,"How many people on the terrorist watch list have entered through Biden's open southern border?

Biden and Border Czar Harris have no idea."
7,"White House staff reportedly 'tapped out' after 15 months.

More importantly, so are the American people."
8,"Whether ran by DHS or VP Harris, we don't need a Disinformation Board. https://t.co/fPpJnNeMYK"
9,Spot on. https://t.co/dT6SKGFP1A
10,"Pres Biden wants $45 billion in new taxes on domestic energy.

Joe doesn't care about your high gas prices."
11,"DOJ, please see 18 U.S.C. 1507 https://t.co/EUWHep94SF"
12,My condolences to the families and colleagues of Corporal Paredes and Officer Santana. https://t.co/uxOgfQ0FgJ
13,"Will it soon be forbidden to question Biden's failed energy policies?

That's the White House goal.

https://t.co/o3kmMhxzgj"
14,"Not really the ""24-7"" ""top priority"" operation they promised. https://t.co/FKEhl0hEg6"
15,"AOC, Pelosi refuse to pass my SCOTUS security bill.

DOJ refuses to charge illegal SCOTUS protestors.

https://t.co/LU92DIL3YV"
16,"From open borders to condemning Border Patrol agents, America is fed up with Joe Biden's border policies.

https://t.co/haTpHYU4RH"
17,"This is exactly what the left wants.

https://t.co/WMtAMuRqKc"
18,RT @EWErickson: Joe Biden said he was willing to see people hurt economically to get us off fossil fuels.  Your high gas prices are all par…
19,"Biden's border policies let suspected terrorists in the country with a pinkie promise to be good.

Secure the border. Enforce the law. 

https://t.co/oiTlSzBWdV"
20,"The extrreme left is out of control and the Democratic leadership remains silent.

Pelosi must end the obstruction, condemn this behavior, and pass my bill that enhances protection. https://t.co/U6BR0MvEul"
21,"Does the Biden admin ‘think we’re dumb?’- Rove

Biden continues to blame Putin, but the inflation facts say otherwise.
https://t.co/pMoBexgYNz"
22,"Matthew Foldi is running one of the country’s most creative campaigns for Congress. His previous work as an investigative reporter repeatedly held government accountable, and his energy and initiative is what a Republican majority will need next year. I’m proud to endorse him."
23,"Inconceivable. 

Biden White House declares ""America feels more like itself again."" https://t.co/SQiclzbkHV"
24,"Kamala Harris announced $1.9 billion to Central America to stem illegal migration.

$1.9 billion could go a long way in securing our border."
25,I join with our community in sharing my sincere condolences to the families and colleagues of these fallen Marines. https://t.co/B5TLJCmxDV
26,"Pres Biden inflation excuses:

It won't happen
It's transitory
Stop complaining
We should spend more
It's actually a good thing
My plan is working
It's Putin's fault
We should spend more
We should tax more
We need price controls
There is nothing I can do"
27,Good question. Does the White House still encourage this? https://t.co/lqh0ZjzTmV
28,🚨Breaking News: Armed man arrested at Justice Kavanaugh's home after making threats https://t.co/QaDraCrDYd
29,A year plus of misleading the American people to achieve political goals isn't a misunderstanding. https://t.co/9hK7L3J7WW
30,RT @SDSOSantee: @SDSOSantee Remembers and Honors those who made the ultimate sacrifice this Memorial Day Weekend. #MemorialDay2022 #Memoria…
31,"""As we honor their memory today, let us pledge that their lives, their sacrifices, their valor shall be justified and remembered for as long as God gives life to this nation."" 

- Pres Ronald Reagan, May 31, 1982"
32,Our thoughts and prayers are with these families. https://t.co/XgCSzAEuXR
33,Biden praises increasing gas prices while families are hurting. How out of touch can he be? https://t.co/OV3S11XIsM
34,"California continues to get crushed by highest-ever gas prices while Sacramento takes no action.

It's simple: Lower the gas tax and every driver will see instant relief.

https://t.co/gpgsMjhHN2"
35,"Just announced, the Biden Ministry of Truth has been canceled!"
36,"Cut through the bureaucracy, give America the opportunity to get these products safely.

https://t.co/9tNpslJHMn"
37,"Illegal immigration surge has helped fuel U.S. drug overdose spike.

Secure the border. https://t.co/6zOQwCB9AN"
38,"RT @USMC: Pvt. Opha Mae II, the new @MCRDPI mascot, attends her graduation ceremony from recruit training with Oscar Company, 4th Recruit T…"
39,"Secure the border. 
Enforce the law. 
Protect America."
40,"Did you know an illegal migrant can use their arrest or deportation warrant papers as ID to board a US flight?

This must end. 

I voted in support of @Lancegooden bill to stop this unsafe Biden policy."
41,The White House finally spoke out on the baby formula crisis placing much of the blame on greedy parents who buy too much.
42,"It's confirmed, the Biden Admin spent emergency COVID funds on crack pipes.

Remember this fact when they beg for more COVID spending next week."
43,"On Tuesday: the President claims his policies bring down prices

On Wednesday: cancels oil and gas leases https://t.co/kHKDbMsLWX"
44,"The Senate's expansive, pro-abortion bill has failed in a vote of 49-51."
45,Defund and dismantle the Disinformation Board.
46,"I'm calling for Biden's action on the infant formula crisis:

""If we require escorts of delivery trucks from plants to stores, let it be done. If the FDA requires a 24-hour work schedule to clear regulatory hurdles...let it be done. 

Our families cannot wait any longer.” https://t.co/G5I6ZhKLCo"
47,"On this National Law Enforcement Week, I am proud to welcome officers and their families to DC to honor their service and sacrifice to our communities.

#BackTheBlue"
48,Happy Morther's Day! May your day be filled with kindness.
49,"California Democrat's extreme policies will again leave consumers with energy blackouts and skyrocketing rates.

https://t.co/61e0uHdYRW"
50,"Gov Newsom, your turn. 

Give Californians tax relief from Bidenflation. https://t.co/1euuWdCOhZ"
51,Pres Biden is an economic disaster.
52,"Biden doesn't have a plan to stop mass illegal migration, they have a plan to make it easier.

https://t.co/PAIyASAtZ2"
53,"I'm taking action to stop Biden's 
disinformation board.

https://t.co/RYh7UtfT6X"
54,"Democrats have progressed from the absurd ""Defund the Police"" to ""Cancel the Courts."""
55,I’ve seen enough: Congratulations @JDVance1! We need him in the U.S. Senate.
56,This Cleveland native will always have Ohio in his heart — that’s why I’m endorsing @JDVance1 for U.S. Senate.
57,"""We have the duty to protect the life of an unborn child."" 
- Pres Ronald Reagan"
58,16 months ago we were energy independent. We could be again if we had a leader in the White House who demanded it.
