Unnamed: 0,Text
0,"RT @PolkStatePrez: .@RepDarrenSoto recognized Dr. Gregory Johnson, Program Director and Professor of Digital Media Technology, in honor of…"
1,RT @FFCongress: Thank you to #FutureForum members @RepDarrenSoto @RepSaraJacobs @RepStephMurphy @RepColinAllred @RepSwalwell @RepGraceMeng…
2,RT @KeiserU: Thank you @RepDarrenSoto and @girlscouts for an amazing event! #KeiserU
3,"RT @hfuw: Earlier this week, our 211 team visited with a staff member of @RepDarrenSoto to make sure they were aware of 211 and how it can…"
4,RT @LGBTEqCaucus: Throughout #PrideMonth  we’ll be sharing messages from leaders of the Equality Caucus. Check out today’s Pride Message fr…
5,"RT @TheCARCoalition: Welcome @RepRickCrawford (R) and @RepDarrenSoto (D), two more co-sponsors for the #bipartisan #REPAIRAct. Go to https:…"
6,RT @NFP_nursefamily: Thank you to two Florida Representatives @RepDarrenSoto and @USRepKCastor for seeing our advocates today and supportin…
7,"RT @OrangeCreekRdrs: Our NEW SINGLE #Sunnyside is here! 

After all the gloom and doom, it’s time for a little hope and sunshine. ☀️ 🏝 http…"
8,"RT @AFGENational: ""We need to respond to the crises of the future and of today.""- @RepDarrenSoto #AFGENOW"
9,RT @AFGENational: .@RepDarrenSoto: TSA officers are doing the job. We just need to make sure the government recognizes it. #AFGENOW
10,"RT @AFGENational: ""Through legislation, oversight, and collective bargaining, when you need us... we'll show up and be there."" - @RepDarren…"
11,"RT @USTravel: Thank you @RepDarrenSoto for stopping by @ustravelipw and meeting with delegates who show the world the very best locations,…"
12,RT @CarlosGSmith: #TeamCarlos yard signs are showing up all over Seminole County! We walked Waverlee Woods in Oviedo this weekend where Dem…
13,RT @jediabetical: Thank you @RepDarrenSoto for taking the time to meet with me today regarding the insulin affordability crisis in 🇺🇸.
14,RT @Jose_AAlv: Attending #MADD of Central Florida first Annual Gala. It’s been an honor to be part of this great organization. I was also a…
15,RT @FFCongress: Thank you to @RepSwalwell @RepDarrenSoto @RepHaleyStevens @RepJimmyGomez for joining our #FutureForum roundtable discussion…
16,RT @CarlosGSmith: We're so proud and humbled to have earned so much community support for our re-election campaign! Tonite's fundraising ki…
17,"RT @mobilemort: This week on #NewsNight, @RepDarrenSoto joins me to discuss the work of the January 6th Committee. Friday night at 8:30pm o…"
18,"RT @CarlosGSmith: I've seen the real life consequences of hatred and bigotry. It's why as your state rep, I'm never afraid to stand up for…"
19,"RT @shanefccmh1: Gifted today to my father, honoring his 45 yrs of dedication &amp; leadership to the great State of Florida &amp; the Florida Citr…"
20,RT @mrs_Manor: @RepDarrenSoto @PanCAN Thank you @RepDarrenSoto for your time and support today.  We appreciate you and your staff. #WageHop…
21,RT @BayCare: Thank you @RepDarrenSoto for meeting our #VirtuallyUnstoppable patient Lizzy during @speaknowforkids #FAD2022 to learn about h…
22,RT @CFLHealthcare: Congress created the #340B program to help safety net providers dispense pharmacy services and provide comprehensive car…
23,"RT @blockchaintpsht: House Has ""Our Own Ideas"" Says @RepDarrenSoto Regarding Lummis/Gillibrand Crypto Bill https://t.co/URnpRglDYT @SenLumm…"
24,RT @Alemilitarywife: @FWDus @RepDarrenSoto @DarrenSoto Congressman Darren Soto is a great congressman. My family and I are so lucky to have…
25,RT @FWDus: ICYMI: @RepDarrenSoto heard directly from Dreamers during a luncheon to celebrate the tenth anniversary of #DACA. They discussed…
26,"RT @VivianR09353469: Attending the Six Year #PulseRemembranceDay to pay our respects and remember the 49 angels, surviors, families, first…"
27,"RT @EmgageAction: Seeing so many elected officials, allies, and other supporters fill Rayburn’s Gold Room at our #MillionMuslimVotes recept…"
28,"RT @FWDus: .@RepDarrenSoto: ""I was honored to hear about the experiences of so many Dreamers. This month’s anniversary is an important remi…"
29,"RT @EmgageAction: Join us TOMORROW at 7pm for the Muslim American civic engagement event of the year!

Reps @Andy_Levin, @DebDingell, @Jama…"
30,"RT @ESP_Advisors: On #WorldOceansDay, we’re highlighting a bill that would create a new @NOAA grant program to provide funding for nonprofi…"
31,RT @orlandomayor: Grateful for @RepDarrenSoto for securing $1 million in federal funding that will help us build a government center to ser…
32,RT @seiufl: SEIU #Florida early endorses the following #candidates for the 2022 August primary and November general election in Orange Coun…
33,"RT @leadinglane: From Washington D.C. to Haines City H.S. I thank @RepDarrenSoto for spending time with our students, discussing the import…"
34,"RT @EmgageAction: Only 3 days until our #MillionMuslimVotes reception!

We'll be celebrating our 2020 Muslim Voter Impact Report and the 20…"
