Unnamed: 0,Text
0,I want to extend my congratulations to @RobertsonforNV on his primary victory. He ran his race with the same decency and determination with which he served our country in uniform for decades. I will extend my full support to him so that he can defeat Dina Titus in November!
1,"RT @josh_hammer: If you live in Las Vegas, go ahead and cast your vote today for my dear friend (and @NatConTalk colleague) @BrogForNevada."
2,It’s now or never friends!  I would be honored to earn your vote today.  With your help I will defeat Dina Titus in November and get to work reversing the radical Biden-Titus agenda! https://t.co/z6dQV2FFeN
3,"Tomorrow we have the opportunity to take a major step towards finally putting NEVADA FIRST and defeating Dina Titus. 

Please consider casting your vote for our campaign so we can get this country back on track! https://t.co/Ib8v0vciBQ"
4,Inflation hits a four-decade high.  This was fueled by Biden/Titus decision to pump trillions of dollars into an over-heated economy.  And it would have been much worse had they succeeded in spending trillions more.  Time to take back the House!
5,I'm honored to be endorsed by my friend Niger Innis.  Niger has a deep understanding of how best to truly lift up Americans of all races and classes.  I know he will be a great partner to me as we seek to serve the people of NV-1! https://t.co/NyefhrsFie
6,"Some leaders ignore our pain.  Others are just oblivious to it.  

When we take back the House in November we will speak for all of the Americans suffering more economic pain than ever before. https://t.co/pbOFMAyBMM"
7,The Founders saw service in Congress as a temporary civic duty -- not a comfortable career.  I agree. https://t.co/FltQGYNeye
8,I’m honored to receive @LindseyGrahamSC's  endorsement. I look forward to helping him defend our conservative principles as an ally in the House of Representatives.  #NVPOL #NV01 https://t.co/HOn16Vyi9Y
9,Fox News: Mike Pompeo endorses Nevada candidate David Brog in bid for U.S. Congress https://t.co/Sk2yEf6X3n
10,RT @josh_hammer: Congrats to my good friend @BrogForNevada on securing this endorsement. https://t.co/PqGAfUHVIb
11,RT @NewsyJan: #Election2022 : Conservative activist @BrogForNevada is endorsed by former U.S. Secretary of State @mikepompeo for #NV01. Eig…
12,"RT @mikepompeo: With his decades-long track record of fierce advocacy for the conservative ideals at the heart of our America First policy,…"
13,"I've long admired Secretary Pompeo and I'm deeply honored to have earned his support.  

I look forward to his ongoing partnership and counsel as we work to restore American Greatness at home and abroad! https://t.co/MoRc2inBoJ"
14,"DC pundits are starting to catch on to what’s happening in Nevada! Cook Political Report has changed our race rating from ‘Lean D’ to ‘Toss Up’ 🚨

Dina Titus has already rated herself as “very likely going down” in this race! https://t.co/xG2oMTYsaW"
15,"The heart of every Nevadan is broken tonight as we see the pure evil that has unfolded in Uvalde, Texas. The families of the victims are in our deepest prayers. May the memory of the victims be a blessing to all who knew them. And may we know no more sorrows like these."
16,There's a direct link between high gas prices and President Biden's bad habit of signaling to the oil and gas industry that they won't be around long enough to recoup any return on new investments.  Has he learned nothing?! https://t.co/nWD6FZSFnJ
17,Wondering why are gas prices higher than ever?  Don't look to Europe.  Look to Joe Biden and his enabler Dina Titus. https://t.co/d3cckHUPx8
18,"RT @VictorJoecks: CD1 candidate @BrogForNevada up with his first TV ad. His campaign says he'll be on TV through the primary. 
https://t.co…"
19,Today we announced our first TV ad in the #NV01 Republican primary race will begin airing tomorrow. Join me on a path for a better Nevada. #nvpol https://t.co/Ib8v0vciBQ
20,@Ballotpedia has a survey I took the time to complete to share my vision and goals. You'll be able to see the responses on my profile shortly.
21,Honored to be endorsed by @tpohpac and look forward to working together to defend and promote the US Israel relationship! https://t.co/ywrLuEOjuq
22,"I've dedicated much of my professional career to supporting a strong U.S.-Israel relationship. 

I look forward to working with ICAN to fight anti-Semitism and to ensure that America and Israel continue to work closely together to advance our shared values and interests. https://t.co/PKw5XdiqXE"
23,RT @ElanSCarr: Please join Amb. @DavidM_Friedman and many other leaders in supporting our friend DAVID BROG for #Congress. David led @CUFI…
24,"In 24 hours, the NRCC added our campaign to their Young Gun’s “On the Radar” list and the DCCC attacked me for supporting President Trump’s America First Agenda.

We’re going to win this primary and we won’t let Dina Titus and her liberal attack dogs stop us"
25,The foreseeable result of foolish policies 👇🏻 https://t.co/vK9VgFa655
26,American's have a big heart. We must never change that. But it's painful to see our kindness abused. We need to end the border crisis ASAP. https://t.co/7WCidKbYcK
27,This is how free speech is done. https://t.co/TFGBWxsSAz
28,"Washington Post doxxing the founder of @libsoftiktok: Bad 

Washington Post highlighting that she's an Orthodox Jew: Even worse

Intolerance to people of faith is growing on the left."
29,"After only six weeks in the race we closed the first quarter with more cash on hand than any other Republican in our primary, including those who’ve been running for over nine months! 

We're adding to our team every day so that we will win the primary and the general election 🇺🇸 https://t.co/BVzBBzA8WA"
30,In just six short weeks we've been able to raise more money than candidates who have been in the #NV01 race much longer - we've got momentum and we won't stop until we defeat Dina Titus! #NVpol https://t.co/utNcvOMogd
31,".@dinatitus thinks #NV01 is the ""WORST district in the state""

No wonder she tried to get appointed ambassador abroad rather than serve the people at home. 

Time to put Nevadans first https://t.co/BmbOozxMsb. #NVpol https://t.co/IVjg8iV9x3"
32,"While her first choice to be Joe Biden's ambassador may not have come through, we all know that by voting with Biden 100% of the time Dina Titus has been his Ambassador all along. 

Welcome to the race Ambassador Titus! #NV01 #NVpol https://t.co/kZEEWwVzXV"
33,".@dinatitus would much rather sit in an embassy abroad than serve the people here at home.

If Titus wants so desperately to leave Congress then she should go ahead and leave - rather than file for reelection, she should announce her retirement. #NV01  https://t.co/uZ1nTptTKf"
34,"I just left the Clark County Registrar of Voters and officially filed my paperwork to appear on the June 14th primary ballot! 

We need citizen servants in DC who will serve the people of Nevada’s 1st CD - not Joe Biden and Nancy Pelosi! #NV01"
