Unnamed: 0,Text
0,RT @RandPaul: Breaking up companies that are providing progressively lower prices to consumers is a terrible idea. Good report to read from…
1,RT @AbrahamHamadeh: I still love reading this. Thank you ⁦@RandPaul⁩! TITAN of Liberty. https://t.co/124eOkvQdk
2,"RT @anish_koka: Rates of myocarditis in men aged 18-24 after 2nd dose of Moderna are 1:5900. (French study in Nature Journal)

Does anyone…"
3,"RT @RandPaul: I’ve been the sponsor of a federal law to overturn Roe since I came to Washington, and I’m pleased to see the court make this…"
4,RT @RandPaul: This Supreme Court decision is a monumental step to not only protect life but also for the court to finally correct the mista…
5,RT @RepThomasMassie: The Supreme Court has taken two great steps to save lives in the past 48 hours: it reaffirmed Heller's decision regard…
6,RT @RepThomasMassie: The unconstitutional gun control bill passed by the House today will cost more lives than it saves. https://t.co/9ZaLB…
7,RT @NatlGunRights: @RepThomasMassie is right. To read why we oppose Red Flag gun confiscation click here: https://t.co/vK4GfWSrkr https://t…
8,RT @MAJTOURE: These people all FAKE AS FUCK. 😂😂 https://t.co/KV1cuBPrdi
9,RT @TimRunsHisMouth: This is a super old meme... but it's relevant yet again. https://t.co/mzkfsjWGNp
10,"RT @RepThomasMassie: So many members of the military have suffered unfairly from the illegal COVID vaccine mandate.

Would Republicans make…"
11,RT @RepThomasMassie: This lie is still on the government’s website. Someone should be prosecuted for this. Ultimately @JoeBiden is the comm…
12,"RT @RepThomasMassie: Joe Biden’s gas tax holiday:
https://t.co/nelYa140yK"
13,"RT @feeonline: It's clear now that Fauci’s pandemic response was not just about Covid, but a larger technocratic revolution—one that Americ…"
14,"RT @RandPaul: As I’ve said, no one wants to see guns in the hands of criminals. No one wants to see tragedies like we saw recently in Texas…"
15,"RT @illinoispolicy: Here is the truth: @GovPritzker's gas tax delay does not equal a tax cut.

It means are now *two* gas tax hikes schedul…"
16,"RT @RandPaul: Remember when I asked this cretin about letting 6’4” men run against girls in track?

Watch here: https://t.co/kLylIKj2UA htt…"
17,"RT @RepThomasMassie: The Senate's gun control bill is an unserious solution that should be trashed, not passed. https://t.co/ki9lWoM9GD"
