Unnamed: 0,Text
0,"RT @GabMendezPAGOP: I have my @DaveGalluchPA yard sign out, get your yard signs today! 🇺🇸 

#GalluchforCongress 
#KeystoneToVictory
#LeadRi…"
1,RT @MurphChallenge: Today is the 17th Anniversary of Operation Red Wings which marks the most highly decorated small team action in Naval S…
2,"My mom raised me after my dad was killed by a drunk driver. I know how hard it can be for families like mine.

I’m ready to explore things family leave &amp; childcare. Parents like mine are proud to stand on their own. I want to help more of them do just that. #galluchforcongress https://t.co/hRyxVd1lDz"
3,"Not beginning to expand US #energy production last year — or to invest in much-needed energy infrastructure — will go down as a grave mistake by Joe #Biden. If the US will not ⬆️ production &amp; refining capacity soon, the energy crisis will get worse — potentially drastically so. https://t.co/nKSWXZqI0Y"
4,"Let’s ⬇️ energy costs.

-Subsidize domestic production in crises or supply crunches

-Fix broken regulations like the #RFS

-Embrace clean #naturalgas &amp; invest in #energy infrastructure

-Fund basic research to develop cleaner &amp; more numerous ways to meet energy needs long term"
5,"$5.50 / gallon in South #Philly earlier today. If you’re a working person who was struggling to make ends meet in a city that was already expensive before #inflation, things have just gotten worse. It’s time for change. #galluchforcongress https://t.co/oNmlgmkfWW"
6,"RT @GabMendezPAGOP: Rain or shine, we will be coming to your neighborhood before the November Election!! 

#KeystoneToVictory 
#LeadRight…"
7,"Nothing demonstrates the loss of common sense like the #energy policies of Joe #Biden &amp; #Congress.

Strong-arming int’l producers to cap #oil prices = shortages, ⬆️ costs &amp; global instability.

Investing in US #energy = ⬆️ supply, jobs, &amp; security.

We should do the second. https://t.co/alPeDX0f0P"
8,"We’ve had enough in #Philly &amp; #PA5. In #Congress I’ll support #lawenforcement, ensure violent &amp; repeat offenders are held accountable, &amp; get illegal weapons off the street. I’ll ensure that no matter where you live, you have the dignity of safe streets. https://t.co/e1PlFKfzAT"
9,"Another day full of great conversations &amp; outreach in #RadnorPA alongside @RepChrisQuinn! Rain or shine, hot or cold — the hard work for the future we deserve continues! #galluchforcongress https://t.co/VfxBGr3XNf"
