Unnamed: 0,Text
0,RT @JudiciaryGOP: Still not tired of winning. #SCOTUS
1,RT @MayraFlores2022: I am glad to announce I was selected to be apart of the House Committee on Homeland Security and House Agriculture Com…
2,"RT @GOPChairwoman: This past weekend, pro-life centers were attacked in Virginia, Oregon, and Colorado.
 
Democrat leaders told activists t…"
3,RT @CleveIandOhio: @NickAdamsinUSA I like guys like Kirk Cousins and Tom Brady better!
4,"RT @NickAdamsinUSA: I was a big supporter and fan of Joe Burrow, but he's gone completely woke and should have just kept his mouth shut.

I…"
5,"RT @ACTBrigitte: Gas Pump: Do you want a receipt?

Me: No thanks, I want to forget this entire experience happened."
6,RT @laurenboebert: @HillaryClinton Tell me you’ve never purchased an AR-15 without telling me.
7,RT @HillaryClinton: It shouldn't be harder to obtain an abortion than an AR-15.
8,"RT @TheLeoTerrell: Victory again in the Supreme Court. Buy a 6 to 3 vote, the football coach has the right to pray on a football field by h…"
9,RT @HerschelWalker: Most people I know don’t want an electric car – they just want to be able to afford gas!
10,"RT @NickAdamsinUSA: Publix needs to urgently expand into all 50 states.

Other grocery chains are going woke on a daily basis and pro-Ameri…"
11,RT @GOPLeader: President Biden is following directions well. https://t.co/QRqKSZS1R9
12,RT @GOP: Democrat politicians positions on abortion are radical. They have blocked legislation banning infanticide.
13,"RT @NickAdamsinUSA: Here is my plan to save America:

Bring Trump Back"
14,"RT @MarshaBlackburn: This morning's ruling in Kennedy v. Bremerton School District is a major victory for religious freedom. 

The right to…"
15,RT @GOPChairwoman: Biden’s net approval rating – the gap between those who approve and disapprove – is at a new record low of -17.3%.
16,"RT @dbongino: Today is June 28th, 2022 and Joe Biden is the worst President in US history."
17,"RT @GOPChairwoman: In the last year, over 1 MILLION voters have switched to the Republican Party! 
 
Thank you to all our grassroots volunt…"
18,RT @CawthornforNC: The Supreme Court just does not miss recently.
19,"RT @Jim_Jordan: Donald Trump in 2016:

“I am pro-life. I will be appointing pro-life judges. I would think that [if Roe is overturned] it w…"
20,"RT @ACTBrigitte: Kari Lake is a once in a generation type candidate for Governor.

Arizona is very lucky to have her."
21,"RT @Sunshinegirl754: RT if you agree…
There is NO doubt Trump won in 2020."
22,RT @SenBillCassidy: There still is a crisis at the border.
23,"RT @Jim_Jordan: Remember groceries being this expensive when Republicans were in charge? 

Nope!"
24,"RT @laurenboebert: The government is here to secure your freedom, not run your life."
25,RT @MarshaBlackburn: We will not allow radical left socialists to pack the Supreme Court.
26,RT @ACTBrigitte: It's time to cut off Ukraine and focus on America.
27,RT @michaeljknowles: Greatest Supreme Court term ever
28,"RT @RepLisaMcClain: The two ways to bring the price of gas down is to either increase the supply or decrease the demand.

Since we can't de…"
29,RT @TheLeoTerrell: Today the Supreme Court ruled by a 6 to 3 vote a high school football coach could pray after the  game.
30,RT @NickAdamsinUSA: The left can define a woman now.
31,RT @TheLeoTerrell: Lori Lightfoot is the worst Mayor in America. Eric Adams is a close second!
32,RT @laurenboebert: Jesus is Lord!
33,"RT @MonicaCrowley: To the companies paying for abortion travel:

Will you also be paying for fertility treatments for employees having diff…"
34,"RT @mikepompeo: Adoption, not abortion. With Roe overturned, we should find ways to make the adoption process in our country easier and saf…"
35,RT @skb_sara: The people who are mad now couldn’t define a woman a month ago.
36,"RT @NickAdamsinUSA: June 24th, 2022 should be a federal holiday."
37,RT @TomFitton: Justice Clarence Thomas is an American hero.
38,"RT @NickAdamsinUSA: More Americans tuned in for President Trump's rally tonight than any woke baseball game, that's a fact."
39,RT @GOP: This is Bidenflation. He doesn’t care about the millions of Americans struggling to afford gas and food.
40,RT @NickAdamsinUSA: Sarah Huckabee Sanders will make a fantastic Governor for the state of Arkansas!
41,RT @GOP: It’s a good day to celebrate life.
42,"RT @GOPChairwoman: If Democrat leaders get their way, your tax dollars would be used to pay for late-term abortions."
43,"RT @ACTBrigitte: If people spent more time reading the Bible and less time reading Karl Marx, the country would be better off."
44,"RT @GOPChairwoman: Record gas prices are part of Biden’s “transition” to green energy.

Your pain is the point. #BidenGasHike"
45,RT @MarshaBlackburn: All life is a precious gift from God that we must protect.
46,"RT @ACTBrigitte: Thank you, President Trump!!"
47,"RT @GOP: Meanwhile, our southern border is wide open."
48,RT @NickAdamsinUSA: Roe’s pronouns are “was/were”.
49,RT @NickAdamsinUSA: The rainbow belongs to GOD!
50,RT @TheLeoTerrell: Stacey Abrams is a phony!
51,RT @GOPLeader: Extreme policies are now mainstream in the Democrat Party. Every House Democrat is on the record as voting in favor of tax-p…
52,RT @GOP: Democrat politicians want taxpayer-funded abortion up to the moment of birth. That's out of touch with the vast majority of Americ…
53,RT @GOP: Wonderful to live in a world where life wins!
54,"RT @ACTBrigitte: When the world needs clarity on an issue, they turn to President Donald J Trump."
55,"RT @GOPChairwoman: As a U.S. Senator, Joe Biden supported a constitutional amendment that would allow individual states to overturn Roe v.…"
56,RT @NickAdamsinUSA: America needs to turn back to God and the Bible.
