Unnamed: 0,Text
0,"@bennyjohnson This is about having the Fed. Govt. ""rubber stamp""... It's okay to have an abortion, ergo it's a Right and everyone who disagrees can pound sand. SCOTUS has followed the Constitution and returned the decision back to the states, and now the Left fears the reality of the truth."
1,"Thank you @GovRonDeSantis and our Florida Legislators for your common-sense approach to respecting the personal rights of those who responsibly enjoy filterless (biodegradable) cigars - while protecting Florida's beautiful parks and beaches. 🍊🇺🇸
https://t.co/PWbdQTqcQr"
2,#faith #Liberty #leadership #LeadershipMatters #freemarket #capitalism #chocolate @FreeEnterprise 🇺🇸 https://t.co/JuxQS08R2D
3,This is what wavering in the wind looks like. https://t.co/0tV7EAaNaL
4,"Since when did the Temper Tantrum Screams become the calling card of the Liberal Left Melt Downs. That usually got an iced cold glass of water to the face and/or a belt to the behind at my house. #spoiledbrats
Shared with Permission #JakeFuller
#Life #Faith #Liberty #Leadership🇺🇸 https://t.co/Gq4okTIi41"
5,"The Future Is Here For Marketing
https://t.co/u5oIT1LI8w
https://t.co/tdSLU1d0cM https://t.co/k5qL7PAwF7"
6,#Life #Faith #Liberty #Leadership 🇺🇸 https://t.co/8fEY07LwAa
7,@Most_Maximus Done!
8,The Pentagon Announces It Will Refuse to Follow Any State Laws Restricting Abortion Access https://t.co/n4sSkNjxru #Featured #Opinion
9,@GaNole05 @POTUS @BillGates Blood transfusion... doping.
10,@GigiRNC Just processing in my head Gate's personal involvement in the virus. I don't buy his humanitarian role. With upwards of 80 million computer antivirus subscribers in the U.S. New Markets.
11,"Watching @potus speak in Germany. Who better to understand ""virus"" and how to develop, sell, and deploy system updates than @BillGates. This virus business is Big Business! Investment in development, implementation, and follow up with system updates... Got it! #virus"
12,"@ZekeGary2 Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
13,"@scrowder @Houlasrule2 Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
14,"@RichardGrenell @pigggielou @GavinNewsom Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
15,"@scrowder @ReneeDahl5 Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
16,"@hodgetwins @HouseCracka Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
17,"@GOP Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
18,"@mikepompeo Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
19,"@hope4kay Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership"
20,"Watching these states now campaigning on their willingness to continue abortion services, like a Carnival Barker is staggering. Roe's reversal will now expose them, and God will honor and find favor with those who choose to protect Life. #Life #Faith #Liberty #Leadership https://t.co/8XyT5SfKsU"
21,@KamVTV Roe reversal will now expose states offering sanctuary status and overt efforts to court abortion. God will honor and find favor with those who choose to protect Life.
22,@Ashtoncigar ESG.
23,"Welcome! 🇺🇸🍊
The State of Illinois Lost a huge company this time to Florida
https://t.co/IwdVT5fNwP"
24,"Are You Hitting Your Target Audience?
The Small Business Patriot - Podcast
#digitalamarketing #targetaudience #results #smallbusiness #coaching #podcast 🇺🇸
Ep. 23 - Digital Marketing... Are You Hitting Your Target Audience? https://t.co/OKQAmKsbAP via @YouTube"
25,"@PPFA Leader missed her Jr. High Civics Class... We are a nation For the People and most importantly, By the People. Turning Roe back to the states is the ultimate decision for the People to have a voice and decide whether they want abortion or not. 🇺🇸
https://t.co/QiDkh4LrWZ"
26,"It's time for a celebratory cigar and beverage. Join me on the back porch for some Mellow Jazz @JazzRadioNow, a Double Corona La Aroma de Cuba by @Ashtoncigar, and a cool Scotch Rocks by @DewarsAberfeldy #Life #Faith #Liberty #Leadership 🇺🇸"
27,"@TheStrawhatters @11bCombatvet @MZHemingway @AOC Hey Mark... Pipe down.  It's this veteran you are maligning with your disrespect... the very one who put on a uniform to defend your right to Free Speech while masquerading as ""Mark Twain"" on Twitter. Disagree fine, but your comments do nothing to further your cause or argument."
28,#IStandWithDeSantis https://t.co/bWX64x5FlH
29,@828MikeS @ElectionWiz @cmg_48 @RepMaxineWaters I think you mean FBI recruits.
30,"@joy4ok Yes, but maybe now, Oklahomans may vote for a governor who will respect life and restore the agency of the unborn child."
31,"@PapiTrumpo Living in the heads of Liberals after two failed impeachment attempts, one rigged/stolen election, and 75 rounds of golf. #Trump 🇺🇸"
32,"@ElectionWiz @cmg_48 Inciting a riot, according to federal law, is defined as the acts of ""organizing, promoting, encouraging, and or participating in a riot"" and urging others to riot. 
@RepMaxineWaters which is it... Organizing, Promoting, or Encouraging?"
33,"@MZHemingway Inciting a riot, according to federal law, is defined as the acts of ""organizing, promoting, encouraging, and or participating in a riot"" and urging others to riot. @AOC which is it... Organizing, Promoting, or Encouraging?"
34,"@DavidJames887 @bennyjohnson @knowhereknowmad I like that... ""Infectious Optimism""  I hope you won't mind if I use that some time.  All the best."
35,"@DavidJames887 @bennyjohnson @knowhereknowmad David, I agree, it is not perfect. But when it's all said and done... Hopefully, we can return to less polarization and a more unified sense of dignity. I will give you that. Thank you."
36,"@AlCrowley22 @bennyjohnson @knowhereknowmad Hey Crowley, I'm thankful our representative form of government works. MTG was voted for by her constituents to represent them and albeit, she may not be to the liking of some, she is effective. Nobody said standing for Liberty had to be pretty. Lots of folks have died for less."
37,"@DavidJames887 @bennyjohnson @knowhereknowmad I guess at 246 years old, one could make the case we are at best adolescents.  But, it is our rugged individualism, and desire to be free that makes the US  the most desired place to live and flee to, more so than any other place on the planet. I'm okay with that. 🇺🇸#Liberty"
38,"My youngest just called to celebrate and remind me that she and her classmates from college were the last to march on Washington for Life!  ""Dad, we did it!""
#Life #Faith #Liberty #Leadership https://t.co/Bw1edXEZGO"
39,RT @GOP: https://t.co/aDU6uRj4b9
40,https://t.co/bQesPPnObC
41,"I am rededicating my thoughts, words, and deeds to well-thought-out and responsible responses in my daily interaction with others, and here on Twitter. My discourse will be civil, heartfelt, and filled with a conviction of love for this country. #faith #Liberty #leadership 🇺🇸"
42,"Independent Free People believe Free Markets and Private Ownership allow us to make choices. The Socialist Left wants to destroy private ownership and deploy big government-controlled fuel sources. It's not about dirty or clean, it's about who owns energy and who controls it. 🇺🇸 https://t.co/3WwgPKna5f"
43,"@TPostMillennial Independent Free People believe Free Markets and Private Ownership allow us to make choices. The Socialist Left wants to destroy private ownership and deploy big government-controlled fuel sources. It's not about dirty or clean, it's about who owns energy and who controls it. 🇺🇸"
44,"@jasont42 @JackPosobiec Correct!  He will be President, but a succession plan must be in place for Governor first.  Libs win Florida and that's a nail in the coffin."
45,@KariLake @HighCottonGirl @CNN Ouch!... Good bye.
46,@ChuckCallesto Actions have consequences... Lesson learned.
47,"@WendyJean13 Thanks, Keith... We'll have to take that suggestion under consideration and get back to you on that. NOT!"
48,"Shall Not Be Infringed... We don't need permission to practice Amendment 2, it's afforded to us per the Constitution.  Let's Go Florida - Concealed Carry... Sign It! 🇺🇸🍊
https://t.co/KUezs56ksy"
49,https://t.co/xM46khgIlO
50,RT @ClayPromote: Good Morning Coaches...  Long for the days of Two-A-Days! https://t.co/F6rAfGvG0l
51,"@ArtValley818_ I love it.  Since when are the Brits going to tell us how to run things?  I thought we settled that bit in... 1776 wasn't it.  Yes, MTG is brash and often in your face for some, but it's time we start standing up. A little ""What For"" goes a long way! 🇺🇸"
52,@RepMTG @LifeLiberty3 Truth... Just wait till they turn those [Sheriffs] just like the Woke Military-Industrial Complex.  Who would have thought?  Press on @RepMTG Loved your exchange with the Brit... They should simply just say thank you for not having to learn to speak German! 🇺🇸
53,"@bennyjohnson @knowhereknowmad I love it.  Since when are the Brits going to tell us how to run things?  I thought we settled that bit in... 1776 wasn't it.  Yes, MTG is brash and often in your face for some, but it's time we start standing up. A little ""What For"" goes a long way! 🇺🇸"
54,@EgoHasans @NickAdamsinUSA That's just it... we don't enforce the laws and expect different outcomes. Less coddling and more consistency will send the message that crime doesn't pay. But we have a justice system and political apparatus made up of individuals who are afraid to discipline their own children.
55,@AnthonySabatini Congrats! Keep Grinding.
56,"RT @thehill: .@SenRickScott: ""Joe Biden and the Democrats have a war against work. They want to take good hard-working Americans and make t…"
57,@thehill @SenRickScott #faith #Liberty #leadership 🇺🇸 https://t.co/mzmdZT0SfK
58,"@jimmichael720 @AlphasGhost I always see these instances and think the Secret Service would have to restrain me... But then I remember, I would never allow myself or members of my family anywhere near this guy."
59,@CorbynManning @the_big_dhg @RonnyJacksonTX @KathyKbrose Maybe so. I would still like to know that source of funding to cross it off the list.
60,"@EcoDevGuru @RonnyJacksonTX @KathyKbrose Well Matt, history is not your side, just ask our friends in Australia,  Venezuela, and Cuba for starters. I really don't want to run the experiment only to say I told you so... So, I'll keep fighting to protect us both, you can sit this one out. 🇺🇸"
61,RT @BeachJoMama: @catturd2 https://t.co/YpRszuWanD
62,@EcoDevGuru @RonnyJacksonTX @KathyKbrose Maybe the question should be... Why is a government so adamant about controlling our right to guns and defending ourselves if we can't defend against our armed forces? It's about deterrence... keeping Tyranny in check.
63,@GioBruno1600 Could end up being a stinky Red Tide.
64,@KathyKbrose @GaryDalrymple8 @MrsRight1970 @dawnovthedead @RonnyJacksonTX Good question. Start there and work that track too.
65,"@hodgetwins @tiredofhate1 You think... how about that phone call... ""No not yet, don't go in yet."""
66,@thehoffather @halvorpie Every good disaster is another opportunity to serve up the pork. We need better governance and less spending.
67,"@CorbynManning @the_big_dhg @RonnyJacksonTX @KathyKbrose I seriously question his ability to acquire over $5,000 worth of weapons and ammunition on his own so close to turning 18 years old. Maybe we should be asking these questions too. Better not say that outloud, you never know who may be knocking on one's door in the morning."
68,"@HawleyMO @WilliamQ45A Mr. Hawley, I can hear your frustration and so you know, I trust you maybe more than most of our Representatives, but can we stop the knee jerk attempts to solve these issues and implement and deploy more long term strategies, i.e. good governance that have lasting outcomes? 🇺🇸"
