Unnamed: 0,Text
0,@EssmannJeff Indeed!
1,"Well, well, well ...... https://t.co/xmMt5bmxxp"
2,. @Sen_JoeManchin @senatorsinema @Senatorhassan @SenMarkKelly @SenCortezMasto @SenatorTester @SenatorWarnock @SenatorBennet A police defunder should NOT be confirmed to the Justice Dept's #3 job - vote NO on Vanita Gupta! #NoPoliceDefunders https://t.co/Zj3wsTbJiF
3,"“Dirty voter rolls can mean a dirty election.” Tom Fitton, #JudicialWatch President #CPAC
#TakeAmericaBack #mtpol"
4,RT @Jim_Jordan: “Unity and healing” doesn’t happen with cancel culture and impeachment.
5,Great knocking doors with our team! https://t.co/H16NH0U9gP
6,RT @MTGOP: President @realDonaldTrump has done more in 47 months than @JoeBiden has done in 47 years. #LeadRight #35Days https://t.co/nlW6V…
7,"Oh my word—Biden says the President didn’t have a China virus plan. Was Biden living under a rock?  Oh, yes, he was. #Trump2020 #MAGA #SaveAmerica"
8,"""So long as I am President, I will always protect your Second Amendment right to keep and bear arms."" And #Montana stands strong with you on that as well, Sir. #2a #NRA #SOTU #mtpol 1"
9,"""We embraced the eternal truth that every one is made equal by the hand of mighty God."" #POTUS #SOTU #MtPol"
10,"""Our ancestors carved out the greatest Republic, and we are making it greater than ever before."" #POTUS #SOTU  I agree Mr President, #americanexceptionalism is real. #KAG #MTPOL"
11,"I hope all #Montanans are watching the #SOTU2020 . We have so much to be proud of, and to be grateful for, in our state and our country. Thank you #POTUS for your leadership #KAG #MAGA #MTPOL"
12,#FederalJudges may be one of the biggest successes of @realDonaldTrump &amp; this administration.  I will always fight for Constitutionalist judges instead of legislation from the bench that we've seen under Democrats. #SOTU2020
13,"Montana must never become a #sancturyState for #IllegalAliens .  Instead, we must be a sanctuary for law-abiding, freedom-loving people who cherish the #AmericanDream"
14,Thank you @realDonaldTrump for supporting &amp; commending  #ICE officers in their difficult jobs. #SOTU2020 #BuildTheWall
15,"#POTUS introduces #EllieSchneider, who was born at 21 weeks, now a healthy 2 year old.  Every baby deserves a chance at life. #ProLife #MarchForLife"
16,And no child should be subjected to socialist indoctrination. @realDonaldTrump🇺🇸#schoolchoice https://t.co/WgCJIbaQp6
17,"18 states have created educational #OpportunityScholarships. So popular that 1000's of children on wait list for them. #POTUS: ""No child should be forced to send their child to a failing government school."" I agree Mr President &amp; will continue my fight for #SchoolChoice"
18,"What a story.  100 year old great grandfather was a #Tuskegee airman, and great grandson wants to join the #SpaceForce.#SOTU https://t.co/GGVpDB1ek7"
19,"#POTUS stands tall and strong giving a positive, encouraging #SOTU despite everything that #NancyPelosi &amp; the radical Democrats have thrown at him in recent weeks.  #MTPol"
20,"""Everyone said criminal justice reform couldn't get done. But I got it done, and the people in this room got it done."" #POTUS #Sotu #MTPOL"
21,"""The State of our Union is stronger than ever before."" #POTUS"
22,The #TrumpFamily gathers before their father's #SOTU speech. https://t.co/xhDRpihD6h
23,"RT @WhiteHouse: Our Nation is great because of the courage and character of its people.

Meet the incredible individuals and families that…"
24,Sending prayers to @rushlimbaugh. You have millions praying for you.
25,@replouiegohmert speaking Truth! https://t.co/Y8E5R1LK96
26,"If we had listened to our Founding Fathers who envisioned an ever-changing body of citizen legislators, we wouldn’t be mired in the muck of the DC swamp today. #mtpol #TermLimitsforCongress https://t.co/6mFGioPHZG"
27,"RT @GOP: Three years ago, on this day, the voices of the forgotten men and women of America were finally heard!
 
Today, we celebrate THREE…"
28,"No free speech here.  Seriously.  College should be a place for the free exchange of ideas.  But, maybe that would interfere with their indoctrination.  #freespeech #mtpol
https://t.co/Clj3fSaYa3"
29,"Thank you, President Trump! More winning in 2020–we are not tired of winning! https://t.co/h7xRsQt40Q"
30,"RT @MariaBartiromo: ""This is not an impeachment. This is a coup"" - @newtgingrich @MorningsMaria @FoxBusiness ""the left hates trump that inc…"
31,Excited to be in the race!  https://t.co/twvOWquoMm
32,@charliekirk11 @RealCandaceO @GTSFarmer Congratulations and best wishes!
33,RT @GOP: 🇺🇸🇺🇸🇺🇸 https://t.co/f6xDaHnnYk
34,RT @GOP: RT to tell the Democrats to come to the table on immigration! https://t.co/oWdovMZxcA
35,Join Republicans and our president for freedom! https://t.co/crHlSO6XLR
36,"RT @GOP: KEEP AMERICA GREAT!
 
#Trump2020 https://t.co/ASJm7Hi1X1"
37,Yes!  Re-elect President Trump to Keep America Great!  #LeadRight @realDonaldTrump Park County Montana is with you!
38,RT @GOP: RT if you agree! https://t.co/E0FQgp2QPM
39,"RT @GOP: “[@realDonaldTrump] truly loves this country, and will continue to work on your behalf as long as he can.” -@FLOTUS

#Trump2020 ht…"
40,"RT @marklutchman: 63 million Americans voted for Trump in 2016.

Liberals say that number will fall in 2020.

I say, millions more will vot…"
41,"RT @GOP: “Our future has never ever looked brighter or sharper.” -@realDonaldTrump
#Trump2020"
42,Finally a president willing to drain the swamp!  Thank you President Trump! #LeadRight @realDonaldTrump. Montana is with you! #mtgop
43,RT @hopewalker: Awesome crowd of folks in Kingstree tonight for a #MAGA meet-up to watch @realDonaldTrump re-election announcement #LeadRig…
44,"RT @GOP: The men &amp; women of America are thriving under @realDonadTrump's leadership:
—Hispanic American unemployment at 4.2%—record low
—As…"
45,Wow!  Orlando is on fire for President Trump! #LeadRight @Real Donald Trump #mtgop Celebrating at Park County house party. https://t.co/tc9YzHANHe
46,USA! #LeadRight @DonaldJTrump https://t.co/qukeA1SVJy
47,The most awesome press secretary ever!  Class act! https://t.co/RyE8qgYqWF
48,RT @MTGOP: A wonderful evening to kick-off our Convention with Chairman @DebraLamm and Sen. @SteveDaines. Here’s to victory in 2020! #mtpol…
49,"RT @charliekirk11: Imagine:

Giving up a billionaire life

Allowing the entire media to smear your name &amp; your family for years

Taking no…"
50,"RT @MTHouseGOP: ""For years, #Montana officials have been concealing information about the millions of dollars they are paying to settle cla…"
51,"RT @TommyHicksGOP: As the chairman of the House Intelligence Committee, Adam Schiff has a very serious role in keeping our country safe. Hi…"
52,"RT @charliekirk11: Democrat 2020 field:

An Irishman who thinks he’s Hispanic

A White woman who thinks she’s Native American

A Senator wh…"
53,RT @TommyHicksGOP: The American people deserve better than a Dem-run Congress that is obsessed w/ tearing down the President. https://t.co/…
54,RT @TommyHicksGOP: Awesome to be w/ the RNC Youth Coalition to celebrate that young people are better off thanks to @realDonaldTrump. I am…
55,"RT @TommyHicksGOP: With our country thriving, why would we ever roll back the accomplishments we've gained under @realDonaldTrump's leaders…"
56,RT @TommyHicksGOP: #DrainTheSwamp https://t.co/FJSFXLAbkB
57,RT @WhiteHouse: President Trump Delivers Remarks at the 2019 National Prayer Breakfast https://t.co/GDMS325tMy
58,"RT @GOPChairwoman: Stacey Abrams, Democrats’ choice for their #SOTU response:
*thinks illegal immigrants should vote
*wants government-run…"
59,President Trump was elected by the people and appointed by God. Stop the obstruction. Choose greatness! @realDonaldTrump @kimguilfoyle @DonaldJTrumpJr #SOTU #SOTU2019 #MTPOL
60,Exactly! https://t.co/IOGJItBIao
61,"RT @OmarHamada: I want to clear something up so that there is absolutely no doubt. 

I’m a Board Certified OB/GYN who has delivered over 2,…"
62,@kimguilfoyle @DonaldJTrumpJr Happy New Year!
63,That is great news! https://t.co/xqjlZVGJrk
64,Overwhelm the system. https://t.co/hrYbNt7thv
65,"Congratulations, Mr. President!  Keep making America great again!  #MAGA https://t.co/BMWUHx4LO6"
66,"Yes, we will!  Thank you for supporting MT and our great candidates! https://t.co/GdwS5YIsry"
67,RT @kimguilfoyle: Jon Tester supported Second Amendment restrictions in 2015 https://t.co/X5Fi6X1s8z via @BreitbartNews #retirejontester  V…
68,"RT @failedtester: 🚨BREAKING: Montana’s Libertarian candidate for Senate drops out, joins Team Rosendale"
69,RT @DebraLamm: Turnout and enthusiasm is phenomenal! https://t.co/w3pfpzvQhS
70,RT @TheRealShaunaMT: @MattForMontana @MTGOP @GOPChairwoman @GOP @DonaldJTrumpJr @realDonaldTrump @kimguilfoyle @SteveDaines @aaronflint @Ja…
71,Indeed!  #RedWave #mtpol https://t.co/Ow0Ox5Ok3N
72,You know it @JasonEmert! https://t.co/MkzGGGC5Fi
73,"Enjoying great convo with our US Senator Daines, US Senator Rand Paul and our next MT US Senator Matt Rosendale! https://t.co/4XKeDjUWfA"
74,Yes! https://t.co/mieXKxUTzE
75,Thank you Kimberly and Don Jr. and our great candidates—the red wave is here! https://t.co/JSz26tnx4z
76,Turnout and enthusiasm is phenomenal! https://t.co/w3pfpzvQhS
77,"RT @GOPChairwoman: The mainstream media is demonizing @realDonaldTrump for talking tough on the caravan, but where was their criticism of B…"
78,"RT @GOP: .@realDonaldTrump and the Senate Republicans are reshaping our federal courts with the confirmation of:
⚖️2 Supreme Court Justices…"
79,Exactly!  We must keep reminding our citizens.  Beware the move to eliminate the electoral college. https://t.co/fMmBY7bAb9
80,RT @aaronflint: Senator Steve Daines just received phone call from Judge Kavanaugh while joining me on our statewide Montana Talks radio sh…
81,"RT @ArtWittich: Libs are the masters of silencing, smears, and intimidation.
#SaulSaidSo https://t.co/CV9GLNGOMZ"
82,RT @GOPChairwoman: Deeply concerning to watch the leadership of a company responsible for more than 90% of internet searches discuss ways t…
83,#MAGA https://t.co/3WSYhBgAyA
84,And an incredible leader! https://t.co/626LuuMLHC
85,We are not tired of winning! https://t.co/bPUYG1SGty
86,We need a strong Congress that will not abdicate its authority to administrative bodies that become the deep state.  Elect those that understand and support our Constitution. https://t.co/lO5Wo0llAW
87,"Thank you, Shauna! #MAGA #mtpol https://t.co/4VZQ4PMSRv"
