Unnamed: 0,Text
0,"RT @BillKristol: Only one poll, to be sure: But in this NPR/News Hour/Marist poll in April, Republicans led the generic congressional ballo…"
1,"Right now, we need to elect more pro-choice women to ensure women’s voices are heard and their issues are addressed. 

@EmergeNevada is leading this effort in our state. #TeamTitus was proud to join Emerge as they welcome their newest class of leaders and candidates. https://t.co/SZO0QzdXeG"
2,"At the @nvdems State Convention. 

I believe in helping those who need it the most—not providing giveaways to those who already have the most. Such are the values that unite us and will overcome the lies and underhanded tactics that our opponents rely on. Now let's go win this. https://t.co/zNP0EQiv68"
3,#TeamTitus is at the @SouthwestCarps Taco Cookout! I can always count on these hard working men and women to hammer down the vote. #UnionStrong https://t.co/xXGDHuymoz
4,"Thanks to @NevadaNOW, @PLANevada, @PPVotesNevada, @BattleBornProg, and all the organizations and passionate Southern Nevadans who came out to peacefully protest at the federal courthouse in downtown Las Vegas. Abortion is health care. Let’s get to work! https://t.co/4H0GOFr241"
5,"#TeamTitus joined @NVAFLCIO to acknowledge the remarkable 24 years of service of Hon. @maggie_carlton. 

I don’t have to tell you how hard AFL-CIO has fought for workers in Southern Nevada, and Maggie Carlton has been right there on the frontlines. Thank you for your work. https://t.co/BTAKa4rJ3J"
6,"This is the type of “Freedom” my opponent believes in. He called for Roe to be overturned. He equates any abortion after conception with murder. 

Thanks to politicians like him, rapists have more rights than pregnant people in some states. I’ll always stand for women's freedom. https://t.co/3mEgQXlC8n"
7,The majority of Americans support the right to have an abortion. I’m standing with my fellow lawmakers outside of SCOTUS to make our voices heard. Leadership is about showing up. The Senate needs to end the filibuster and pass the Women’s Health Protection Act now. https://t.co/F5Kxv0F41N
8,"The Supreme Court just overturned Roe v. Wade. Today we are reminded that we need to elect more pro-choice officials and protect our pro-choice majority in the House. 

It is time for the Senate to step up and codify a woman's constitutional right to an abortion. https://t.co/x7GRfpX3SO"
9,"The Supreme Court is prepared to overturn Roe v. Wade and pave the way for Republicans to strip away a woman's right to choose.
 
In Congress, I'll always fight to protect women's reproductive freedom."
10,"Nevada is one of the most racially and economically diverse states in the union. We expanded voter access and we have a strong and engaged labor community. 
 
I proudly support the movement to make Nevada first in the nation in the Democratic presidential nominating calendar."
11,"I was proud to vote for the #AmericanRescuePlan which is lowering housing costs, combating food insecurity, and expanding child care assistance for Southern Nevadans. https://t.co/qFQUPK2RqM"
12,"My dad on the flight line at @NellisAFB, 1951. Happy #FathersDay. https://t.co/GNjgFVSlj6"
13,"It was a pleasure joining Rainbow Dream Foundation for their annual #Juneteenth Festival. In Congress, I will continue to celebrate our nation’s diversity and reject bigotry in all its ugly forms. https://t.co/Xmkku8JuHS"
14,"Tonight I joined @AaronDFordNV, @Daniele4NV, @CHMillerForNV, @HowardWattsNV, and @clairethom11 at @jammylandlv for a #Juneteenth celebration to reflect on the struggle for freedom. 

We must continue to support efforts to bend the arc of history toward justice. https://t.co/ze5CQyTNmU"
15,"Even my opponent says he doesn’t have a case against me. 

I've been fighting everyday to create new jobs and opportunities for Southern Nevadans and I’ll never stop. https://t.co/JIUIrzKi2V"
16,"When Southern Nevada’s economy was on the ropes, I took the lead to deliver for our state. Now, Nevada is the fastest recovering state in the nation. 
https://t.co/sMv42lLQYl"
17,Sun City Anthem Democrats are some of the most committed volunteers in the state. I’m happy to be back and I’m grateful to have their support. https://t.co/fNpk6MRKNP
18,"My opponent, @RobertsonforNV, has spent the last 20 years as a ‘financial architect’ helping the ultra-rich avoid paying their fair share. 

I'm fighting to protect workers’ rights and ensure that sky-high corporate profits don’t come at the expense of working Southern Nevadans."
19,RT @dccc: Rep. @dinatitus is a proven fighter for #NV01 – she's delivered landmark investments in infrastructure and critical pandemic reli…
20,RT @DemMaj4Israel: Congratulations to Congresswoman @DinaTitus on her primary victory to represent Nevada’s 1st district! She’s an accompli…
21,RT @emilyslist: Congratulations to @DinaTitus on winning her primary! Let's keep this strong advocate for working families in the House com…
22,I am humbled that the Democratic voters of #NV01 overwhelmingly nominated me so that I can keep fighting for those who need it the most—not for those who have the most.
23,RT @Donna_West: Great to celebrate the primary cycle with @dinatitus and @CiscoForNevada as we wait for results with @DemVictoryNV. Ready t…
24,"If you're in line to vote by 7pm, you can still vote!

Stay in line and make your voice heard."
25,"RT @Culinary226: Get in line by 7pm and stay in line. Vote now!

As a Congresswoman, @dinatitus has been a champion for immigrants, workers…"
26,"RT @Culinary226: Culinary Union's political team is in the streets talking to Nevadans about voting today.

📬 Election Day is today!
 ⏰ Pol…"
27,"RT @USJewishDems: .@dinatitus is a dedicated public servant who is tackling the issues facing Nevadans.

#NV01, today is the day - cast you…"
