Unnamed: 0,Text
0,@SijmenC @RBReich Another fool
1,@RBReich Fool !
2,@NormanFromPitts @KDKA School choice over indoctrination
3,@RetiredTyRn @KDKA 🤣😂
4,@BobMoor36041464 @KDKA Lmao
5,@KDKA FAKE NAME OF THE BILL. More propaganda!!
6,@JohnFetterman You live in a fantasy world.
7,@libsoftiktok @RBReich Bet she voted Biden
8,"Attention PA-35 !

I'll be here tomorrow from 9am - 1pm.

Come visit our table and grab some free stuff;

- Pocket Constitution 
- Voter Registration forms
- Trifold information on Don Nevills for PA-35

I'll be there to answer questions, meet you all and enjoy the day. https://t.co/sGD7InIXVh"
9,"Guess I'll make a tweet. My account was verified today and it's about time...lol

Please help support our Campaign. 
https://t.co/2qZT6VYzR7"
10,@WPXI Filthadelphia of course
11,@WPXI Elect the right people that love America and our resources.
12,@tomselliott He's a loser without a clue
13,@JohnFetterman @NJGov Where do we pick up the Fetterman is a Communist stickers?
14,@SummerForPA You do realize the shooter was black...right?
15,@KyleMartinsen_ All lies for control and agenda
16,"@libsoftiktok You realize you have issues, not them...right?"
17,@IlhanMN Ban Foreign agents like you !
18,@mjro1105 @WPXI @DavidWPXI Radical gun reform? How about enforcing the damn laws on the books? These liberals are fighting to release murderers on bail and you're worried about law abiding citizn rights? Give me a break !
19,@WPXI Omg..
20,@Bach01Dom @te6192 @JohnFetterman Wrong. Murder is not justified
21,@JohnFetterman You ate a fool. It was NEVER a right. And you want to be Lt Gov...that a laugh!
22,@amyklobuchar You are SICK !
23,@RepAdamSchiff @ZelenskyyUa @AndrzejDuda @SpeakerPelosi @RepMcGovern @RepJasonCrow @RepGregoryMeeks STAY THERE WE DONT WANT YOU HERE !!
24,@Liz_Wheeler An absolute nutcase
25,"@wiczipedia @DHSgov Yeah.. right. The people are smarter than you think. No, you will NOT control our speech !"
26,"So, can we now discuss the crimes of the Biden family ?"
27,"CITIES OF; 
Clairton, Duquesne and McKeesport 

TOWNSHIP OF; 
South Versailles 

BOROUGHS OF; 
Homestead, Liberty, Lincoln, Munhall, Port Vue, Versailles, West Homestead, West Mifflin (dist, 3, 4 &amp; 15) Whitaker and White Oak. 

You have a Choice for State Representative."
28,@PatBelam @JohnFetterman @giselefetterman Fetterman is a Putin wannabe
29,@JohnFetterman @TuraGypsyRobin Lower Fetterman the bum. He hates America and everything it stands for just like his supporters
30,"@TuraGypsyRobin @JohnFetterman And that's why Fetterman should never been allowed to hold any office. Enjoy your socialism, when it affects you, don't ask for help."
31,@LeannB2021 @JoshShapiroPA Thank god you don't
32,"@JoshShapiroPA NO,you won't. You're a swamp rat with an inexperienced hack by your side for 1 reason. You are the WORST thing that could happen to PA."
33,@JohnFetterman Nobody wants a Socialist and a bum for any office
34,@stoolpresidente Wow. She admitted it !!
35,"@PSatulla I did your Dad's Stomach tattoo ""Saturn"". I still check up on him. We had a great talk while I tattooed him, and he treated me well. I wish you all the best."
36,"@LeftismForU If you hate America, why are you still here. It's obvious you would NEVER stand up to anything without crying. This is the kind of person that will ball up in a corner hoping a real man will save his life"
37,@CBSNews CBS is the propaganda arm of the Dem party.
38,@mjro1105 @Chipsah27346147 @KDKA It's never going away. Start living and stop obeying.
