Unnamed: 0,Text
0,"Summer Campaign Kickoff is here‼️ If you aren’t at Single Hill Brewing Company yet, you still have time to make it. Come on down from 5 - 7pm. I will be here for a meet-and-greet, music, food and, of course beer. Bring your friends! https://t.co/Fk2B51q8dh"
1,"Mariachi Festival in Columbia Park Kennewick. Thank you to the @TCHispanicChamb for organizing and all of the community organizations and businesses that came out in support. Music, sunshine and lots of fun. https://t.co/OpDKc6kEe1"
2,"Bakeries are my weakness. A stop in White Salmon to meet local business owners, canvas and fundraising. Housing, wages and lack of support for small business tops the list always! https://t.co/plAlkX40TN"
3,@KristineMReeves @washdems @DNC Thank you for the work you do
4,Patterson Washington. Nobody gets left behind. https://t.co/YrRdKzr0B7
5,"Spending time in White Salmon at Tracy Rushing's home, what a great fundraising opportunity. Let's all turn out a great vote together! https://t.co/J9DpR1CdHX"
6,Women’s rights are human rights. Silence=Death
7,"Temporary tax breaks are not the answer. We have put ourselves into a position of dependence and we lack the gumption to stand up to those that take advantage of us. No more! We will have energy independence, we will bring manufacturing home and pay our workers a family wage."
8,"@waylonmenzia @washdems Thank you, we must all use our voices now more than ever."
9,"Summer Campaign Kickoff Sunday June 27th. in Yakima @ Single Hill Brewery from 5pm - 7pm. There will be music, food and of course beer. Join us! https://t.co/aMEQ20Jc7a"
10,"Tomorrow morning, June 26th, at 9am I will be in #WhiteSalmon at the White Salmon Baking Company. Come join me for a cup of coffee and some great baked goods. 

https://t.co/JUaqTNsQc4"
11,"A big shout out to Moses Lake #PRIDE. I was not able to attend in person, but I am there in spirit. Diversity and Inclusion makes us stronger. Divisiveness and Exclusion destroys our humanity. https://t.co/Jg00WW6wnp"
12,"Up on the newsletter:  come join our campaign celebration at Single Hill on Monday!  There's a lot worth celebrating.

https://t.co/MP3glGvd0N https://t.co/GBNiwtfrgT"
13,"It’s always great to rub shoulders with so many great, hard working people committed to their communities.  Thank you, Washington Dems! Now back on the road for a busy final stretch to the end of this quarter!  #Flipthedistrict #demsdeliver #riseandorganize #DougWhite4Congress https://t.co/Y1iNK1dRXX"
14,What a special evening welcoming Washington State Democrats to the 2022 convention with Tina Podlodowski and 3rd Congressional District candidate Maria Perez!  We’re getting the work done with our communities! #demsdeliver #flipthedistrict #DougWhite4Congress https://t.co/wKbm7Y1hTJ
15,"It is an honor to be able to address the Washington State Democratic Convention, and share how volunteerism and community outreach is helping my campaign.  We are diverse, people driven, powerful, and we're going to win! #Flipthedistrict #demsdeliver #DougWhite4Congress https://t.co/6FV8ntHjGn"
16,Today we witnessed the calamity of our government; the tail wags the dog. The Supreme Court decides our fate while congress lays in paralysis. All people are guaranteed equal protection under the constitution and I will not stop fighting until this is made true!
17,"The framers of the constitution intended to guarantee rights and protect people from oppression and undue influence of government or groups. Today these protections have been, temporarily, suspended. Our rights will not be denied. https://t.co/STXK4hOEdF"
18,Our workers can no longer afford to buy goods grown and made in America! We must bring our manufacturing home and invest in our infrastructure. https://t.co/lYYeYV5meF
19,Today I mailed another 500 thank you notes to generous donors. I am number 1 in the polls thanks to support from all of you. Donations go to voter registration and outreach. https://t.co/JsKM3EhPfH https://t.co/F1MsYmfFn6
20,#nobodyleftbehind I travel from the top of the district to the bottom. The same problems affect us all. Collectively our voice can not be ignored. I will bring our tax dollars home to invest in us! #dougwhite4congress https://t.co/DD4H1IhYH2
21,"Last night at a debate an opponent carried a weapon into a school. This is illegal and he argued that was he had assert his rights. A sheriff stood by and did nothing. This is how Uvalde played out. This is not ""Responsible' gun ownership. Be safe and sane!"
22,"#Bridgeport, I just got here and I am taking a look around this beautiful town about ready to knock and talk. https://t.co/rbcHEqvEyy"
23,Happy Father’s Day dad. My best travel partner. https://t.co/CcNYFjDRaT
24,I started today at  Columbia Basin Republican Women candidate forum. Next Yakima Juneteenth celebration in MLK park where I met the legend: Wilma Beauchamp. On to Yakima PRIDE where I was the only candidate with a booth. The people of this district are everything to me.
25,Yakima pride parade . 🏳️‍🌈🏳️‍🌈🏳️‍🌈 https://t.co/AMHKHzMWd3
26,I am here now and the event is about to start. It isn’t too late to join. https://t.co/BSIgC3RoA5
