Unnamed: 0,Text
0,"@innercitypress @antonioguterres Watching the Ukraine flag disappear from profiles while Russia escalates. Putin knew the attention span in tiktok times and Twitter detail.

From my friend in Kyiv: https://t.co/uFE5HhWBuh"
1,RT @carlbildt: Last night saw massive 🇷🇺 missile and air strikes against targets also in western 🇺🇦 and largely from bases in Belarus. Tu22…
2,The U.S. has lost interest. Please be aware Kyiv has been attacked. My friend there is giving me firsthand reports. Much worse than anything so far. Hits on high rise w casualties. https://t.co/CuPmidViuH
3,"@SamZawsum @VogueRunway And in case anyone wondered:
https://t.co/dDBQTSbctk"
4,"""Nothing is more precious than time, yet nothing is less esteemed by men.""
-- Saint Bernard of Clairvaux

""Money comes and goes; time only goes.""
-- ?"
5,"RT @Gormogons: CZ Let me explain what the SCOTUS decision is really about and why it's important.

Imagine you're arrested at home, and acc…"
6,@Valkyrie_Fleur @coyote_cares @AmSolidarity https://t.co/LAze56xv4P
7,"""The most famous woman in America,"" around 1904. Meticulous, accurate journalism. Usually cool, never shrieking, what media *could* be. Worth studying. Doris Kearns Goodwin wrote about her in The Bully Pulpit. Recommended for our times.

#IdaTarbell
https://t.co/TzdK7QiR0P https://t.co/WDq2ixKgjs"
8,RT @AmSolidarity: Sometimes a man falling off a bike is just a man falling off a bike. https://t.co/igAySyVfig
9,"""Here beneath these signs are hidden
Priceless things to sense forbidden; signs, not things are all we see."""
10,"@sofxsofxsofx I've certainly not fit that pattern. There weren't many, and some more memorable than others. Each was special in their own way, not like any other."
11,"It took time to stop the recovery from the pandemic. They have to destroy the economy first, then they can Build Back Better. Kinda like those stores that have high prices but put stuff on ""sale."" 

We might whip to the Right but we'll whip to the Left later.

Unless we stop. https://t.co/JB61iZC0Wx"
12,"The smells of history:
https://t.co/PaLPGPGpTH"
13,"""Cry out with a hundred thousand tongues. I see that the world is rotten because of silence."" 
-- Saint Catherine of Siena
Mystic, activist, author, and Doctor of the Church due to her great influence on the Catholic Church. Not a nun!

We've outsourced government to a few. Rise."
14,"RT @amyalkon: Wonderful article -- and thinking that applies to writers, too."
15,"@AmericanaMama_ At least the government didn't force the parents to let her stay home ;)

Parenting is hard.

They should have a talk together as adults."
16,"""In Search of Greatness."" Excellent documentary.

""All inventive and creative people are not hung up on fixed definitions of what any form of life or reality may be.""

Densely packed w wisdom.

Worth watching. Free on some streaming services. https://t.co/ch8erfs4xw"
17,Worth a look. https://t.co/5j7gLnSZIH
18,"""We all learn lessons in life. Some stick, some don't. I have always learned more from rejection and failure than from acceptance and success.""

-- Henry Rollins"
19,"I missed this one. Can't ""build back better"" without destroying the country first.
https://t.co/jBVvUfDfCY"
20,"Comparing the childhood and early adulthood of Teddy Roosevelt and William Howard Taft, with an eye to several others as well.

Maybe I'll write something for you.

Bad parenting by the privileged is far more dangerous than by the poor. The State will make an even worse parent."
21,"If you're frustrated w the political situation, take a look through these quotes. Then read Federalist Papers #63.

And consider subscribing at https://t.co/IlkBfUJCw6 - something new is coming.

https://t.co/jfjGk195XK"
22,"@KevinForBOS @KevinDaltonLA Can't ""build back better"" if they don't destroy the country first."
23,"A made-up dialect to feel superior?
https://t.co/WzpfZAXRE5"
24,"People are asking for a dictator. Trump and Biden both too weak to deliver. Provoking a war could allow a general to become that dictator. Or maybe some corporate head.

Voter turnout here was 18% and voters rejected the only nonpartisan. What's left? https://t.co/FUYmbm77Et"
25,"Some error, but with public trust plummeting, not good. https://t.co/WosAWLj6ew"
26,"@eigenrobot I feel like many actual humans couldn't pass a Turing test, let alone administer one.

Not sure an engineer is the best person to recognize sentience.

Kant says enlightenment is being free to express one's own thoughts, but with partisanship and media, is it possible?"
27,Worth reading. https://t.co/RcTL15Xyw9
28,"I'd wondered why there were three eagles... and learned the third was to rescue Smeagol/Gollum. Never said on the text, but knowing Tolkien and Gandalf, it makes sense.

Unless I've got this wrong? https://t.co/TNJkCH3f30"
29,"@goinggodward @JuliaJuliagulia I don't believe teachers should be ""shaping"" children until they are old enough to think critically. That's the parents' job. It's a cliché that teachers treat parents as stupid. Clichés usually have some base in reality.

Some influence is natural, but it can be a power trip."
30,https://t.co/gV4pAheBNx
