Unnamed: 0,Text
0,"RT @YadiraCaraveo: I’m honored to have received the endorsements of Reps. @JasonCrowCO, @JoeNeguse, and @Ed4Colorado. I look forward to joi…"
1,Congratulations to @pettersen4co!  Brittany will be a champion for hardworking families and represent our community well in Washington to build a bright future for all Coloradans. #CO07 https://t.co/pkqTqhDhSd
2,"I had the privilege of serving with Gloria Tanner for eight years in the State Senate. She was a good friend, a trailblazer and a force for good. She will be deeply missed and always remembered for her love of our community and mentorship to those around her. https://t.co/obulYLiBDS"
3,"RT @PolisForCO: .@Rockies, even @Ed4Colorado will tell you I’m ready for spring training⚾️ https://t.co/4nlzsF0Dbj"
4,I'm supporting @PolisForCO for re-election because he's turned bold ideas into real results for Colorado families. Let's keep Colorado moving forward by re-electing @JaredPolis! https://t.co/MexCLQJR0k
5,I've had the honor and privilege of representing Colorado's 7th District but now it's time for a new generation to represent our community in Congress. I endorse @pettersen4co because she's ready to step up and lead us into the future. #copolitics #CO07 https://t.co/3yE0CPxIsh
6,"After much thought and consideration, I have decided not to run for reelection. It’s been a privilege and honor of a lifetime to serve Colorado, the state I love and have always called home. https://t.co/42vwPpN3cQ"
7,RT @ArvadaChamber: The gift card drive to support victims of the Marshall Fire is now accepting donations at 19 locations across the metro…
8,"A year ago, the Capitol was stormed by insurrectionists hoping to inflict lasting damage. But we came back that night to affirm Joe Biden as our 46th President. We must defend and protect our democracy so all Americans have their voice heard and trust in our democratic process. https://t.co/kl52sn1S6R"
9,The support from our communities to the people of Superior and Louisville has been simply remarkable. Keep it going by visiting one of these Golden businesses on Friday giving a portion of their sales to the Boulder County Wildfire Fund. https://t.co/mx5kInzTN8
10,The fires in Boulder County are just devastating for so many families. Thank you to the first responders for your bravery and hard work in fighting these fires. Together we can help these communities rebuild. https://t.co/dxn9ud4b51
11,RT @WestyFire: Westminster Dog Park and the Meadow View community – near 107th and Simms – are in the current pre-evac area. 19 homes in Me…
12,RT @BroomfieldPD: UPDATE: 🚨🚨🚨 This is the most up-to-date evacuation map for @broomfield. Yellow is pre-evac and red is mandatory evac. @NM…
13,"There is a mandatory evacuation order in Broomfield between US-36 and 112th west of Wadsworth including Interlocken and a pre-evacuation order for Candelas, Leyden Rock, and Whisper Creek. Stay safe and follow all instructions from local authorities. #BoulderFire https://t.co/3BLoXGR7Gs"
14,Together we can help our community heal after the senseless violence earlier this week. My heart goes out to the families and friends of the victims and all those affected. https://t.co/5wEoRI6P74
15,"From my family to yours, have a happy and safe holiday season! https://t.co/1Cvy4OecRp"
16,Great to join the 7th CD Democrats to elect our officers from all across our new district! https://t.co/jEHYWTDX7K
17,The Build Back Better bill will lower the cost of health care and is the “biggest step towards universal coverage since the Affordable Care Act.”https://t.co/qJWyx1YgJM
18,This case is a direct threat to women’s reproductive health care. I will always stand up to ensure women have the right to choose what’s best for them and their families in consultation with their doctors. https://t.co/b7jb8cTUKk
19,"Happy Hanukkah to all who are celebrating! As you gather, may this be a time of joy to celebrate with family and friends. https://t.co/Omc7lnJUcY"
20,Happy Thanksgiving from my family to yours! I hope you have a happy and safe holiday. https://t.co/YGJumYyxk3
21,"I was proud to be at the White House today for the signing of the bipartisan infrastructure law. Communities across Colorado will benefit from this massive influx of resources for roads, bridges, water, airports, public transit, and much more. https://t.co/NDRFhS740H"
22,"Thank you to all the Veterans for serving our nation. I will always work to ensure you have the benefits, health care, and medals you earned for your service. https://t.co/lrpeR53Hsw"
23,"Proud to have passed this bipartisan bill delivering billions for Colorado including: 

🛣 $3.7 billion for highways+bridges 
🚌 $915 million for public transit 
🌐 $100+ million for broadband
💧 $688 million for water
✈️ $432 million for airports

https://t.co/hyVFyeqAh7"
24,"The new congressional map is finalized for Colorado and Republicans have added me to their list of targets for the next election. 

This is a 50-50 district and I need your help to reach hundreds of thousands of new voters. 

Chip-in today at https://t.co/Enq3h1CvOR. https://t.co/wffrmtFXYJ"
25,Happy Election Day! Make sure to drop off your ballot or vote in-person by 7 PM tonight. Visit https://t.co/PZJDFqPtl5 to find your closest voting location!
26,I’m excited to meet the many voters who live in the incredibly beautiful new 7th CD. https://t.co/8G9m9OMdpL
27,"Great to be in Thornton yesterday supporting Kathy Henson, Roberta Ayala, Kate Miya, and Karen Bigelow for City Council. Get those ballots in before Tuesday! https://t.co/W2SU1ogI17"
28,"Today is the last day to mail your ballot back to ensure it arrives in time! After today, make sure to either drop off your ballot or vote in-person. https://t.co/MRHfn8kOEu"
29,Rocky Flats nuclear workers sacrificed their health and lives for our nation during the Cold War and deserve adequate care and compensation. I’m honored to have received this award for my work to ensure the federal government helps these workers. https://t.co/NpcQ68h0DD
30,"Wonderful night to be knocking doors with Rebekah Stewart, Wendi Strom, and Tom Keefe for Lakewood City Council. Make sure to get those ballots in! https://t.co/UNLMaLLShq"
31,This is good news and will make a big difference for seniors receiving Social Security benefits. We must continue to work to strengthen Social Security for future generations and provide the support seniors deserve. https://t.co/2UhwDfB3I5
32,"Beautiful morning to knock doors for Danielle Varda, Paula Reed and Mary Parker for Jeffco School Board with @JCEAColorado! Danielle, Paula, and Mary have the experience and skills to ensure our students and teachers thrive. https://t.co/wd9irWv1jc"
33,"I’ve heard from teachers, nurses, and other public servants about the challenges they’ve faced qualifying for the Public Service Loan Forgiveness Program. This is a much-needed overhaul to fulfill our promise to public workers serving our communities. https://t.co/lZJPAxLH57"
34,"Happy National Voter Registration Day! Visit https://t.co/R3XjAbbdMb to register to vote or update your address for the November election for school boards, city councils, and other local initiatives important to our community! https://t.co/DjAjDBJhfR"
35,Thank you to @jeffcolatinodem for all your hard work engaging the Latino community and electing Democrats up and down the ballot. Congratulations to all the honorees today! https://t.co/UOGSmUrFsG
36,Beautiful morning to stop by the Arvada Farmers Market with @BriannaForCO. Great to catch up with some of the vendors and buy some pickles! https://t.co/bCU0h6JgPx
37,"Welcome to Jeffco and NREL, President @JoeBiden! We must take action on climate change by passing both the #BuildBackBetter plan and the bipartisan infrastructure bill. Together we can create good-paying jobs and address the urgency of climate change. https://t.co/Ov8VUw1cLV"
38,"Today we remember all those we lost on the 20th anniversary of 9/11: husbands, wives, parents, friends, neighbors, coworkers. We will never forget the bravery of our first responders who gave their lives to save others. https://t.co/4FCCJkovKQ"
39,L’Shana Tova! Wishing all those celebrating a sweet and healthy new year. https://t.co/7tgOfRlzob
40,"Today we celebrate and honor American workers who put it all on the line fighting for better rights for all of us. Thanks to unions and the labor movement we have a strong middle class, a fair minimum wage, paid leave policies, and so much more. Happy Labor Day! https://t.co/4A6qXvXtcV"
41,Reproductive rights are under attack after the Supreme Court refused to block a ban on abortion in Texas. We must pass the Women’s Health Protection Act in Congress and ensure we maintain our pro-choice majorities at the state level here in Colorado.  https://t.co/tKbht70LKX
42,What a wonderful day for the Wheat Ridge Carnation Festival parade! Great to see so many friends and supporters out there today. https://t.co/rRtlTF2G4e
43,We’re seeing the impacts of climate change here in Colorado with our area having some of the worst air quality in the World and mudslides closing I-70 in Glenwood Canyon. We must take action on climate change to preserve our planet. https://t.co/SluKUE7pk9
44,Congratulations to all the Coloradans representing our nation in the Olympics! We are so proud of all your hard work and determination to compete with the best from all over the World. https://t.co/Q98Y5JuCr8
45,Devastated to hear of Richard Trumka’s passing. Richard was a champion for working families and we will miss him dearly. https://t.co/YXj5dccM6I
46,Today’s the first day that many families across Colorado will receive monthly child tax credit payments. This is a testament to the hard work of so many including @MichaelBennet to help end child poverty &amp; help working families. https://t.co/UthxWJS4Ba
47,"We must pass an infrastructure bill to rebuild our nation’s roads, bridges, electrical grid, water systems and so much more. Great to join Carpenters Local 555 this evening to hear from them on the issues facing our communities. https://t.co/giij20YjsN"
48,"Today, it's crucial that we uphold the ideals that our founders wrote in the Declaration of Independence: We are the home of the free and land of the brave. Have a safe and happy Fourth of July! https://t.co/ATLv7WyJ4a"
49,Congratulations to Annie Kunz for qualifying for the Olympics! You’ve got the 7th CD behind you. Best of luck! https://t.co/YkQBeUyzG2
50,"The Affordable Care Act is here to stay ensuring we keep protections for folks with pre-existing conditions and much more. Let’s build upon the ACA to ensure health care is a right and folks can have access to quality, affordable health care. https://t.co/rpKjD1Gk5s"
51,Many of us during the pandemic started new projects including the Goeke family in Lakewood who created a board game called Canoosh! Great to see folks here in the 7th CD making the best of this challenging year. https://t.co/9vpgui1Mlw
52,"Congratulations to Justice Regina Rodriguez on your bipartisan confirmation as Colorado’s newest district court judge. Thank you to @MichaelBennet and @Hickenlooper for supporting her nomination as she will be a fair, devoted justice to the rule of law. https://t.co/e2XpgFOoih"
53,The expanded Child Tax Credit in the American Rescue Plan will be arriving next month for many Colorado families. This monthly tax credit will help hardworking families receive up to $300 per child per month. https://t.co/mfsVoqqRtl
54,Today we remember those who gave their lives to protect our country. Thank you to the Commerce City Veterans Commission for your wonderful ceremony commemorating Memorial Day. https://t.co/JOXvEhr1fH
55,It’s incredibly disappointing that Senate Republicans put their party over our country and our democracy. We must have a full investigation to ensure something like the January 6th attack never happens again. https://t.co/AExSAguXyZ
56,Our communities have suffered from too many instances of gun violence in schools. This bill helps ensure we keep our schools safe but don’t traumatize students in the process. https://t.co/4cpoIoKgpf
57,"The American Rescue Plan’s aid will be transformative for our state. Together we can invest in our communities, help recover from COVID-19 and build back better. https://t.co/ZwXU1icnqI"
58,The spike in anti-asian hate crimes is incredibly disturbing and must end. Proud to have taken this important step to #StopAsianHate. https://t.co/XH5ViS23Yo
59,House Republicans refusal to support this bipartisan deal for a commission on the Capitol attack is outrageous. We need to come together to investigate what happened and make sure it never happens again. https://t.co/2YuZeGnLOj
60,"Thanks to the American Rescue Plan, Colorado counties, cities, and tribal areas will receive ~4 billion dollars to invest in our communities. Whether to support our economies, public health, infrastructure or more, these funds help us build back better. https://t.co/wTAL72Es5u"
61,"Happy Mother’s Day to all the mothers and to my mom Alice, wife Nancy, daughter Abby, and sister Cassie! https://t.co/ATA0ugkwLB"
