Unnamed: 0,Text
0,"RT @mdial: Building a Culture of Empathy with Empathy Activist, @EdwinRutsch

The power of #empathy to bridge divides in society and in pol…"
1,"RT @mdial: Building a Culture of Empathy with Empathy Activist, @EdwinRutsch

The power of #empathy to bridge divides in society and in pol…"
2,"RT @mdial: Building a Culture of Empathy with Empathy Activist, @EdwinRutsch

The power of #empathy to bridge divides in society and in pol…"
3,"@nytdavidbrooks more on empathy: Empathizing with Racism: Daryl Davis &amp; Edwin Rutsch
https://t.co/FefN9KNKtK  In this dialogue we talked about the role of empathy in Daryl 's work &amp; describes his process of how to effectively listen to, understand, dialogue with people. https://t.co/J4Xt7A5kjv https://t.co/K9syp00kp5"
4,"@nytdavidbrooks Empathy Erosion &amp; Empathic Re-humanization: Here is a video of  Successfully Mediating  Conflict Between Political Left v Right with Empathy https://t.co/S81RTHFLkm

Edwin Rutsch for U.S. Congress 
Director: Center for Building a Culture of Empathy
Leading the Empathy Movement"
5,"@nytdavidbrooks Hilary Clinton on the importance of empathy.
Edwin Rutsch for U.S. Congress 
Director: Center for Building a Culture of Empathy
Leading the Empathy Movement.
https://t.co/SrEpmUFOZi https://t.co/OwTrcgIsL6"
6,"@nytdavidbrooks A lot of politicians are talking about empathy but do not seem to have the tools for empathic cultural change. Comments by Obama. 
Edwin Rutsch for U.S. Congress 
Director: Center for Building a Culture of Empathy
Leading the Empathy Movement.
https://t.co/SrEpmUFOZi https://t.co/s24y1voB7V"
7,"@nytdavidbrooks Some more comments about benefits of empathy from Simon Baron-Cohen  
Edwin Rutsch for U.S. Congress 
Leading the Empathy Movement.
https://t.co/SrEpmUFOZi https://t.co/ajUIjAj37Y"
8,"@nytdavidbrooks ""experiencing the news these days lead to empathy erosion?""  we need to build a culture of empathy. that is what my congressional campaign is about. Building the Empathy Movement. https://t.co/COz0NYWpy3"
9,@ballotpedia  I updated my BallotPedia page  https://t.co/ItRVfSsz5K
10,"@rayalexsmith @WSJ Ray. you may be interested in 
Edwin Rutsch Candidate for Congress  CD-08: https://t.co/s2hHEyDKgj  
Director: Center for Building a Culture of Empathy: https://t.co/iIa9VdsD4r 
https://t.co/HTRVrRckJD 
https://t.co/tJ7ZdxfeyH
https://t.co/v1BVMmIvMC https://t.co/LZE9X09GrE"
11,"@luiza_a_santos here is an example of using empathy to bridge political divides. Edwin Rutsch &amp; Empathy Tent Team Successfully Mediate Conflict Between the Political Left v Right see https://t.co/uV5rqYvlya
We use the Empathy Circle process to bring the sides together https://t.co/NEGJFjlQ3I"
12,"I  advocated for the Empathy Movement at this event last night.  Help build the empathy movement to collaboratively design solutions to heal the personal, social and political divides in our communities. https://t.co/SrEpmUFOZi https://t.co/5SxdDeWLZb"
13,"Here is my next Forum for Congress.  Again I'll be advocating for the EMPATHY MOVEMENT.  They even have me with my Empathy T-shirt in the promotion flyer.
League of Women Voter's Forum: Congressional District 8 Candidate Forum  https://t.co/FMD0h4nV5R https://t.co/vRph9VbVpq"
14,"RT @larrylawhorn: Interfaith Empathy Cafes – Religious and political polarization are tearing our families, communities, and country apart.…"
15,"Day 2, for an interactive training session of community members and police professionals engaging very specific empathy skills which makes listening much more effective.  April 27, Wednesday: RSVP: https://t.co/m9XWV1xbrR https://t.co/QZcerjTmWr"
16,"Join Police2Peace and the Center for Building a Culture of Empathy for an interactive training session of community members and police professionals engaging very specific empathy skills which makes listening much more effective. April 25, Monday: RSVP: https://t.co/YlX6wQ7ps0 https://t.co/CeK0XTf0cK"
17,"Edwin Rutsch invites fellow CD-08 U.S. Congressional Candidates to take part in an Empathy Circle dialogue with fellow candidates. Our Topic: How Might We Bridge Personal, Social &amp; Political Divides in Our Communities and Country? https://t.co/pPlnwff8f1 https://t.co/DLYFlrASlE"
18,RT @LidewijNi: We managed a short(ish) overview! #empathy
19,"RT @EmpathyUprise: In this month's #solidarists, Full Circle, we #shinealight on closing the #empathy gap through listening to learn with @…"
20,"Out Book Club Continues every week.
#6: 'On Tyranny’ Democracy Circle Book Club:
   11: Investigate 
  12: Make eye contact and small talk
https://t.co/RDI1BfjrM6 https://t.co/LoqfWwtCMQ"
21,"RT @ListenFirstProj: At #SOTU, @JoeBiden said, ""Stop seeing each other as enemies and start seeing each other for who we are: fellow Americ…"
22,"Come join me this Saturday for an introduction to the campaign and to see how you can get involved. 
 Intro to the Edwin for Congress Empathy Campaign
https://t.co/uBjaDyiCxQ
Visit the campaign website at: 
https://t.co/s2hHEymHej https://t.co/Lud1lpLclX"
23,"Join me at the Intro to Edwin Rutsch for Congress Empathy Campaign: Sat. Feb 26, Mar 5, 12+  https://t.co/kJpMv15qOd  Together we can build a culture based on mutual empathy and care. https://t.co/ll7YiI6Lbs"
24,"@amyewalter @CharlieCookDC @CookPolitical @nationaljournal Amy, If you are interested in real empathy in politics see Edwin 'Empathy' Rutsch for U.S. Congress. bridging our personal, social and political divides.  The Empathy Candidate    https://t.co/s2hHEymHej https://t.co/0SUfkYMoMZ"
25,"@amyewalter Amy, If you are interested in real empathy in politics see Edwin 'Empathy' Rutsch for U.S. Congress. bridging our personal, social and political divides.  The Empathy Candidate    https://t.co/s2hHEyDKgj https://t.co/gdZSXFOvvR"
26,"Authoritarianism and tactics that undermine and destroy democracy are happening in the USA and around the world.  https://t.co/wHS4fU1aIN
#4: 'On Tyranny’ Democracy Circle Book Club
* Feb 12 (Ch. 7-8) 
 7: Be reflective if you must be armed 
8: Stand out https://t.co/bnvts9wxlq"
27,"Best Empathy Training: Cohort 13.D: Module 1: Session 3 of 5
https://t.co/0UCNDmu2vw"
28,"@marwilliamson Marianne, you had supported our Building a Culture of Empathy message. We are taking the message to Congress. https://t.co/s2hHEyDKgj   CD-08 https://t.co/khRiNtZtY0"
29,"@marwilliamson You may find our CD-08 Congressional Campaign for Building a Culture of Empathy of Interest. https://t.co/s2hHEyDKgj
Edwin Rutsch
Director: Center for Building a Culture of Empathy
https://t.co/iIa9VdsD4r 
https://t.co/HTRVrRckJD 
https://t.co/tJ7ZdxfeyH
https://t.co/v1BVMmIvMC https://t.co/HqU6pOHzpU"
30,"@LACaldwellDC Regarding ""Empathy, not argumentation,"" I'm taking this to heart and am running as the Empathy Candidate. https://t.co/YQtfKLdIEo
Edwin Rutsch - Director: Center for Building a Culture of Empathy  
https://t.co/iIa9VdsD4r 
https://t.co/HTRVrRckJD 
https://t.co/tJ7ZdxfeyH https://t.co/xsEvmUuN5y"
31,"#2: 'On Tyranny’ Democracy Circle Book Club
WHY: We want to support democracy.
3: Beware the one-party state - 
4: Take responsibility for the face of the world

RSVP: https://t.co/2VOYN66kDH
 Facebook Event: https://t.co/85hDJchIjM 
LinkedIn Event: https://t.co/f5SCvOa2gl https://t.co/77VciluVL0"
32,"#1: 'On Tyranny’ Democracy Circle Book Club
1. Do not obey in advance  
2. Defend institutions

Join RSVP: https://t.co/2VOYN66kDH
LinkedIn Event: https://t.co/f5SCvOa2gl
Facebook Event: https://t.co/85hDJchIjM https://t.co/NvZIcgR0S8"
33,"RT @EdwinRutsch: @TimothyDSnyder Video of #1: 'On Tyranny’ Democracy Circle Book Club: 
* Jan 22 (Prologue, Ch. 1-2) 
. . LESSON 1: Do not…"
34,"@TimothyDSnyder Video of #1: 'On Tyranny’ Democracy Circle Book Club: 
* Jan 22 (Prologue, Ch. 1-2) 
. . LESSON 1: Do not obey in advance
. . LESSON 2:  Defend institutions 
Join us RSVP: https://t.co/2VOYN66kDH
 https://t.co/YvVhvbtfIR"
35,"@RealTimers @TimothyDSnyder @billmaher @RepRitchie @bariweiss @HBO @hbomax Still room in 'On Tyranny’ Democracy Circle Book Club, Starts Sat. 22 RSVP: https://t.co/2VOYN66kDH
 LinkedIn: https://t.co/f5SCvOa2gl
 Facebook: https://t.co/85hDJchIjM
 Everyone &amp; all points of view are welcome Everyone will be heard to their satisfaction https://t.co/wXW1uMhQh0"
36,"@RealTimers @billmaher @TimothyDSnyder @RepRitchie @bariweiss @HBO @hbomax Still room in the 'On Tyranny’ Democracy Circle Book Club: starts this Saturday Jan 22, for 10 weeks.
RSVP https://t.co/2VOYN66kDH
Facebook: https://t.co/85hDJchIjM 
LinkedIn: https://t.co/f5SCvOa2gl https://t.co/9iSHkB0pf9"
37,"RT @anitanowak21: ""Empathy is one of the most critical skills to adopt an intersectional view. [...] Purpose gains in relevance and empathy…"
38,"RT @anitanowak21: ""Most companies are focused on short-term gains while forgetting the importance of empathy and leadership in the workplac…"
39,"@MehdiHasanShow @TimothyDSnyder Still room in the 'On Tyranny’ Democracy Circle Book Club:  RSVP https://t.co/2VOYN66kDH
Facebook:  https://t.co/85hDJchIjM 
LinkedIn: https://t.co/f5SCvOa2gl
 Everyone &amp; all points of view are welcome &amp; will be heard to their satisfaction https://t.co/MDijgdpSKJ"
40,"@TimothyDSnyder @amanpour @DorisKGoodwin Still room in the 'On Tyranny’ Democracy Circle Book Club: RSVP https://t.co/2VOYN66kDH
- Facebook: https://t.co/85hDJchIjM 
- LinkedIn: https://t.co/f5SCvOa2gl
WHY? 
We want to support democracy. 
Authoritarianism tactics that undermine democracy are happening in the USA https://t.co/ZpQV95h5YJ"
41,@joe_rigney The invitation to dialogue about the nature and benefits of empathy is till open.  We need more empathy in schools. https://t.co/8gNAxjJkrn
42,"@joe_rigney What does reason feel like? - empathy circle dialogos about the embodied experience of reason.  
Edwin Rutsch facilitates an empathy circle for dialogical exploration of what reason feels like. Empathy circling is a practice for entering into dialogos.  
https://t.co/0clHpOKBPb"
43,What does reason feel like? - empathy circle dialogos about the embodied... https://t.co/PHHL2LEOSV via @YouTube
44,"@TimothyDSnyder @andersoncooper @AC360 @CNN Join us in the 10 week 'On Tyranny’ Democracy Circle Book Club https://t.co/2VOYN66kDH
- -  LinkedIn Event: https://t.co/f5SCvOa2gl
- -  Facebook Event: https://t.co/85hDJchIjM https://t.co/S54DkyeCU7"
45,"@TimothyDSnyder Join us in the 10 week On Tyranny’ Democracy Circle Book Club https://t.co/2VOYN66kDH
- -  LinkedIn Event: https://t.co/f5SCvOa2gl
- -  Facebook Event: https://t.co/85hDJchIjM https://t.co/9DTfo94idB"
46,"Empathy is the skill that keeps growing:  ""empathy is like a muscle that strengthens with use."" https://t.co/LVT1p3rSKX  
#EmpathyCircles: A highly effective #Empathy building practice. https://t.co/HTRVrRtW8d    
#EmpathyTraining: https://t.co/v1BVMmqUV4 https://t.co/TGgn4k2zXj"
47,"For Greater Empathy, Improve Your Listening Skills: Here’s How https://t.co/BKfVmaZGxu  #EmpathyCircles: A highly effective #Empathy building practice. https://t.co/HTRVrRtW8d    
#EmpathyTraining: https://t.co/v1BVMmqUV4 https://t.co/7O3xCcJ3Sd"
48,"Dr. Dan Siegel - Dissolving Borders Through Empathy https://t.co/ykbIxqJHd5  #EmpathyCircles: A highly effective #Empathy building practice. https://t.co/HTRVrRtW8d    
#EmpathyTraining: https://t.co/v1BVMmqUV4 https://t.co/lNc1rSTVqQ"
49,How to Become a Better Listener https://t.co/Th4hBlOBq8 https://t.co/FTJabLaCB9
50,"@joe_rigney Are you against empathy in Marriage?
THE VALUE OF EMPATHY IN MARRIAGE  https://t.co/xzjDH3maaq  ""Understanding the importance of empathy in marriage is a major asset to a healthy Christian marriage. Oftentimes, this topic gets overlooked or not talked about at all"" https://t.co/2LJCcFj4UZ"
