Unnamed: 0,Text
0,"@DeadlineWH @brhodes @NicolleDWallace We told you so... #January6thCommiteeHearings
https://t.co/FTKSFV3IHC"
1,@DeadlineWH @brhodes @NicolleDWallace D'UH!! We told you so... https://t.co/mFpc1LORfY
2,"Remember this??? 🙄
#January6thCommiteeHearings #MarkMeadows https://t.co/wKPT0SMv3x"
3,RT @ruthbenghiat: Protest is powerful: that is why authoritarians criminallze it. They rough people up &amp; arrest them to dissuade others fro…
4,RT @duty2warn: Ted Lieu: “They all lied to the American people in order to get confirmed.”
5,"#NATO #BREAKING
https://t.co/r92riJPbsF"
6,#RoeVsWade #VoteBlueToProtectWomen https://t.co/HI7gNkKBVY
7,#RoeVsWade #RoeVsWadeOverturned https://t.co/6yFLvW3o7y
8,2. Brett Kavanaugh https://t.co/wIZwM5B7lM #RoeVWade
9,"Let's not forget there are TWO Justices on the Supreme Court - one accused of sexual assault and one accused of sexual harassment - now trying to control women's bodies. 
1. Clarence Thomas
https://t.co/i2VGVRjSTh #RoeVsWade"
10,".@JoeNBC
So Republicans no longer support corporations??? This is Joseph McCarthy on steroids! #RoeVsWade
https://t.co/IZRbmlZA2N"
11,"@Morning_Joe @morningmika As a provider myself, I don't understand. Licensure mandates ethical conduct that directly conflicts w these abortion bans. Why are we not hearing from the @AmerMedicalAssn and other trade associations that represent medical practictioners???"
12,@AliveandVaxxed @TuraGypsyRobin @Morning_Joe @JoeNBC @harrisonjaime @SenGaryPeters @RepSeanMaloney Interesting idea.
13,"Funny... there are meds to enhance male performance but no meds to protect women from it. #RoeVsWade
#RoeOverturned
https://t.co/EPzIlOKPvv"
14,RT @C1985Bears: @AOC https://t.co/eumN3oY6MV
15,"RT @AOC: And if you are a lawmaker who, in the time between the leak &amp; ruling, spent more manpower on a fundraising plan than a policy resp…"
16,"RT @AOC: We have been sounding the alarm about this for a long time.

Some may want to go after the messenger, but we simply cannot make pr…"
17,@GQP_Predateli @Morning_Joe @SenAmyKlobuchar @JoeNBC @morningmika @clairecmc @MalloryMcMorrow Good point.
18,This is what I suggested. Women need to go on strike. https://t.co/ibeA2ylLHu
19,"RT @AOC: - Restrain judicial review
- Expand the court
- Clinics on federal lands
- Expand education and access to Plan C
- Repeal Hyde
- H…"
20,@Morning_Joe @SenAmyKlobuchar How much you wanna bet local Republican candidates are circumspect or even lie to voters about their party's intentions. They know these extremist views are unpopular.
21,"@Morning_Joe Preach @TheRevAl!! Like JFK courageously did in his inaugural speech, we need more leaders challenging Americans who don't vote and stay informed: democracy is not a spectator sport. It only works if you participate."
22,"@Morning_Joe @morningmika I'm also angry at an apathetic electorate who claim there's no difference between Democratic and Republican candidates, who don't bother to vote, who don't follow the news. The American people have the ultimate power but too many have abdicated that power. #RoeOverturned https://t.co/Mmo27jXCSP"
23,"@Morning_Joe @JoeNBC Given all the voter suppression laws in Republican-led states already passed, can we be sure Democratic candidates won't lose even when they win??? @harrisonjaime @SenGaryPeters @RepSeanMaloney"
24,".@PPact BRAVO. #femalepower
https://t.co/Ye1xJLiSwd #RoeVWade"
25,"So much for states rights. 🙄 #RoeVsWade #RoeVWade
https://t.co/kurNHy9Jat"
26,"@123_INFO_USA Why would Rep. Miller think ""White Life"" was even in the speech?"
27,Republicanism - the practice of distorting laws for a personal agenda. Kinda defeats the purpose of having laws. 🙄 #RoeVsWade #GunViolence
28,"But I thought Republicans were for states rights and supporting police officers... 🤔🤔🤔
https://t.co/MGSwt4SrHQ #GunViolence"
29,@MeetThePress @Peggynoonannyc @KimberlyEAtkins Peggy seems to have forgotten Republicans don't care what women think. 🙄 #RoeVsWade #RoeVWade
30,"Regardless of SCOTUS, Republicans havemade it clear they trust women to make a life-and-death decision with a gun but not with their own bodies. #RoeVsWade #RoeVWade"
