Unnamed: 0,Text
0,RT @csogalvin: Thank you @ElaineLuriaVA for stopping by our @MomsDemand Virginia Beach/Norfolk group tent today at #Pridefest 🏳️‍🌈🏳️‍⚧️ #di…
1,RT @vabeachdems: Thanks for stopping by our #HRPrideFest tent today @ElaineLuriaVA ! #DemsUnited  #TeamElaine https://t.co/vyVEcBJzMm
2,What are they coming for next? We have a lot of freedoms to still fight for @HRPrideVA https://t.co/Q42S3f7zNt
3,And there it is. Republicans in Virginia have a plan to remove existing protections for women to make decisions about their body. https://t.co/8BUqm0auX8
4,"Today’s decision to overturn Roe v. Wade is a blow to women’s rights and protection from government overreach. 

The government has no place in the health care decisions of women, and we must pass laws to codify reproductive freedom and protect the right to choose."
5,"VA02: When you go to the polls in November, ask yourself which of the candidates would have been in that meeting."
6,"ICYMI: Last night, I officially became the Democratic nominee for Virginia’s Second Congressional District. 

Chip in today ➡️➡️➡️ https://t.co/4tR866RjNV https://t.co/UEUYp7UQ6a"
7,"Now is the time to put people over party and politics.  

I will continue to be an independent voice in Congress to strengthen our national security, protect our democracy &amp; find real solutions that combat rising costs for Coastal Virginians. 

Chip in! https://t.co/4tR866zIWn"
8,"When your daughter wants cosplay, you make it. https://t.co/LE4Y86Ccc5"
9,Great to stop by Pride in the ‘Peake this afternoon! #Pride https://t.co/Q2lhxb3F6i
10,"Yesterday, I joined @PodSaveAmerica to discuss the Select Committee’s findings in the third public hearing and what to expect as we continue to tell the American people the truth about January 6th. https://t.co/9hjgW7oozm"
11,"RT @CNN: ""It was a very dangerous situation for the vice president.""

House January 6 committee member Rep. Elaine Luria talks to CNN's @wo…"
12,"RT @DeadlineWH: ""[Pence is] sitting on the edge of the car...it's the only place he has to sit, but he is literally taking a stand...he is…"
13,"RT @1a: ""There's clear evidence one can see of criminal activity.  We'll issue a report that will be viewed by the American people. Hopeful…"
14,RT @MeetThePress: WATCH: @RepElaineLuria (D-Va.) says Jan. 6 hearings will focus on what former President Trump was not doing during the Ca…
15,RT @LACaldwellDC: .@ElaineLuriaVA on @MeetThePress says that the first Jan6 hearing showed Trump “ignored” that he lost the election and to…
16,"When I was 17 years old, I took an oath to support and defend the Constitution of the United States against all enemies, foreign and domestic. 

I have taken this oath many times in my life and it’s one that I will continue to live up to. https://t.co/02mBswGIHo"
17,"RT @DeadlineWH: ""From what I've learned over the work in this in the last year and a half, all of this makes the hair on the back of my nec…"
18,"RT @Morning_Joe: .@RepElaineLuria on being a Jan 6 committee member serving a red leaning district: ""Getting to that information, finding o…"
19,Congrats to my good friend and former Commodore — Admiral @FrankenforIowa — for becoming the nominee for US Senate in Iowa! https://t.co/lb7D4k6Hja
20,"As someone who served in uniform for 20 years, the work of the January 6th committee is serious and essential to protecting our democracy. 

This investigation has never been about politics, it’s about doing what’s right. https://t.co/mnK32uEDxz"
21,#WeWearOrange to honor those we have lost to gun violence and the survivors who live with the scars every day. May we take a moment today to remember everyone impacted by gun violence and recommit ourselves to taking action.
22,Always great to stop by and chat with the Democratic Women’s Club of Coastal Virginia. Thanks for your enthusiastic support and dedication to keeping #VA02 blue! https://t.co/sa7jmJAGMK
23,"Happy #PrideMonth! 

There is still work to be done, and I will continue to fight for full equality and LGBTQ rights for our friends and neighbors. https://t.co/Jd2PGmtgO5"
24,"Thinking about those we lost on the third anniversary of the Municipal Center shooting in Virginia Beach. 

May we honor their memories by coming together and taking action to end gun violence and mass shootings.

https://t.co/fXsmAke2rL"
25,"May we all take a moment on this #MemorialDay to honor those who gave their last full measure of devotion in service to our country. 

Let us never forget their sacrifice and the true cost of freedom."
26,Thank you to Councilman LeOtis Williams for hosting an incredible meet &amp; greet in Suffolk this afternoon! https://t.co/UEgOEAhfSl
27,"As a mother, I am sad that I have to explain to my daughter what happened in TX. 

As a lawmaker, I am mad that we are incapable of stopping the epidemic of gun violence in our country. 

As an American, I am heartbroken that another community has to face a senseless tragedy."
28,Guess I won’t be going to Russia for the rest of my life.  Permanently banned for supporting Ukraine. 🇺🇦 https://t.co/z5Ere2wLUj
29,"RT @PortofVirginia: This morning, Stephen Edwards, and @USACEHQ Norfolk District commander Col. Brian P. Hallberg signed the agreement comm…"
30,"Congress must do more to support MST survivors and military families, and I look forward to working with my colleagues in the Senate to get the MST Claims Coordination Act to the President’s desk and passed into law. https://t.co/5XC6wp4Nuo"
31,"RT @NewDemCoalition: MUST READ: New Dem Chair @RepDelBene via @Newsweek 

""New Dems are a key line of defense against extremism. We take th…"
32,"RT @NWSSevereTstorm: Severe Thunderstorm Warning including Virginia Beach VA, Norfolk VA and  Chesapeake VA until 2:45 PM EDT https://t.co/…"
33,It was a pleasure to attend and speak last night at the @vademocrats Blue Commonwealth Gala! Everything is on the line this year and it will take all of us across the Commonwealth to hold that line and protect our freedoms and this country we love. https://t.co/TdqJmBwBlk
34,RT @vademocrats: “Everything is on the line in these Congressional elections.” - @ElaineLuriaVA https://t.co/PZDVR5F1g5
35,"RT @FoodbankSEVA: Your #givelocal757 donation makes a difference!🧡There’s still 8 hours left to help us reach our goal. So far, you have he…"
36,Thanks to everyone who came out tonight for our meet &amp; greet in Cape Charles. Special thanks to Buck for hosting and for sharing his famous gumbo with all of us! #VA02 https://t.co/Qx8pLdzqbr
37,"The Bipartisan Infrastructure Law once again delivers for Hampton Roads. 

The Chesapeake Bay is essential to Coastal Virginia’s economy and environment, and I am proud to continue investing in its restoration and conservation.

https://t.co/zRQI7CsOMI"
38,"RT @virginianpilot: Virginian-Pilot Editorial:

Hurricane season is quickly approaching. Don’t wait until a system is bearing down on Hampt…"
