Unnamed: 0,Text
0,"@JBeachFerrara ran this race with integrity, grace, and grit. She was a true friend on the campaign trail and I look forward to supporting her in the General. 

Congratulations Jasmine! I know you’ll make us proud. 

#NC11 #ncpol"
1,"First thing tomorrow, we put the primaries behind us and join forces. Can you kick in $11 to jumpstart organizing for rural Dems all across #NC11 ? https://t.co/2wgA4XLusY"
2,"The amount of dark money flowing into these races is eye-popping. Even the most robust grassroots operations are easily drowned out by a single Super PAC. It's not right.

Your vote is YOUR voice — it's the most powerful tool we've got! Get to your polling station by 7:30pm, NC!"
3,"THE POLLS ARE OPEN, NORTH CAROLINA! 

Have you cast your ballot yet? 

https://t.co/sX4fJXZuuV"
4,"P.S. My name may no longer be on the ballot, but there's still work to do here in the mountains. Every dollar stays in our rural district to help the @nc11dems train + mobilize volunteers and voters to move that needle. Let's go! https://t.co/2wgA4XLusY"
5,"THANK YOU ALL for the kind messages asking after my mom. We're still taking things one day at a time but spirits are high!

That said, it's time to get out and VOTE, NC! Primary Day is TOMORROW. Check your sample ballot + polling location here &gt; https://t.co/N4XKZTtZJX"
6,"Woke up reinvigorated and ready to fight for a better future for our country. 

Anyone else?"
7,"Thank you, President Biden."
8,"After all that back and forth, Cawthorn is returning to our district. 

For me, deciding to run was never based on whether the district was gerrymandered to my liking or not. We need someone who puts voters ahead of their political aspirations. 

Let’s go, #NC11"
9,"Too many WNC families can't afford to live where they grew up. Asheville's rental prices are already the highest in the state &amp; regional demand continues to skyrocket.

Congress MUST enhance the Low Income Housing Tax Credit to help build more affordable units where needed. https://t.co/xnDyM15Y0g"
10,"Biden's Infrastructure bill includes $2B for cyber security, addressing high-risk targets in the US energy sector from electric to oil &amp; gas distribution.

Not only did Cawthorn vote No, he threatened to ""primary the hell out of"" any R who voted for it."
11,"Listen, I hate asking for money. Every candidate hates asking for money. But this has to stop. 

Our voter outreach staff make $18/hr and I want to bring on more of them. Can you chip in a few bucks to help grow the team? https://t.co/043zBtjeln"
12,"If your first response to the Russian invasion was to take a potshot at the President for ""likes"", you don't get to decide who's a patriot. 

We have to stop treating public office like reality TV. Our district needs a real leader. https://t.co/4TQTXJeJwW"
13,"Despite state-funded propaganda, the Russian people are pushing back on the invasion. 

They know the people inciting war and the people who suffer the consequences are almost never the same. https://t.co/bSc87u8S3q"
14,"I can’t stop thinking about the Ukrainian children who wore stickers with their blood type to school in preparation of Russian attacks. 

I stand with Ukraine and I pray for the safety and strength of her families. https://t.co/jEpCGr95kX"
15,"I was born and raised in NC-11. I've watched folks like Madison Cawthorn use my home district as a safe seat to launch political careers for too long. 

We've got competitive maps now. Time to get off the sidelines and compete! https://t.co/egbVNlMl3J"
16,"A whole generation was told the key to financial security was a college degree, and subsequently dealt two 20yr wars, the Great Recession, and the Covid pandemic. 

We need to reshape our economy. $10k cancelled debt across the board is a great place to start."
17,John Lewis would have turned 82 today. Celebrate his life and contributions with a little Good Trouble. https://t.co/fQbB5cHwzT
18,"of common dangers, sufferings, and successes.” - George Washington 

A timely reminder on the importance of national unity this Presidents Day. (3/3)"
19,"discriminations. With slight shades of difference, you have the same religion, manners, habits, and political principles. You have in a common cause fought and triumphed together; the independence and liberty you possess are the work of joint counsels, and joint efforts (2/3)"
20,"“Citizens, by birth or choice, of a common country, that country has a right to concentrate your affections. The name of American, which belongs to you in your national capacity, must always exalt the just pride of patriotism more than any appellation derived from local (1/3)"
21,"In other words, the wealthy + powerful ""Old Guard"" conservatives will be squaring off with the Trump-aligned ""Young Guns"" for the future of their party. 

Dems will keep working on healthcare, living wages, education, climate, covid response and more in the meantime. https://t.co/osiFEkQuqb"
22,"A Trump-era pilot program that continues today allows private insurance companies to manage Medicare Advantage plans - so far, about 40% of seniors - and skim taxpayer dollars off the top. 

Medicare is being quietly privatized by the 1%. We need to be talking about this."
23,"I’m asked all the time - how do Dems win rural districts? 

We show up. We listen. We don’t shy away from tough conversations. We treat others with respect and find common ground. We give voters a real choice. We persist. 

Keep showing up, y’all. https://t.co/AniuuGZAt1"
24,"You cannot shout, threaten, shame, or harass nurses, teachers, restaurant, retail - ANY frontline worker - into getting us back to ""normal"". 

We need to address fair compensation, working conditions, and cost of living if we're serious about getting our country back on track."
25,"Happy Valentine’s Day to my beautiful wife of 26 wonderful years! Katy, I wake up grateful every day for your love, strength, and encouragement as we take this journey together. Thank you for all you are and all you do! https://t.co/ouQLvzsdlt"
26,"Reminder that every single Republican in the House and Senate voted against the Child Tax Credits, which had an outsized impact on rural districts like mine where the minimum wage is still $7.25/hr. https://t.co/sXRPlc72PA"
27,Folks in WNC are tired of The Madison Cawthorn Show. Help us change the channel! https://t.co/kMq184uuZW
